Iteration,Score
1,-0.0028718766188328805
2,-0.0028718766188328805
3,-0.0028718766188328805
4,-0.0028718766188328805
5,-0.0028718766188328805
6,-0.0028718766188328805
7,-0.0028718766188328805
8,-0.0028718766188328805
9,-0.0028718766188328805
10,-0.0028718766188328805
11,0.3922595605583819
12,0.9939682059870357
13,0.9941345813131985
14,0.9941573468715752
15,0.9941498737006664
16,0.9941792390776578
17,-0.0028718766188328805
18,0.9942086481989879
19,-0.0028718766188328805
20,0.9941613073658371
21,-0.0028718766188328805
22,-0.0028718766188328805
23,-0.0028718766188328805
24,-0.0028718766188328805
25,-0.0028718766188328805
26,-0.0028718766188328805
27,-0.0028718766188328805
28,-0.0028718766188328805
29,-0.0028718766188328805
30,-0.0028718766188328805
31,-0.0028718766188328805
32,-0.0028718766188328805
33,-0.0028718766188328805
34,-0.0028718766188328805
35,-0.0028718766188328805
36,-0.0028718766188328805
37,-0.0028718766188328805
38,-0.0028718766188328805
39,-0.0028718766188328805
40,-0.0028718766188328805
41,-0.0028718766188328805
42,-0.0028718766188328805
43,-0.0028718766188328805
44,-0.0028718766188328805
45,-0.0028718766188328805
46,0.9941610274365754
47,0.9950214740972049
48,-0.0028718766188328805
49,-0.0028718766188328805
50,0.9950214740972049
