,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.10781445503234863,0.003890919724443513,0.015514588356018067,0.0016763381588535023,29,16,27,"OrderedDict([('model__max_depth', 29), ('model__min_samples_leaf', 16), ('model__min_samples_split', 27)])",0.8330596606458676,0.7695188609217896,0.9450030366421486,0.9480612352010557,0.9524325003186599,0.9563430042422412,0.9326054040260952,0.9394959969829616,0.9269607843137255,0.7873046728269852,0.899078515612153,0.06914251153438351,46
1,0.0922473430633545,0.002821892592830329,0.01570127010345459,0.0007820933903185828,25,57,5,"OrderedDict([('model__max_depth', 25), ('model__min_samples_leaf', 57), ('model__min_samples_split', 5)])",0.9204896491741084,0.8386483943286022,0.9505720883850312,0.9492262185932474,0.9541523269676315,0.9597559351036544,0.9355483298403484,0.9487685117257347,0.9417380362106529,0.9555104800540906,0.9354409970383102,0.034018721464386836,22
2,0.09329814910888672,0.0029771987540835178,0.015300679206848144,0.0010551764675672834,26,55,5,"OrderedDict([('model__max_depth', 26), ('model__min_samples_leaf', 55), ('model__min_samples_split', 5)])",0.9204859002331842,0.8364861926505762,0.95114380187597,0.9475926175855321,0.9535993581813137,0.960043942188441,0.9351355509566152,0.9497554285113881,0.9433466681691834,0.9553639846743295,0.9352953445026534,0.03465427586097868,23
3,0.09634716510772705,0.002693747417439379,0.016102290153503417,0.0008607394427419898,29,40,39,"OrderedDict([('model__max_depth', 29), ('model__min_samples_leaf', 40), ('model__min_samples_split', 39)])",0.8731864498279237,0.8019659446206446,0.9438324298385705,0.9485673422258212,0.9580193595309325,0.9561300478635879,0.9355548967771351,0.939534460469855,0.9380427841634739,0.9277186161821049,0.9222552331500049,0.04606113851258832,36
4,0.10429916381835938,0.004025987759545617,0.01564950942993164,0.0014855091396107293,27,25,51,"OrderedDict([('model__max_depth', 27), ('model__min_samples_leaf', 25), ('model__min_samples_split', 51)])",0.8395209603287072,0.8025892060492911,0.9461877019741922,0.9470687030913767,0.9504999212722406,0.9598769543672944,0.9339553786026684,0.9437663821619482,0.9311199383968146,0.9239923747276688,0.9178577520972203,0.05005436125820481,39
5,0.10034825801849365,0.004549672254687772,0.015550613403320312,0.001386793041841655,20,33,2,"OrderedDict([('model__max_depth', 20), ('model__min_samples_leaf', 33), ('model__min_samples_split', 2)])",0.8643267651888342,0.8033174378238147,0.9445109881458487,0.9506170756761215,0.9541654482608662,0.9611706409142677,0.9353128582498551,0.9389087252074684,0.9308936218165428,0.9261372173390429,0.9209360778622664,0.046748711547375615,37
6,0.06374881267547608,0.0019278837829677493,0.016300559043884277,0.000980289069170885,5,33,39,"OrderedDict([('model__max_depth', 5), ('model__min_samples_leaf', 33), ('model__min_samples_split', 39)])",0.8643717524799245,0.8374356119396271,0.9439589565947619,0.9604627317782727,0.9573576714578131,0.959571122739801,0.937553121827935,0.9560315438117879,0.9283365261813539,0.9178837052062203,0.9262962744017498,0.04045743890561965,31
7,0.10099833011627198,0.0026458308218556877,0.02110168933868408,0.0029975918898870863,15,37,58,"OrderedDict([('model__max_depth', 15), ('model__min_samples_leaf', 37), ('model__min_samples_split', 58)])",0.8596649571496053,0.8202992029751595,0.9454782149042895,0.9550830015520615,0.9580587234106365,0.9610777656654278,0.9342189942079617,0.9391976704260816,0.9381874013973406,0.9250892119299827,0.9236355143618548,0.04403591075752594,33
8,0.09529852867126465,0.002541780431547237,0.016001152992248534,0.000499588198739286,13,53,16,"OrderedDict([('model__max_depth', 13), ('model__min_samples_leaf', 53), ('model__min_samples_split', 16)])",0.9204915236445704,0.8367158152821828,0.9514474660908293,0.9574795120378493,0.9575216876232464,0.9617626033588944,0.938256722197935,0.9492188159625348,0.940681579145068,0.950146495379761,0.936372222072287,0.035107314768550016,17
9,0.10149948596954346,0.004847215653436724,0.01370084285736084,0.0013834488610460292,30,52,46,"OrderedDict([('model__max_depth', 30), ('model__min_samples_leaf', 52), ('model__min_samples_split', 46)])",0.9204896491741084,0.8348778969940992,0.9506348831455114,0.9464032660773332,0.9570896221817335,0.9611181054199743,0.938343968643815,0.9443527158036148,0.9445289610096913,0.9499107880700173,0.9347749856519899,0.03491540989577328,25
10,0.04355144500732422,0.005037570356209524,0.01900022029876709,0.0021454623007037847,1,1,59,"OrderedDict([('model__max_depth', 1), ('model__min_samples_leaf', 1), ('model__min_samples_split', 59)])",0.9090019569471625,0.8062622309197651,0.9227005870841487,0.9099804305283757,0.9344422700587084,0.9197651663405089,0.8962818003913895,0.9217221135029354,0.9,0.8823529411764706,0.9002509496949467,0.0344327259257393,41
11,0.04409909248352051,0.009579852272763744,0.01900007724761963,0.003668016741485774,1,60,60,"OrderedDict([('model__max_depth', 1), ('model__min_samples_leaf', 60), ('model__min_samples_split', 60)])",0.9090019569471625,0.8062622309197651,0.9227005870841487,0.9099804305283757,0.9344422700587084,0.9197651663405089,0.8962818003913895,0.9217221135029354,0.9,0.8823529411764706,0.9002509496949467,0.0344327259257393,41
