Iteration,Score
1,0.601775396496478
2,0.6580029913713383
3,0.6640904330804291
4,0.6526569028982625
5,0.7060335941841582
6,0.6395512996794765
7,0.6839296746281539
8,0.6241557826732379
9,0.685405741761808
10,0.7270323975386556
11,0.7456213934406832
12,0.4322224431643364
13,0.6487658819019145
14,0.6753543091875774
15,0.7371482095932527
16,0.6520874074657141
17,0.6835528534032751
18,0.7498458487366407
19,0.3951817291772743
20,0.7469749273915276
21,0.6741342307634566
22,0.7498458487366407
23,0.7333382782580802
24,0.7233501558665687
25,0.5318594871961704
26,0.6487658819019145
27,0.7506840397760823
28,0.6714572291930359
29,0.7355823405758185
30,0.7208052338505695
31,0.4322224431643364
32,0.7498458487366407
33,0.7486784365966845
34,0.7395325989512224
35,0.7490492146351678
36,0.7498458487366407
37,0.7486784365966845
38,0.7499577925886307
39,0.7395325989512224
40,0.7490492146351678
41,0.6637872187252001
42,0.6832899165614759
43,0.7233501558665687
44,0.7218678563409388
45,0.7326910195576696
46,0.7498458487366407
47,0.7456213934406832
48,0.7498458487366407
49,0.7497429035256209
50,0.7442646603930534
