,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,df1,df2,df3,df4,min_samples_leaf_tunability
0,0.0096112439578502,26,57,31,0.9645740281224153,0.7075700615174301,0.7062499999999999,0.7671337916446322,0.7863819703211195
1,0.0096112439578502,26,20,31,1.0,0.8524606971975393,0.7162499999999999,0.7299048122686409,0.824653877366545
2,0.0096112439578502,26,33,31,1.0,0.7469241285030759,0.7000000000000001,0.7425700687466947,0.7973735493124426
3,0.0096112439578502,26,13,31,1.0,0.87323991797676,0.7162499999999999,0.7377049180327868,0.8317987090023866
4,0.0096112439578502,26,8,31,1.0,0.8681818181818179,0.68625,0.7460338445267054,0.8251164156771309
5,0.0096112439578502,26,33,31,1.0,0.7674982911825017,0.7025,0.7296932839767318,0.7999228937898084
6,0.0096112439578502,26,2,31,1.0,0.8995044429254957,0.69625,0.736118455843469,0.8329682246922412
7,0.0096112439578502,26,24,31,1.0,0.7912508544087491,0.6975,0.7460074034902168,0.8086895644747415
8,0.0096112439578502,26,57,31,0.9594044665012407,0.6946514012303486,0.7112499999999999,0.7527498677948177,0.7795139338816017
9,0.0096112439578502,26,19,31,1.0,0.8744702665755296,0.6925000000000001,0.730909571655209,0.8244699595576848
10,0.0096112439578502,26,20,31,1.0,0.8538277511961722,0.7037500000000001,0.7620306716023268,0.8299021056996247
11,0.0096112439578502,26,28,31,1.0,0.8094326725905674,0.7025,0.7132205182443151,0.8062882977087207
12,0.0096112439578502,26,41,31,0.9729569892473119,0.725974025974026,0.69125,0.7604177683765203,0.7876496958994645
13,0.0096112439578502,26,28,31,1.0,0.7925495557074506,0.6937499999999999,0.7360391327340031,0.8055846721103634
14,0.0096112439578502,26,49,31,0.9716666666666667,0.7064422419685578,0.6837500000000001,0.7216287678476997,0.770871919120731
15,0.0096112439578502,26,37,31,1.0,0.7167976760082023,0.70125,0.7639344262295082,0.7954955255594276
16,0.0096112439578502,26,53,31,0.9671381306865179,0.7114149008885852,0.68125,0.7427287149656266,0.7756329366351824
