,n_estimators,min_samples_leaf,min_samples_split,df1,df2,df3,df4,mean_score
0,1648,0.045422561458058675,0.06442274276569449,0.49452027797946274,0.49151600033952975,0.37687499999999996,0.38675862988138077,0.43741747705009326
1,1095,0.045422561458058675,0.06442274276569449,0.4942008090447049,0.4941218911807147,0.380625,0.3802878848460616,0.4373088962678703
2,808,0.045422561458058675,0.06442274276569449,0.49581371227051135,0.4876114081996435,0.37625000000000003,0.3729441556710649,0.43315481903530495
3,1600,0.045422561458058675,0.06442274276569449,0.49452131521626386,0.4849842967490027,0.37875000000000003,0.37705584432893513,0.43382786407355045
4,1106,0.045422561458058675,0.06442274276569449,0.49549424333575354,0.48370257193786603,0.383125,0.38433959749433566,0.43666535319198885
5,1560,0.045422561458058675,0.06442274276569449,0.49452442692666737,0.48955946014769547,0.38375,0.3761695321871251,0.436000854815372
6,986,0.045422561458058675,0.06442274276569449,0.49678041696919406,0.4895637042695866,0.38312500000000005,0.3884179661468746,0.43947177184641384
7,765,0.045422561458058675,0.06442274276569449,0.4948459703350275,0.48368135132841017,0.385625,0.38273357323737167,0.4367214737252023
8,351,0.045422561458058675,0.06442274276569449,0.49227154859454414,0.48891435362023594,0.381875,0.3819538851126216,0.43625369683185045
9,511,0.045422561458058675,0.06442274276569449,0.495811637796909,0.49020456667515494,0.38687499999999997,0.3721244835399174,0.4362539220029953
10,1659,0.045422561458058675,0.06442274276569449,0.49645368737682816,0.485650623885918,0.38125,0.3859922697587632,0.4373366452553773
11,1511,0.045422561458058675,0.06442274276569449,0.49419873457110264,0.4876071640777523,0.3837499999999999,0.3802878848460616,0.43646094587372913
12,620,0.045422561458058675,0.06442274276569449,0.496138367389275,0.483677107206519,0.383125,0.3713514594162335,0.4335729835030069
13,1440,0.045422561458058675,0.06442274276569449,0.49420495799190955,0.48957219251336903,0.38062500000000005,0.37949486871917903,0.4359742548061144
14,507,0.045422561458058675,0.06442274276569449,0.4961362929156727,0.4895467277820219,0.369375,0.3786685325869652,0.43343163832116494
15,1168,0.045422561458058675,0.06442274276569449,0.49645368737682805,0.4895467277820219,0.37125,0.37946821271491404,0.434179656968441
16,1565,0.045422561458058675,0.06442274276569449,0.4971009231407531,0.48629148629148633,0.383125,0.3803345328535253,0.43671298557144117
17,260,0.045422561458058675,0.06442274276569449,0.4970988486671507,0.48955521602580426,0.38125,0.3713314674130348,0.4348088830264974
18,1690,0.045422561458058675,0.06442274276569449,0.49484285862462396,0.48954248366013076,0.371875,0.3688924430227909,0.4312881963268864
19,139,0.045422561458058675,0.06442274276569449,0.495811637796909,0.4902130549189373,0.36937500000000006,0.3794482207117153,0.4337119783568904
20,875,0.045422561458058675,0.06442274276569449,0.49387822839954365,0.4888973771326713,0.391875,0.3713781154204984,0.43650718023817836
21,1602,0.045422561458058675,0.06442274276569449,0.49452442692666737,0.4941261353026059,0.38125,0.38024790083966414,0.43753711576723436
22,1373,0.045422561458058675,0.06442274276569449,0.4958147495073125,0.48304473304473305,0.37374999999999997,0.3810875649740104,0.433424261881514
23,1628,0.045422561458058675,0.06442274276569449,0.49452650140026966,0.4888973771326713,0.37312500000000004,0.37945488471278155,0.4340009408114307
24,536,0.045422561458058675,0.06442274276569449,0.49387926563634477,0.4882607588489941,0.37249999999999994,0.37297081167532986,0.4319027090401672
25,1408,0.045422561458058675,0.06442274276569449,0.4954900943885489,0.4888931330107801,0.3825,0.3803078768492603,0.4367977760621473
26,97,0.045422561458058675,0.06442274276569449,0.49548698267814545,0.48629148629148633,0.3675,0.3778421964547514,0.4317801663560958
27,1409,0.045422561458058675,0.06442274276569449,0.4951685509801888,0.48759018759018763,0.3775,0.3916566706650673,0.4379788523088609
28,295,0.045422561458058675,0.06442274276569449,0.4938751166891401,0.48565486800780916,0.3675,0.37541650006664,0.4306116211908973
29,1638,0.045422561458058675,0.06442274276569449,0.49388134010994705,0.48956794839147777,0.38125,0.3786751965880315,0.4358436212723641
30,1500,0.045422561458058675,0.06442274276569449,0.4932341043460222,0.48564213564213565,0.375,0.39003731840597095,0.4359783895985322
31,221,0.045422561458058675,0.06442274276569449,0.49516855098018875,0.48629997453526863,0.378125,0.378608556577369,0.43455052052320664
32,1181,0.045422561458058675,0.06442274276569449,0.4951664765065864,0.48629148629148633,0.37875000000000003,0.3737771558043449,0.43349627965060444
33,50,0.045422561458058675,0.06442274276569449,0.49419873457110264,0.48174178762414055,0.37312500000000004,0.3819672131147541,0.4327581838274993
34,740,0.045422561458058675,0.06442274276569449,0.49516751374338763,0.4836940836940837,0.38,0.37053178728508596,0.4323483461806393
35,1699,0.045422561458058675,0.06442274276569449,0.4961342184420703,0.4863127069009422,0.380625,0.3786818605890977,0.43543844648302754
36,701,0.045422561458058675,0.06442274276569449,0.4970988486671507,0.4888931330107801,0.386875,0.3762028521924564,0.43726745846759685
37,1483,0.045422561458058675,0.06442274276569449,0.4938782283995436,0.4921611068669892,0.38,0.3884379581500733,0.43861932335415155
38,769,0.045422561458058675,0.06442274276569449,0.49678041696919406,0.4908624055682879,0.38125000000000003,0.37790217246434754,0.43669874875045744
39,1150,0.045422561458058675,0.06442274276569449,0.4977460844310756,0.484992784992785,0.37374999999999997,0.38763827802212447,0.43603178686149624
40,942,0.045422561458058675,0.06442274276569449,0.49484182138782284,0.4895509719039131,0.375625,0.39247634279621485,0.43812353402198767
41,251,0.045422561458058675,0.06442274276569449,0.49452235245306503,0.4895509719039131,0.37875,0.39172331067572974,0.4386366587581769
42,1502,0.045422561458058675,0.06442274276569449,0.49452546416346854,0.4888931330107801,0.38,0.37700919632147134,0.43510694837392994
43,1644,0.045422561458058675,0.06442274276569449,0.4948449330982263,0.4869620575502928,0.3825,0.378635212581634,0.43573555080753834
44,1619,0.045422561458058675,0.06442274276569449,0.4961342184420703,0.48694083694083695,0.378125,0.383546581367453,0.4361866591875901
45,1458,0.045422561458058675,0.06442274276569449,0.4942018462815061,0.4888931330107801,0.378125,0.3810942289750766,0.4355785520668407
46,706,0.045422561458058675,0.06442274276569449,0.4961352556788715,0.4849970291146762,0.38062500000000005,0.3859589497534319,0.4369290586367449
47,797,0.045422561458058675,0.06442274276569449,0.49580852608650555,0.48824378236142946,0.38499999999999995,0.383573237371718,0.4381563864549132
48,1736,0.045422561458058675,0.06442274276569449,0.49581060056010795,0.48759867583397,0.384375,0.3737904838064774,0.43539369005013884
49,256,0.045422561458058675,0.06442274276569449,0.49452442692666737,0.4849758085052203,0.37312500000000004,0.3794882047181128,0.4330283600375001
