ccp_alpha,max_depth,min_samples_leaf,min_samples_split,df,best_score
0.00029083591124917034,29,8,2,df_1,1.0
0.0,30,1,2,df_2,0.9425770308123249
0.010234782804942945,2,2,6,df_credit,0.7300000000000001
0.0,25,32,60,df_diabetes,0.7702918832467013
