,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,df1,df2,df3,df4,min_samples_split_tunability
0,0.0096112439578502,26,21,56,1.0,0.8053485987696514,0.7075,0.7491538868323637,0.8155006214005038
1,0.0096112439578502,26,21,15,1.0,0.8746582365003418,0.6950000000000001,0.7249338974087784,0.82364803347728
2,0.0096112439578502,26,21,23,1.0,0.8826896787423102,0.70875,0.7554997355896351,0.8367348535829864
3,0.0096112439578502,26,21,40,1.0,0.8080314422419687,0.6950000000000001,0.7299312533051295,0.8082406738867745
4,0.0096112439578502,26,21,21,1.0,0.8421223513328778,0.72875,0.749286092014807,0.8300396108369212
5,0.0096112439578502,26,21,45,1.0,0.8460013670539986,0.7074999999999999,0.7410364886303542,0.8236344639210882
6,0.0096112439578502,26,21,12,1.0,0.8735475051264526,0.7175,0.7524590163934427,0.8358766303799737
7,0.0096112439578502,26,21,21,1.0,0.8342105263157895,0.71375,0.7461924907456374,0.8235382542653567
8,0.0096112439578502,26,21,39,1.0,0.8733082706766917,0.73,0.7263352723426758,0.8324108857548419
9,0.0096112439578502,26,21,7,1.0,0.8445830485304169,0.7,0.728318350079323,0.818225349652435
10,0.0096112439578502,26,21,38,1.0,0.8863636363636364,0.6799999999999999,0.7149656266525646,0.8203323157540503
11,0.0096112439578502,26,21,21,1.0,0.8706254272043745,0.6799999999999999,0.7638815441565309,0.8286267428402263
12,0.0096112439578502,26,21,14,1.0,0.8564080656185918,0.6862499999999999,0.7407456372289793,0.8208509257118928
13,0.0096112439578502,26,21,38,1.0,0.8511790840738209,0.68375,0.7508725542041248,0.8214504095694863
14,0.0096112439578502,26,21,34,1.0,0.8522898154477101,0.70875,0.7249074563722898,0.821486817955
15,0.0096112439578502,26,21,44,1.0,0.8485475051264526,0.7050000000000001,0.7459016393442623,0.8248622861176788
16,0.0096112439578502,26,21,11,1.0,0.8550922761449078,0.6950000000000001,0.7605235325224748,0.8276539521668458
17,0.0096112439578502,26,21,54,1.0,0.8262132604237866,0.69,0.7344526705446853,0.812666482742118
18,0.0096112439578502,26,21,15,1.0,0.8549384825700613,0.6925,0.7247752511898466,0.8180534334399769
19,0.0096112439578502,26,21,47,1.0,0.8408065618591933,0.7062499999999999,0.7571919619249073,0.8260621309460252
20,0.0096112439578502,26,21,10,1.0,0.8485475051264523,0.6825000000000001,0.7457429931253305,0.8191976245629458
21,0.0096112439578502,26,21,26,1.0,0.8210355434039645,0.6962499999999999,0.757297726070862,0.8186458173687066
22,0.0096112439578502,26,21,41,1.0,0.8681305536568693,0.68875,0.7360655737704918,0.8232365318568402
23,0.0096112439578502,26,21,11,1.0,0.8604750512645248,0.7300000000000001,0.7411422527763089,0.8329043260102084
24,0.0096112439578502,26,21,20,1.0,0.8642002734107997,0.68625,0.742781597038604,0.8233079676123509
25,0.0096112439578502,26,21,11,1.0,0.8536910457963091,0.71125,0.7196192490745638,0.8211400737177182
26,0.0096112439578502,26,21,7,1.0,0.8772727272727273,0.69375,0.7540719196192491,0.8312736617229941
27,0.0096112439578502,26,21,11,1.0,0.8354921394395077,0.7100000000000001,0.7621099947117929,0.8269005335378252
28,0.0096112439578502,26,21,8,1.0,0.8695317840054682,0.7125000000000001,0.7722104706504496,0.8385605636639795
29,0.0096112439578502,26,21,27,1.0,0.8421565276828435,0.71125,0.7227657324167106,0.8190430650248886
30,0.0096112439578502,26,21,52,1.0,0.8079630895420371,0.72375,0.7245901639344262,0.8140758133691158
31,0.0096112439578502,26,21,38,1.0,0.860492139439508,0.7024999999999999,0.7183236382866207,0.8203289444315321
32,0.0096112439578502,26,21,46,1.0,0.8328263841421736,0.7087500000000001,0.7605235325224748,0.8255249791661621
33,0.0096112439578502,26,21,26,1.0,0.7909603554340396,0.7037500000000001,0.7249603384452672,0.8049176734698268
34,0.0096112439578502,26,21,44,1.0,0.8485645933014354,0.6712499999999999,0.7249338974087783,0.8111871226775534
35,0.0096112439578502,26,21,27,1.0,0.8120129870129871,0.7025,0.7459545214172396,0.8151168771075568
36,0.0096112439578502,26,21,5,1.0,0.8693267259056732,0.6824999999999999,0.7281597038603913,0.8199966074415161
37,0.0096112439578502,26,21,4,1.0,0.8526315789473685,0.6987499999999999,0.7639344262295082,0.8288290012942192
38,0.0096112439578502,26,21,55,1.0,0.811978810663021,0.7025,0.7311739820200951,0.8114131981707791
39,0.0096112439578502,26,21,24,1.0,0.873444976076555,0.6962499999999999,0.7309888947646748,0.8251709677103074
40,0.0096112439578502,26,21,14,1.0,0.821138072453862,0.66625,0.7346641988365944,0.805513067822614
41,0.0096112439578502,26,21,28,1.0,0.8160799726589201,0.7,0.7491538868323638,0.8163084648728209
42,0.0096112439578502,26,21,14,1.0,0.8381066302118934,0.715,0.6969063987308303,0.812503257235681
43,0.0096112439578502,26,21,10,1.0,0.8627648667122351,0.6887500000000001,0.7311475409836065,0.8206656019239604
44,0.0096112439578502,26,21,18,1.0,0.8343472317156527,0.7024999999999999,0.7247488101533579,0.8153990104672526
45,0.0096112439578502,26,21,54,1.0,0.8237012987012988,0.69125,0.7524590163934425,0.8168525787736853
46,0.0096112439578502,26,21,5,1.0,0.8408407382091593,0.6950000000000001,0.7689053410893706,0.8261865198246324
47,0.0096112439578502,26,21,13,1.0,0.8771018455228982,0.7174999999999999,0.75251189846642,0.8367784359973295
48,0.0096112439578502,26,21,57,1.0,0.8288448393711552,0.6974999999999999,0.7636700158646219,0.8225037138089443
49,0.0096112439578502,26,21,41,1.0,0.8539302802460698,0.70125,0.7621099947117926,0.8293225687394656
50,0.0096112439578502,26,21,42,1.0,0.8929425837320574,0.7075,0.6971179270227392,0.8243901276886991
51,0.0096112439578502,26,21,21,1.0,0.8500000000000002,0.70625,0.7311475409836066,0.8218493852459017
52,0.0096112439578502,26,21,8,1.0,0.845693779904306,0.7112499999999999,0.7522474881015334,0.8272978170014599
53,0.0096112439578502,26,21,13,1.0,0.8693267259056732,0.6825,0.7475409836065573,0.8248419273780576
54,0.0096112439578502,26,21,53,1.0,0.7949248120300751,0.7000000000000001,0.7474881015335801,0.8106032283909139
55,0.0096112439578502,26,21,54,1.0,0.8198564593301436,0.7050000000000001,0.758725542041248,0.8208955003428479
56,0.0096112439578502,26,21,45,1.0,0.8342617908407384,0.6912499999999999,0.7313061872025383,0.8142044945108192
57,0.0096112439578502,26,21,13,1.0,0.8680792891319207,0.70625,0.740851401374934,0.8287951726267136
58,0.0096112439578502,26,21,36,1.0,0.8341934381408065,0.6900000000000001,0.7719725013220519,0.8240414848657146
59,0.0096112439578502,26,21,35,1.0,0.8917122351332878,0.6812499999999999,0.7296932839767318,0.8256638797775049
