params,a_scores,btsc_scores,d_scores,ba_scores,mean
"{'learning_rate': 0.9450516368287338, 'max_depth': 13, 'max_iter': 252, 'max_leaf_nodes': 30, 'min_samples_leaf': 23}",0.9152092247927166,0.6635887511503274,0.7814241622574956,0.9490155813585821,0.8273094298897803
"{'learning_rate': 0.31657554078015204, 'max_depth': 4, 'max_iter': 43, 'max_leaf_nodes': 23, 'min_samples_leaf': 25}",0.9255519336624592,0.7169869539327668,0.801548353909465,0.9362600421007021,0.8450868209013482
"{'learning_rate': 0.7480210086215892, 'max_depth': 9, 'max_iter': 489, 'max_leaf_nodes': 5, 'min_samples_leaf': 13}",0.920859932565093,0.6678598495100958,0.7698258377425045,0.9229141659005784,0.8203649464295679
"{'learning_rate': 0.5826763109792318, 'max_depth': 13, 'max_iter': 91, 'max_leaf_nodes': 19, 'min_samples_leaf': 25}",0.9242891548109384,0.6829656796405564,0.7827278071722515,0.9448011293215679,0.8336959427363286
"{'learning_rate': 0.707977955004843, 'max_depth': 9, 'max_iter': 245, 'max_leaf_nodes': 12, 'min_samples_leaf': 36}",0.9236673403900856,0.6851959616737942,0.7555121987066432,0.9497230224673705,0.8285246308094734
"{'learning_rate': 0.707899860636529, 'max_depth': 13, 'max_iter': 356, 'max_leaf_nodes': 36, 'min_samples_leaf': 26}",0.9211435014309546,0.6611311102690413,0.7790961199294533,0.9523965097600631,0.8284418103473781
"{'learning_rate': 0.14346386902512515, 'max_depth': 8, 'max_iter': 463, 'max_leaf_nodes': 16, 'min_samples_leaf': 2}",0.92739890811179,0.6571902235695339,0.7957201646090536,0.9513010278270612,0.8329025810293597
"{'learning_rate': 0.3396494663402365, 'max_depth': 5, 'max_iter': 274, 'max_leaf_nodes': 37, 'min_samples_leaf': 12}",0.9270956221617638,0.6716464569912846,0.7812184009406231,0.9492662191149288,0.8323066748021499
"{'learning_rate': 0.9035091434660598, 'max_depth': 3, 'max_iter': 453, 'max_leaf_nodes': 30, 'min_samples_leaf': 46}",0.9238196640883938,0.6847168841011205,0.750733392122281,0.9413094352806617,0.8251448438981142
"{'learning_rate': 0.3720293061931484, 'max_depth': 5, 'max_iter': 206, 'max_leaf_nodes': 45, 'min_samples_leaf': 30}",0.9265244490676288,0.6959332539381802,0.7805665784832451,0.9482408025482927,0.8378162710093366
"{'learning_rate': 0.3522130831619253, 'max_depth': 4, 'max_iter': 455, 'max_leaf_nodes': 28, 'min_samples_leaf': 35}",0.9274212748332804,0.6907283603096411,0.7704049088771311,0.9469957723634362,0.8338875790958722
"{'learning_rate': 0.8350052985069739, 'max_depth': 5, 'max_iter': 416, 'max_leaf_nodes': 17, 'min_samples_leaf': 1}",0.9210321228638452,0.6580401125967629,0.7901690182245737,0.9229331400058165,0.8230435984227495
"{'learning_rate': 0.9466183254126118, 'max_depth': 11, 'max_iter': 240, 'max_leaf_nodes': 16, 'min_samples_leaf': 2}",0.9181890017223816,0.667978942240026,0.7743393592004703,0.9041262298889612,0.8161583832629598
"{'learning_rate': 0.559993274933559, 'max_depth': 8, 'max_iter': 120, 'max_leaf_nodes': 27, 'min_samples_leaf': 43}",0.9239462873461868,0.6997171547664159,0.769321722516167,0.9488528827367603,0.8354595118413825
"{'learning_rate': 0.9038298759756942, 'max_depth': 1, 'max_iter': 440, 'max_leaf_nodes': 47, 'min_samples_leaf': 30}",0.921949258354828,0.6965219509554484,0.766577748383304,0.8971755786650739,0.8205561340896635
"{'learning_rate': 0.2656051553458142, 'max_depth': 5, 'max_iter': 368, 'max_leaf_nodes': 35, 'min_samples_leaf': 24}",0.9278329394138322,0.6857968386293509,0.7746840094062317,0.9510529957469899,0.8348416957991013
"{'learning_rate': 0.4805091728676205, 'max_depth': 5, 'max_iter': 240, 'max_leaf_nodes': 36, 'min_samples_leaf': 37}",0.9260161113939702,0.6876265360255507,0.7742100235155791,0.9488178232160877,0.8341676235377969
"{'learning_rate': 0.6333359947816616, 'max_depth': 2, 'max_iter': 334, 'max_leaf_nodes': 33, 'min_samples_leaf': 2}",0.9228851321433856,0.6765888052833865,0.7796281599059378,0.9302634416787192,0.8273413847528572
"{'learning_rate': 0.6457820088745634, 'max_depth': 1, 'max_iter': 467, 'max_leaf_nodes': 45, 'min_samples_leaf': 34}",0.923125917371718,0.7112150165105829,0.7760633450911228,0.8976742192242307,0.8270196245494136
"{'learning_rate': 0.6015454772404405, 'max_depth': 12, 'max_iter': 247, 'max_leaf_nodes': 13, 'min_samples_leaf': 17}",0.9234128576626692,0.6626333026579332,0.7729262198706643,0.949942875183227,0.8272288138436233
"{'learning_rate': 0.4313774545364913, 'max_depth': 8, 'max_iter': 120, 'max_leaf_nodes': 17, 'min_samples_leaf': 13}",0.9252400942755888,0.6746048286688682,0.7868650793650794,0.9495131045022573,0.8340557767029484
"{'learning_rate': 0.08065652344255954, 'max_depth': 5, 'max_iter': 42, 'max_leaf_nodes': 22, 'min_samples_leaf': 30}",0.9171129401370942,0.7454311698154062,0.8297236919459141,0.9311609727272551,0.8558571936564173
"{'learning_rate': 0.7834960303983777, 'max_depth': 8, 'max_iter': 278, 'max_leaf_nodes': 9, 'min_samples_leaf': 31}",0.9231528693266536,0.6636807773507282,0.7693885949441505,0.9456740406329354,0.825474070563617
"{'learning_rate': 0.8237510047856424, 'max_depth': 14, 'max_iter': 138, 'max_leaf_nodes': 37, 'min_samples_leaf': 32}",0.9167620665843262,0.6776579331998052,0.7698500881834216,0.9495278700011516,0.8284494894921761
"{'learning_rate': 0.3332190820958827, 'max_depth': 10, 'max_iter': 296, 'max_leaf_nodes': 23, 'min_samples_leaf': 16}",0.9256669134354388,0.6695406809938831,0.7932385361552028,0.9541050868265986,0.8356378043527808
"{'learning_rate': 0.1548190804664218, 'max_depth': 1, 'max_iter': 345, 'max_leaf_nodes': 10, 'min_samples_leaf': 25}",0.916855200279206,0.7391138418232015,0.8229129923574368,0.8936006371708016,0.8431206679076615
"{'learning_rate': 0.49338261804969313, 'max_depth': 13, 'max_iter': 87, 'max_leaf_nodes': 46, 'min_samples_leaf': 32}",0.9217443194953536,0.6947937530449846,0.7721700470311582,0.9528872893745011,0.8353988522364995
"{'learning_rate': 0.5553757580816079, 'max_depth': 12, 'max_iter': 386, 'max_leaf_nodes': 45, 'min_samples_leaf': 6}",0.9214236382450444,0.6448884858983381,0.7937294238683127,0.9547548712483629,0.8286991048150145
"{'learning_rate': 0.4846136596243366, 'max_depth': 14, 'max_iter': 424, 'max_leaf_nodes': 25, 'min_samples_leaf': 29}",0.924557482733134,0.668688085313701,0.7721626984126985,0.952657531185163,0.8295164494111742
"{'learning_rate': 0.8145175104127278, 'max_depth': 3, 'max_iter': 171, 'max_leaf_nodes': 38, 'min_samples_leaf': 22}",0.9220193618384804,0.6922576192280626,0.765409318048207,0.9372071834688871,0.8292233706459092
"{'learning_rate': 0.677858295862895, 'max_depth': 14, 'max_iter': 371, 'max_leaf_nodes': 13, 'min_samples_leaf': 11}",0.9210803162087056,0.6377672819791047,0.7788881540270429,0.9419137277175643,0.8199123699831045
"{'learning_rate': 0.6855883998057719, 'max_depth': 12, 'max_iter': 70, 'max_leaf_nodes': 11, 'min_samples_leaf': 29}",0.9245284098997764,0.6920925133979321,0.7747876249265138,0.9395221170192626,0.8327326663108712
"{'learning_rate': 0.3978912292991936, 'max_depth': 2, 'max_iter': 206, 'max_leaf_nodes': 20, 'min_samples_leaf': 39}",0.9286276415882696,0.7206585286634548,0.7741571134626689,0.9315722133414528,0.8387538742639615
"{'learning_rate': 0.8122984011079288, 'max_depth': 6, 'max_iter': 271, 'max_leaf_nodes': 36, 'min_samples_leaf': 7}",0.9180264793653056,0.6466315704000433,0.7877623456790124,0.9421679324202732,0.8236470819661585
"{'learning_rate': 0.9247057722566456, 'max_depth': 12, 'max_iter': 498, 'max_leaf_nodes': 25, 'min_samples_leaf': 47}",0.9174718838022798,0.6656214475179992,0.7550859788359789,0.9478384744204567,0.8215044461441787
"{'learning_rate': 0.39624104359835405, 'max_depth': 7, 'max_iter': 313, 'max_leaf_nodes': 12, 'min_samples_leaf': 45}",0.9271128631448068,0.6923117522871217,0.7698405349794238,0.9489875581397618,0.8345631771377785
"{'learning_rate': 0.0776221579847056, 'max_depth': 13, 'max_iter': 207, 'max_leaf_nodes': 44, 'min_samples_leaf': 38}",0.927705083704835,0.722926703838034,0.7956709288653733,0.9513646277981742,0.8494168360516041
"{'learning_rate': 0.04337936291096787, 'max_depth': 1, 'max_iter': 191, 'max_leaf_nodes': 21, 'min_samples_leaf': 36}",0.903903736229388,0.7486439668705678,0.8283068783068781,0.8703242895872492,0.8377947177485208
"{'learning_rate': 0.08668290488801562, 'max_depth': 5, 'max_iter': 438, 'max_leaf_nodes': 16, 'min_samples_leaf': 18}",0.9288764392857372,0.7020502896118661,0.7928747795414463,0.9478850301458204,0.8429216346462175
"{'learning_rate': 0.8380302838829211, 'max_depth': 8, 'max_iter': 383, 'max_leaf_nodes': 24, 'min_samples_leaf': 45}",0.9196979710427816,0.6801615871812917,0.756847442680776,0.9489203180291328,0.8264068297334954
"{'learning_rate': 0.6891010426245392, 'max_depth': 10, 'max_iter': 403, 'max_leaf_nodes': 13, 'min_samples_leaf': 14}",0.9228997635087012,0.6415593027661993,0.7821634332745443,0.9382144774106409,0.8212092442400214
"{'learning_rate': 0.06094411526477321, 'max_depth': 3, 'max_iter': 235, 'max_leaf_nodes': 24, 'min_samples_leaf': 10}",0.9236542399112488,0.7112068965517242,0.8124331275720162,0.9297419502169445,0.8442590535629835
"{'learning_rate': 0.565904153516499, 'max_depth': 7, 'max_iter': 428, 'max_leaf_nodes': 8, 'min_samples_leaf': 11}",0.922930189549142,0.6700657716667568,0.7748273074661963,0.9408301421118275,0.8271633526984807
"{'learning_rate': 0.6353241901489783, 'max_depth': 8, 'max_iter': 417, 'max_leaf_nodes': 11, 'min_samples_leaf': 24}",0.923938223806927,0.6617834136307044,0.7684134332745444,0.95157690258284,0.8264279933237539
"{'learning_rate': 0.0656467345569366, 'max_depth': 2, 'max_iter': 46, 'max_leaf_nodes': 17, 'min_samples_leaf': 17}",0.9026354926175048,0.7473556000649596,0.8272486772486772,0.8820236394368617,0.8398158523420007
"{'learning_rate': 0.6197864390189105, 'max_depth': 4, 'max_iter': 493, 'max_leaf_nodes': 48, 'min_samples_leaf': 49}",0.9261665988042186,0.6783345964380447,0.762010582010582,0.9456666578834882,0.8280446087840834
"{'learning_rate': 0.5244350954960795, 'max_depth': 8, 'max_iter': 112, 'max_leaf_nodes': 19, 'min_samples_leaf': 35}",0.924027617489957,0.7089224814594273,0.7885243974132863,0.9479959226533786,0.8423676047540124
"{'learning_rate': 0.056666453522918596, 'max_depth': 9, 'max_iter': 166, 'max_leaf_nodes': 11, 'min_samples_leaf': 27}",0.9255229551169444,0.7166851621285119,0.8082958553791887,0.936107024493357,0.8466527492795004
"{'learning_rate': 0.04231016044895369, 'max_depth': 12, 'max_iter': 378, 'max_leaf_nodes': 30, 'min_samples_leaf': 11}",0.9287699120598708,0.6839996210685866,0.8105393885949441,0.9526735946426517,0.8439956290915134
"{'learning_rate': 0.6518479376010866, 'max_depth': 9, 'max_iter': 89, 'max_leaf_nodes': 40, 'min_samples_leaf': 12}",0.9214878010320948,0.6633803388729498,0.7901278659611993,0.9503998541992376,0.8313489650163703
