mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0035222530364990234,0.001118876079830265,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",,,,,,,,7
0.028532123565673827,0.010078321396266281,0.010713815689086914,0.002190753937269081,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.6000000000000001,0.6029411764705883,0.5970588235294118,0.6058823529411765,0.5852941176470587,0.5982352941176471,0.0071076741021145135,3
0.002668333053588867,0.0007233366713504029,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,7
0.02622990608215332,0.0070014741047739895,0.00969400405883789,0.0013567021119925361,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.5941176470588235,0.6147058823529412,0.5941176470588235,0.6058823529411765,0.5882352941176471,0.5994117647058824,0.009557692240748206,2
0.0025129795074462892,0.00039856984878645175,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,7
0.11267628669738769,0.0714264321486579,0.01567831039428711,0.003057018248603869,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.5852941176470589,0.6088235294117648,0.6029411764705882,0.5970588235294118,0.611764705882353,0.6011764705882354,0.009411764705882363,1
0.007996606826782226,0.007179410300222245,0.0,0.0,1,l1,"{'C': 1, 'penalty': 'l1'}",,,,,,,,7
0.10573010444641114,0.035497965306677544,0.01413865089416504,0.0020850558827804214,1,l2,"{'C': 1, 'penalty': 'l2'}",0.5794117647058824,0.5941176470588235,0.611764705882353,0.5911764705882352,0.5852941176470587,0.5923529411764706,0.010941808963375474,4
0.003294849395751953,0.0005668769131575145,0.0,0.0,10,l1,"{'C': 10, 'penalty': 'l1'}",,,,,,,,7
0.13870606422424317,0.0597025175585046,0.011966991424560546,0.0009285096687436903,10,l2,"{'C': 10, 'penalty': 'l2'}",0.5735294117647058,0.5941176470588235,0.611764705882353,0.5764705882352941,0.5911764705882353,0.5894117647058823,0.013745084053585824,5
0.004418754577636718,0.0006516811099376069,0.0,0.0,100,l1,"{'C': 100, 'penalty': 'l1'}",,,,,,,,7
0.0972754955291748,0.005227263811262518,0.009151840209960937,0.0015760592219993428,100,l2,"{'C': 100, 'penalty': 'l2'}",0.5764705882352941,0.5852941176470587,0.6,0.5764705882352941,0.5911764705882353,0.5858823529411764,0.008998269729869635,6
