name,model_type,metric_type,metric_value,train_time,single_prediction_time,
1_Linear,Linear,accuracy,0.6175,41.05,0.0464,
2_Default_LightGBM,LightGBM,accuracy,0.862,50.38,0.037,
3_Default_Xgboost,Xgboost,accuracy,0.8435,37.25,0.0293,
4_Default_CatBoost,CatBoost,accuracy,0.87,36.13,0.0264,
5_Default_RandomForest,Random Forest,accuracy,0.7765,42.46,0.1274,
10_LightGBM,LightGBM,accuracy,0.8415,39.5,0.0325,
6_Xgboost,Xgboost,accuracy,0.8485,40.12,0.0271,
14_CatBoost,CatBoost,accuracy,0.8715,39.46,0.0363,
18_RandomForest,Random Forest,accuracy,0.7705,39.68,0.1009,
11_LightGBM,LightGBM,accuracy,0.844,41.24,0.0245,
7_Xgboost,Xgboost,accuracy,0.847,40.05,0.0245,
15_CatBoost,CatBoost,accuracy,0.883,40.43,0.0241,
19_RandomForest,Random Forest,accuracy,0.833,45.09,0.1381,
12_LightGBM,LightGBM,accuracy,0.8605,49.2,0.0269,
8_Xgboost,Xgboost,accuracy,0.804,42.13,0.0326,
16_CatBoost,CatBoost,accuracy,0.884,39.06,0.0243,
20_RandomForest,Random Forest,accuracy,0.721,43.34,0.105,
13_LightGBM,LightGBM,accuracy,0.857,50.43,0.0328,
9_Xgboost,Xgboost,accuracy,0.7325,41.62,0.0376,
17_CatBoost,CatBoost,accuracy,0.8795,39.81,0.0274,
21_RandomForest,Random Forest,accuracy,0.804,42.96,0.1128,
16_CatBoost_GoldenFeatures,CatBoost,accuracy,0.881,46.12,0.0814,
15_CatBoost_GoldenFeatures,CatBoost,accuracy,0.879,50,0.0762,
17_CatBoost_GoldenFeatures,CatBoost,accuracy,0.874,49.68,0.0777,
16_CatBoost_RandomFeature,CatBoost,accuracy,0.875,41.5,0.0375,
22_CatBoost,CatBoost,accuracy,0.874,38.76,0.0234,
23_CatBoost,CatBoost,accuracy,0.88,40.89,0.028,
24_LightGBM,LightGBM,accuracy,0.863,45.58,0.0221,
25_LightGBM,LightGBM,accuracy,0.8605,44.95,0.0223,
26_Xgboost,Xgboost,accuracy,0.8455,42.98,0.0324,
27_Xgboost,Xgboost,accuracy,0.849,41.79,0.0261,
28_Xgboost,Xgboost,accuracy,0.845,41.57,0.025,
29_Xgboost,Xgboost,accuracy,0.8485,43.1,0.0354,
30_RandomForest,Random Forest,accuracy,0.8345,47.46,0.1642,
31_RandomForest,Random Forest,accuracy,0.816,42.71,0.1164,
32_RandomForest,Random Forest,accuracy,0.812,45.37,0.1138,
33_CatBoost,CatBoost,accuracy,0.876,44,0.0295,
34_CatBoost,CatBoost,accuracy,0.875,40.69,0.0339,
35_CatBoost,CatBoost,accuracy,0.879,44.23,0.0376,
36_LightGBM,LightGBM,accuracy,0.862,45.94,0.0298,
37_LightGBM,LightGBM,accuracy,0.857,46.05,0.0319,
38_LightGBM,LightGBM,accuracy,0.859,46.28,0.0328,
39_LightGBM,LightGBM,accuracy,0.8575,48.16,0.0321,
40_Xgboost,Xgboost,accuracy,0.8435,43.92,0.0396,
41_Xgboost,Xgboost,accuracy,0.853,43.95,0.0233,
42_RandomForest,Random Forest,accuracy,0.8335,48.98,0.125,
43_RandomForest,Random Forest,accuracy,0.8235,47.95,0.1068,
Ensemble,Ensemble,accuracy,0.8845,7.53,0.0966,
,,,,,,
,,,,,,0.8845
,,,,,,49
