name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Linear,Linear,accuracy,0.6145,42.45,0.0724
2_Default_LightGBM,LightGBM,accuracy,0.8545,44.72,0.0237
3_Default_Xgboost,Xgboost,accuracy,0.8335,39.87,0.0261
4_Default_CatBoost,CatBoost,accuracy,0.863,36.26,0.0272
5_Default_RandomForest,Random Forest,accuracy,0.765,42.38,0.106
10_LightGBM,LightGBM,accuracy,0.839,41.51,0.0316
6_Xgboost,Xgboost,accuracy,0.832,39.94,0.0271
14_CatBoost,CatBoost,accuracy,0.8655,40.68,0.0399
18_RandomForest,Random Forest,accuracy,0.7665,39.28,0.1049
11_LightGBM,LightGBM,accuracy,0.82,39.88,0.0321
7_Xgboost,Xgboost,accuracy,0.842,38.94,0.0253
15_CatBoost,CatBoost,accuracy,0.862,41.0,0.0286
19_RandomForest,Random Forest,accuracy,0.8145,45.72,0.1424
12_LightGBM,LightGBM,accuracy,0.8445,45.56,0.0358
8_Xgboost,Xgboost,accuracy,0.795,41.96,0.0271
16_CatBoost,CatBoost,accuracy,0.87,40.84,0.0328
20_RandomForest,Random Forest,accuracy,0.7215,44.52,0.122
13_LightGBM,LightGBM,accuracy,0.845,49.64,0.0326
9_Xgboost,Xgboost,accuracy,0.7215,41.33,0.0269
17_CatBoost,CatBoost,accuracy,0.8695,41.51,0.0276
21_RandomForest,Random Forest,accuracy,0.8035,44.67,0.1085
16_CatBoost_GoldenFeatures,CatBoost,accuracy,0.869,48.58,0.08
17_CatBoost_GoldenFeatures,CatBoost,accuracy,0.866,47.81,0.0812
14_CatBoost_GoldenFeatures,CatBoost,accuracy,0.861,57.79,0.1324
16_CatBoost_RandomFeature,CatBoost,accuracy,0.869,40.51,0.0376
16_CatBoost_SelectedFeatures,CatBoost,accuracy,0.878,42.4,0.0416
2_Default_LightGBM_SelectedFeatures,LightGBM,accuracy,0.854,43.26,0.0238
7_Xgboost_SelectedFeatures,Xgboost,accuracy,0.8385,41.29,0.0348
19_RandomForest_SelectedFeatures,Random Forest,accuracy,0.8215,45.59,0.1206
22_CatBoost_SelectedFeatures,CatBoost,accuracy,0.8685,43.44,0.0443
23_CatBoost_SelectedFeatures,CatBoost,accuracy,0.875,39.37,0.0298
24_CatBoost,CatBoost,accuracy,0.865,42.58,0.03
25_CatBoost,CatBoost,accuracy,0.865,43.23,0.0419
26_LightGBM,LightGBM,accuracy,0.8515,44.3,0.0371
27_LightGBM_SelectedFeatures,LightGBM,accuracy,0.854,44.91,0.0262
28_Xgboost,Xgboost,accuracy,0.835,43.8,0.0258
29_Xgboost,Xgboost,accuracy,0.84,44.89,0.0351
30_Xgboost_SelectedFeatures,Xgboost,accuracy,0.8325,43.36,0.029
31_Xgboost_SelectedFeatures,Xgboost,accuracy,0.844,45.68,0.0373
32_RandomForest_SelectedFeatures,Random Forest,accuracy,0.8205,49.89,0.1092
33_RandomForest,Random Forest,accuracy,0.81,48.79,0.1034
34_LightGBM,LightGBM,accuracy,0.855,48.37,0.0234
35_LightGBM,LightGBM,accuracy,0.843,47.94,0.0225
36_LightGBM_SelectedFeatures,LightGBM,accuracy,0.8565,47.53,0.0274
37_LightGBM_SelectedFeatures,LightGBM,accuracy,0.856,46.88,0.0258
38_Xgboost_SelectedFeatures,Xgboost,accuracy,0.8465,44.04,0.0263
39_Xgboost,Xgboost,accuracy,0.839,45.71,0.0283
Ensemble,Ensemble,accuracy,0.878,5.68,0.0344
