Iteration,Score
1,0.6516020025698064
2,0.7086565860809977
3,0.6199763295616378
4,0.7365357013365251
5,0.6344387979857904
6,0.6969025505898582
7,0.59962457790765
8,0.6409244415449178
9,0.6473374138329675
10,0.6304805232707598
11,0.7360926202199584
12,0.7221365606472296
13,0.6278465664011404
14,0.6749610161373951
15,0.6004040396222274
16,0.6755037892263492
17,0.7076817708576222
18,0.6224770840631105
19,0.6199931224238329
20,0.656146224436006
21,0.605117182101816
22,0.6304805232707598
23,0.5953032091627002
24,0.6301184960837932
25,0.6295917192316757
26,0.6418260668614988
27,0.5910839066037659
28,0.6581003082325496
29,0.6013835920835743
30,0.6475261787917391
31,0.5905174730879283
32,0.6371120245068703
33,0.6571133495412751
34,0.697509564788447
35,0.6521127526272743
36,0.6018956334519181
37,0.6565148057971593
38,0.6577781876394315
39,0.5953897016553654
40,0.5953897016553654
41,0.6333471183707833
42,0.610374008057156
43,0.627856872894297
44,0.6199763295616378
45,0.6330433258051578
46,0.7160575293916909
47,0.7283384720350814
48,0.6623260927614877
49,0.6063908745352746
50,0.6657998203337959
