Iteration,Score
1,0.7529262600538281
2,0.9380443460205166
3,0.7588305662609167
4,0.7719812192055451
5,0.9348924875512109
6,0.7603032134276879
7,0.7619070651948161
8,0.9131994309661261
9,0.9135654456537383
10,0.9156002862902046
11,0.8094420442221189
12,0.7623216755159568
13,0.7588305662609167
14,0.7778040630113938
15,0.6609133047743988
16,0.7232309989069718
17,0.7796868297358678
18,0.7531958903807521
19,0.7531958903807521
20,0.7588305662609167
21,0.7588305662609167
22,0.7553532224488043
23,0.9173775512877043
24,0.9152430460114229
25,0.7603032134276879
26,0.7588305662609167
27,0.7606486549987497
28,0.7583437160700606
29,0.7619070651948161
30,0.7588305662609167
31,0.7619070651948161
32,0.7619070651948161
33,0.7588305662609167
34,0.9211746973155046
35,0.729697501523075
36,0.7796868297358678
37,0.9377753655073295
38,0.926807689262407
39,0.7705854393971902
40,0.9165688779219315
41,0.7588305662609167
42,0.9423080799744314
43,0.7619070651948161
44,0.9298005684950116
45,0.7588305662609167
46,0.765877289339995
47,0.6675263118817669
48,0.7796868297358678
49,0.6413163720457449
50,0.9156982459357702
