mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,dataset_id,total_mean_auc
0.002849419911702474,0.00037949809198797646,0.0034036636352539062,0.00022753611303158745,entropy,11,sqrt,7,13,best,"OrderedDict([('criterion', 'entropy'), ('max_depth', 11), ('max_features', 'sqrt'), ('min_samples_leaf', 7), ('min_samples_split', 13), ('splitter', 'best')])",0.746002205679625,0.6941707717569787,0.7088122605363985,0.7163284126576673,0.021817329391288248,94,37,0.8010983976821884
0.002509037653605143,8.177081445635191e-05,0.003190755844116211,4.9905285831938106e-05,gini,13,log2,18,17,best,"OrderedDict([('criterion', 'gini'), ('max_depth', 13), ('max_features', 'log2'), ('min_samples_leaf', 18), ('min_samples_split', 17), ('splitter', 'best')])",0.8205817480011028,0.7891351943076081,0.7951559934318555,0.8016243119135221,0.013628421106512769,56,37,0.8182802383421544
0.0036242008209228516,8.277784110962193e-05,0.003276189168294271,0.0001377204353302156,entropy,14,,9,5,best,"OrderedDict([('criterion', 'entropy'), ('max_depth', 14), ('max_features', None), ('min_samples_leaf', 9), ('min_samples_split', 5), ('splitter', 'best')])",0.782258064516129,0.7924876847290641,0.7745621237000548,0.7831026243150827,0.007342406303644146,69,37,0.8213887419349744
0.0032770633697509766,0.0012309361829549728,0.00328826904296875,0.0002389359423945086,gini,3,log2,15,11,best,"OrderedDict([('criterion', 'gini'), ('max_depth', 3), ('max_features', 'log2'), ('min_samples_leaf', 15), ('min_samples_split', 11), ('splitter', 'best')])",0.8247173972980425,0.8091133004926109,0.7711412151067323,0.8016573042991286,0.02249882565790244,55,37,0.8075234490037309
0.002060413360595703,3.1388660871532864e-05,0.0031151771545410156,3.885905910120674e-05,gini,7,log2,14,17,random,"OrderedDict([('criterion', 'gini'), ('max_depth', 7), ('max_features', 'log2'), ('min_samples_leaf', 14), ('min_samples_split', 17), ('splitter', 'random')])",0.5927074717397298,0.798440065681445,0.6840448823207445,0.6917308065806398,0.08416563085683411,96,37,0.6948194711292965
0.0036252339680989585,0.00011787145994611907,0.0031920274098714194,7.028519684667365e-05,gini,14,,4,16,best,"OrderedDict([('criterion', 'gini'), ('max_depth', 14), ('max_features', None), ('min_samples_leaf', 4), ('min_samples_split', 16), ('splitter', 'best')])",0.7363523573200993,0.7363847837985769,0.8003557744937055,0.7576976385374605,0.03016386011234014,81,37,0.8128749248995631
0.002044041951497396,1.80678011551542e-05,0.0030934810638427734,2.684089213572978e-05,gini,12,log2,17,12,random,"OrderedDict([('criterion', 'gini'), ('max_depth', 12), ('max_features', 'log2'), ('min_samples_leaf', 17), ('min_samples_split', 12), ('splitter', 'random')])",0.7159498207885305,0.7495210727969349,0.7688149972632732,0.7447619636162462,0.021842902143437922,90,37,0.6877417821419731
0.00247343381245931,5.7429796108054054e-05,0.003108501434326172,2.082401245396327e-05,gini,14,log2,16,8,best,"OrderedDict([('criterion', 'gini'), ('max_depth', 14), ('max_features', 'log2'), ('min_samples_leaf', 16), ('min_samples_split', 8), ('splitter', 'best')])",0.8146539840088227,0.7841406677613574,0.8111658456486044,0.8033201658062614,0.013636510703398854,54,37,0.8246023716842446
0.0024499893188476562,3.358459487099296e-05,0.0031221707661946616,3.4748275348563245e-05,gini,11,sqrt,8,8,best,"OrderedDict([('criterion', 'gini'), ('max_depth', 11), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 8), ('splitter', 'best')])",0.7905982905982906,0.6735769020251778,0.7430213464696223,0.7357321796976969,0.04805101670840112,91,37,0.7948804025907567
0.002791325251261393,0.00020021117272425704,0.003123124440511068,6.28739322225586e-05,entropy,12,log2,6,12,best,"OrderedDict([('criterion', 'entropy'), ('max_depth', 12), ('max_features', 'log2'), ('min_samples_leaf', 6), ('min_samples_split', 12), ('splitter', 'best')])",0.7202233250620347,0.7614942528735632,0.7673782156540778,0.7496985978632251,0.02098013400861353,87,37,0.7984029563540407
