mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_splitter,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,dataset_id,total_mean_auc
0.0281826655069987,0.03618842041298312,0.0031883716583251953,0.0009374528183021482,best,7,10,log2,13,entropy,"{'splitter': 'best', 'min_samples_split': 7, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 13, 'criterion': 'entropy'}",0.804177005789909,0.8411330049261083,0.787287903667214,0.8108659714610771,0.022485260782828292,7,37,0.822620297418736
0.0017080307006835938,2.4724363013617344e-05,0.002260605494181315,4.58492971872927e-05,random,15,2,sqrt,8,gini,"{'splitter': 'random', 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 8, 'criterion': 'gini'}",0.8373311276537082,0.743705528188287,0.6349890530925013,0.7386752363114987,0.08268235064271581,48,37,0.737846705164093
0.0016742547353108723,2.9847323033354956e-05,0.002179702123006185,4.121095006162204e-05,best,18,5,log2,1,gini,"{'splitter': 'best', 'min_samples_split': 18, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 1, 'criterion': 'gini'}",0.6764543700027571,0.6393678160919539,0.6731663929939792,0.6629961930295635,0.016761619765243048,73,37,0.6825293498951319
0.0019425551096598308,9.360944831674315e-06,0.002158482869466146,1.452376023821068e-05,best,19,15,log2,4,entropy,"{'splitter': 'best', 'min_samples_split': 19, 'min_samples_leaf': 15, 'max_features': 'log2', 'max_depth': 4, 'criterion': 'entropy'}",0.8206506754893852,0.7919403393541324,0.8290229885057471,0.8138713344497549,0.015879763132661394,6,37,0.8126238036785147
0.0016887187957763672,1.388707213160624e-05,0.0021285216013590493,5.8313803125521794e-06,random,11,9,log2,12,entropy,"{'splitter': 'random', 'min_samples_split': 11, 'min_samples_leaf': 9, 'max_features': 'log2', 'max_depth': 12, 'criterion': 'entropy'}",0.6377171215880894,0.7298166392993979,0.7591680350301041,0.7089005986391971,0.051740968046924664,58,37,0.7478913827518585
0.0019594828287760415,3.4640140132654504e-05,0.002140680948893229,3.5700921130524004e-06,best,12,8,sqrt,7,entropy,"{'splitter': 'best', 'min_samples_split': 12, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 7, 'criterion': 'entropy'}",0.7572373862696443,0.8595374931581827,0.7760673234811166,0.7976140676363146,0.04445615521776307,13,37,0.825408651111652
0.001976490020751953,1.6297556520235447e-05,0.002164045969645182,2.0651630826092486e-05,best,10,10,log2,6,gini,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 6, 'criterion': 'gini'}",0.8022470361180039,0.7467159277504105,0.713327859879584,0.7540969412493328,0.03667437339554007,39,37,0.8061700009975734
0.002004861831665039,2.910334751602663e-05,0.0021452109018961587,5.643132679009988e-06,best,13,5,sqrt,12,entropy,"{'splitter': 'best', 'min_samples_split': 13, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 12, 'criterion': 'entropy'}",0.7832230493520816,0.8217022441160373,0.7586891078270389,0.7878714670983858,0.02593414322088534,18,37,0.8071197013443134
0.0017006397247314453,1.3151257574359641e-05,0.0021200974782307944,8.373739614564163e-06,random,2,4,,4,gini,"{'splitter': 'random', 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 4, 'criterion': 'gini'}",0.7536531568789634,0.7147646414887794,0.7764778325123154,0.748298543626686,0.025477223800719984,44,37,0.7300956277808549
0.002472400665283203,6.0203720557914143e-05,0.0021698474884033203,1.3687801451117824e-05,best,3,13,,9,gini,"{'splitter': 'best', 'min_samples_split': 3, 'min_samples_leaf': 13, 'max_features': None, 'max_depth': 9, 'criterion': 'gini'}",0.8077612351805901,0.8352490421455939,0.7792145593869733,0.8074082789043858,0.02287734320393903,8,37,0.8423685354345657
