mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,dataset_id,total_mean_auc
0.006237030029296875,0.006732413675537577,0.002754767735799154,0.001257107296717875,0.18685615607934639,0.12,"{'l1_ratio': 0.18685615607934639, 'alpha': 0.12}",0.8414837454848569,0.8597479216948243,0.815643234231731,0.8389583004704707,0.018094000266106625,72,37,0.83957801099518
0.0014128684997558594,1.8107259317443395e-05,0.001784960428873698,4.923996267613521e-05,0.03467404600211752,0.664,"{'l1_ratio': 0.03467404600211752, 'alpha': 0.664}",0.8427340928035565,0.8600160901045857,0.815643234231731,0.8394644723799578,0.01826208089391958,30,37,0.8397934428964652
0.0013932387034098308,1.6656722712591904e-05,0.0017476876576741536,2.332145929248573e-05,0.07802065930634346,0.13,"{'l1_ratio': 0.07802065930634346, 'alpha': 0.13}",0.8399555432064462,0.8605524269241083,0.815643234231731,0.8387170681207619,0.01835500408560135,88,37,0.8399709720412346
0.001359860102335612,3.952926036658569e-06,0.0017063617706298828,1.1415910460473393e-05,0.004425327676936571,0.362,"{'l1_ratio': 0.004425327676936571, 'alpha': 0.362}",0.8400944706863016,0.8612228479485116,0.8152264517921645,0.8388479234756593,0.01879862627612588,80,37,0.8402311932984581
0.0013739267985026042,1.1812886072753547e-05,0.0016988118489583333,2.433998240012098e-06,0.07080524283098096,0.256,"{'l1_ratio': 0.07080524283098096, 'alpha': 0.256}",0.8406501806057237,0.8600160901045857,0.8155043067518756,0.8387235258207283,0.018222855855674937,87,37,0.8395876035546825
0.001351753870646159,3.0304075821141593e-06,0.0016986529032389324,1.2376861391097851e-05,0.24485507439670287,0.637,"{'l1_ratio': 0.24485507439670287, 'alpha': 0.637}",0.8509308141150319,0.8625636899973183,0.8123089747151988,0.8419344929425163,0.02147998212291329,5,37,0.7775812164510916
0.0013781388600667317,9.934425348917805e-06,0.001703182856241862,9.537405414899314e-06,0.0033537712360848875,0.109,"{'l1_ratio': 0.0033537712360848875, 'alpha': 0.109}",0.8403723256460128,0.8600160901045857,0.816198944151153,0.8388624533005838,0.017920107063495717,78,37,0.8401899376505343
0.0013534228006998699,4.899036091938795e-07,0.0016892751057942708,1.569986293097241e-05,0.6597539553863555,0.724,"{'l1_ratio': 0.6597539553863555, 'alpha': 0.724}",0.8413448180050015,0.8582729954411371,0.7989719366490691,0.8328632500317359,0.024941353076486195,97,37,0.7432410956824067
0.0013717015584309895,1.2796857966022711e-05,0.0017023086547851562,9.95855502097684e-06,0.010746420454216199,0.054,"{'l1_ratio': 0.010746420454216199, 'alpha': 0.054}",0.8407891080855793,0.8604183427192277,0.8163378716310086,0.8391817741452718,0.018031631921645887,44,37,0.8402573185550186
0.0013549327850341797,6.229374549314316e-06,0.0017085075378417969,1.0284291647638003e-05,0.9138314502292673,0.135,"{'l1_ratio': 0.9138314502292673, 'alpha': 0.135}",0.8512086690747428,0.8616251005631537,0.8134203945540428,0.8420847213973129,0.020710033579106182,1,37,0.8254461002059451
0.0013481775919596355,8.316978106149756e-06,0.0017081896464029949,9.834746319015012e-06,0.9999999999998522,0.989,"{'l1_ratio': 0.9999999999998522, 'alpha': 0.989}",0.8093220338983049,0.8159694288012872,0.7657682689636011,0.7970199105543978,0.022264258223121614,99,37,0.6669728993435691
0.0013661384582519531,7.794014816249507e-06,0.0016876061757405598,1.2694281253184907e-05,0.006345721846532837,0.516,"{'l1_ratio': 0.006345721846532837, 'alpha': 0.516}",0.8402333981661572,0.861088763743631,0.8157821617115865,0.8390347745404582,0.01851575132816341,59,37,0.8402555700008169
0.0013715426127115886,9.166635421305476e-06,0.0021181106567382812,0.0006163654728483925,0.0054482174466810715,0.9450000000000001,"{'l1_ratio': 0.0054482174466810715, 'alpha': 0.9450000000000001}",0.8406501806057237,0.861491016358273,0.815643234231731,0.8392614770652426,0.01874301922713669,36,37,0.8402003334752168
0.0013546943664550781,1.6632437337602258e-06,0.0018150806427001953,0.00016562433783301169,0.08133386596511318,0.08600000000000001,"{'l1_ratio': 0.08133386596511318, 'alpha': 0.08600000000000001}",0.8393998332870242,0.860284258514347,0.8157821617115865,0.8384887511709859,0.01817932356510532,91,37,0.8399630692440089
0.0013683636983235676,8.955431205540643e-06,0.0016914208730061848,1.8087715588793823e-06,0.005879870107074256,0.89,"{'l1_ratio': 0.005879870107074256, 'alpha': 0.89}",0.8405112531258683,0.8612228479485117,0.815643234231731,0.8391257784353704,0.01863357098950248,51,37,0.8401739455793318
