dataset,model,score,hyperparameters
iris,KNN,0.9733,{}
iris,RandomForest,0.96,{}
iris,XGBoost,0.9533,{}
digits,KNN,0.9627,{}
digits,RandomForest,0.9349,{}
digits,XGBoost,0.9182,{}
wine,KNN,0.6913,{}
wine,RandomForest,0.961,{}
wine,XGBoost,0.9498,{}
breast_cancer,KNN,0.9279,{}
breast_cancer,RandomForest,0.9631,{}
breast_cancer,XGBoost,0.9701,{}
