,Dataset,Model,Hyperparameters,ID,Metric,Value,BayesHyperparameters,Search
0,credit_g,xgb,,0,AUC,0.7396857142857143,"OrderedDict([('gamma', 0.18948799183778545), ('learning_rate', 0.7179821345038754), ('max_depth', 10), ('max_leaves', 3), ('min_child_weight', 1), ('n_estimators', 987), ('nthread', 4), ('reg_alpha', 5.669692109153908), ('reg_lambda', 1.5030295105065918), ('subsample', 0.7386847881466084)])",Bayes
1,credit_g,xgb,,0,Accuracy,0.722,"OrderedDict([('gamma', 0.18948799183778545), ('learning_rate', 0.7179821345038754), ('max_depth', 10), ('max_leaves', 3), ('min_child_weight', 1), ('n_estimators', 987), ('nthread', 4), ('reg_alpha', 5.669692109153908), ('reg_lambda', 1.5030295105065918), ('subsample', 0.7386847881466084)])",Bayes
2,credit_g,xgb,,0,Brier,0.18089717924755724,"OrderedDict([('gamma', 0.18948799183778545), ('learning_rate', 0.7179821345038754), ('max_depth', 10), ('max_leaves', 3), ('min_child_weight', 1), ('n_estimators', 987), ('nthread', 4), ('reg_alpha', 5.669692109153908), ('reg_lambda', 1.5030295105065918), ('subsample', 0.7386847881466084)])",Bayes
3,credit_g,xgb,,1,AUC,0.716,"OrderedDict([('gamma', 1.0), ('learning_rate', 1.0), ('max_depth', 2), ('max_leaves', 10), ('min_child_weight', 10), ('n_estimators', 1000), ('nthread', 4), ('reg_alpha', 0.01), ('reg_lambda', 0.01), ('subsample', 1.0)])",Bayes
4,credit_g,xgb,,1,Accuracy,0.68,"OrderedDict([('gamma', 1.0), ('learning_rate', 1.0), ('max_depth', 2), ('max_leaves', 10), ('min_child_weight', 10), ('n_estimators', 1000), ('nthread', 4), ('reg_alpha', 0.01), ('reg_lambda', 0.01), ('subsample', 1.0)])",Bayes
5,credit_g,xgb,,1,Brier,0.18808217569876917,"OrderedDict([('gamma', 1.0), ('learning_rate', 1.0), ('max_depth', 2), ('max_leaves', 10), ('min_child_weight', 10), ('n_estimators', 1000), ('nthread', 4), ('reg_alpha', 0.01), ('reg_lambda', 0.01), ('subsample', 1.0)])",Bayes
6,credit_g,xgb,,2,AUC,0.7192857142857143,"OrderedDict([('gamma', 0.23072334822442805), ('learning_rate', 0.9457578363090297), ('max_depth', 2), ('max_leaves', 10), ('min_child_weight', 2), ('n_estimators', 108), ('nthread', 4), ('reg_alpha', 9.9929719427851), ('reg_lambda', 9.980458271079687), ('subsample', 0.6549390216866153)])",Bayes
7,credit_g,xgb,,2,Accuracy,0.71,"OrderedDict([('gamma', 0.23072334822442805), ('learning_rate', 0.9457578363090297), ('max_depth', 2), ('max_leaves', 10), ('min_child_weight', 2), ('n_estimators', 108), ('nthread', 4), ('reg_alpha', 9.9929719427851), ('reg_lambda', 9.980458271079687), ('subsample', 0.6549390216866153)])",Bayes
8,credit_g,xgb,,2,Brier,0.18450497593457396,"OrderedDict([('gamma', 0.23072334822442805), ('learning_rate', 0.9457578363090297), ('max_depth', 2), ('max_leaves', 10), ('min_child_weight', 2), ('n_estimators', 108), ('nthread', 4), ('reg_alpha', 9.9929719427851), ('reg_lambda', 9.980458271079687), ('subsample', 0.6549390216866153)])",Bayes
9,credit_g,xgb,,3,AUC,0.7258095238095238,"OrderedDict([('gamma', 0.46161186091647033), ('learning_rate', 0.17262643490015292), ('max_depth', 7), ('max_leaves', 2), ('min_child_weight', 7), ('n_estimators', 411), ('nthread', 4), ('reg_alpha', 1.3822148771707978), ('reg_lambda', 4.364701904354818), ('subsample', 0.7647334734983326)])",Bayes
