Iteration,Score
1,0.4294891828986718
2,0.5146097729675974
3,0.5242414032338253
4,0.44370022619878746
5,0.5146097729675974
6,0.5146097729675974
7,0.4168745136255133
8,0.41897489230669904
9,0.5129703392783868
10,0.4168745136255133
11,0.5507474647901258
12,0.41897489230669904
13,0.5278626078019898
14,0.5129703392783868
15,0.41897489230669904
16,0.5278626078019899
17,0.43709671937419836
18,0.44370022619878746
19,0.5146097729675974
20,0.47226537785845135
21,0.5146097729675974
22,0.4084411820574222
23,0.5129703392783868
24,0.5092327038971962
25,0.4243773443704105
26,0.5146097729675974
27,0.5146097729675974
28,0.5146097729675974
29,0.4667953123841251
30,0.5129703392783868
31,0.41897489230669904
32,0.46839088313302957
33,0.5092327038971962
34,0.4084411820574223
35,0.4243773443704105
36,0.4243773443704105
37,0.4168745136255133
38,0.5146097729675974
39,0.41897489230669904
40,0.44370022619878746
41,0.5129703392783868
42,0.5129703392783868
43,0.523953615257955
44,0.5146097729675974
45,0.5129703392783868
46,0.5129703392783868
47,0.42746550162177877
48,0.5129703392783868
49,0.5146097729675974
50,0.5482888937862507
