n_neighbors,df1,df2,df3,df4,mean_score
1,0.9948428453267164,0.8147129186602872,0.7150000000000001,0.6887096774193548,0.8033163603515896
2,0.9974234904880067,0.7963773069036227,0.62875,0.7263088313061873,0.7872149071744542
3,0.9961331679073615,0.8890635680109364,0.7012499999999998,0.7134056054997358,0.8249630853545085
4,0.9942059553349875,0.9164730006835271,0.67375,0.7459809624537282,0.8326024796180607
5,0.9948469809760132,0.9256151742993849,0.7187499999999999,0.7331570597567424,0.8430923037580351
6,0.9929197684036394,0.9374060150375941,0.7025,0.74420941300899,0.8442587991125559
7,0.9929032258064516,0.9530075187969924,0.7225,0.7296404019037547,0.8495127866267996
8,0.9948469809760132,0.971291866028708,0.72,0.7100740349021681,0.8490532204767223
9,0.9909718775847807,0.9646787423103212,0.71625,0.7329455314648333,0.8512115378399838
10,0.9871215880893299,0.9751537935748462,0.7162499999999999,0.7295610787942887,0.8520216151146163
11,0.9877832919768403,0.9672590567327408,0.7012499999999999,0.7310682178741406,0.8468401416459304
12,0.9896856906534325,0.9725734791524264,0.7462500000000001,0.7361713379164463,0.8611701269305763
13,0.9806741108354011,0.9726418318523582,0.7337499999999999,0.7506874669487045,0.859438352409116
14,0.9864764267990076,0.9764695830485304,0.72875,0.7491274457958753,0.8602058639108534
15,0.9781141439205957,0.9686773752563225,0.7187499999999999,0.734479111581174,0.850005157689523
16,0.9774400330851943,0.9830143540669856,0.7425,0.7427551560021153,0.8614273857885739
17,0.975545905707196,0.9373547505126453,0.7349999999999999,0.750793231094659,0.849673471828625
18,0.9787344913151363,0.9582194121667804,0.7337499999999999,0.7378635642517187,0.8521418669334088
19,0.9794003308519438,0.9152255639097744,0.7350000000000001,0.7345584346906399,0.8410460823630894
20,0.9793672456575683,0.9293403964456596,0.745,0.7312004230565838,0.8462270162899529
21,0.9755086848635235,0.8759740259740261,0.7325,0.7197778952934956,0.8259401515327612
22,0.972952853598015,0.9112611073137389,0.71,0.7428080380750925,0.8342554997467115
23,0.9767907361455748,0.878673957621326,0.71,0.7606557377049181,0.8315301078679547
24,0.9742266335814724,0.8811517429938481,0.73875,0.7310153358011633,0.8312859280941209
25,0.9755293631100083,0.8524948735475052,0.72625,0.7263088313061872,0.8201457669909251
26,0.9780934656741109,0.8747265892002734,0.72,0.739423585404548,0.828060910069733
27,0.9710132340777502,0.821120984278879,0.7224999999999999,0.7313061872025383,0.8114851013897918
28,0.9774565756823822,0.8446343130553657,0.73875,0.7183236382866207,0.8197911317560922
29,0.9710090984284534,0.8132604237867396,0.72375,0.7266261237440508,0.808661411489811
30,0.9710008271298595,0.8184894053315107,0.7424999999999999,0.7426493918561607,0.8186599060793827
