,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,df1,df2,df3,df4,ccp_alpha_tunability
0,0.9526588656980077,26,21,31,0.6507733664185278,0.6618933697881066,0.6925,0.6499735589635114,0.6637850737925364
1,0.7726906993280971,26,21,31,0.646927212572374,0.6422419685577581,0.6962499999999999,0.6529613960867265,0.6595951443042146
2,0.8811132403443989,26,21,31,0.6508064516129031,0.6552802460697198,0.7,0.6498942358540455,0.663995233384167
3,0.45835517822511096,26,21,31,0.6565260545905707,0.6526999316473001,0.69875,0.6547329455314649,0.6656772329423339
4,0.3325914015032233,26,21,31,0.6597394540942928,0.6515037593984963,0.69125,0.6613432046536224,0.6659591045366029
5,0.8905861429018715,26,21,31,0.6540488006617038,0.6580997949419002,0.7024999999999999,0.654653622421999,0.6673255545064007
6,0.6411459984881873,26,21,31,0.6578453267162945,0.6579972658920027,0.68625,0.6448175568482285,0.6617275373641314
7,0.3397757536238527,26,21,31,0.6533746898263028,0.6459842788790157,0.69,0.6513220518244316,0.6601702551324375
8,0.3085389962345233,26,21,31,0.6494789081885857,0.631971975393028,0.6925,0.6500793231094659,0.6560075516727699
9,0.3483468973467555,26,21,31,0.6559346567411083,0.6447881066302119,0.6924999999999999,0.6498413537810682,0.6607660292880971
10,0.7288362979810712,26,21,31,0.6598097601323408,0.644941900205058,0.7125,0.6548122686409307,0.6680159822445824
11,0.5290990927657884,26,21,31,0.6468651778329197,0.6541695146958305,0.6962499999999999,0.6498149127445796,0.6617749013183325
12,0.5553305214577466,26,21,31,0.6604094292803969,0.6722317156527683,0.6824999999999999,0.6368852459016393,0.6630065977087011
13,0.25568246479355805,26,21,31,0.6546029776674938,0.6424128503075871,0.7087499999999999,0.6579851930195663,0.6659377552486617
14,0.33693933466697024,26,21,31,0.6604383788254756,0.65134996582365,0.69875,0.654785827604442,0.666331043063392
15,0.9499470620291962,26,21,31,0.653354011579818,0.6437457279562543,0.6987500000000001,0.6400846113167636,0.658983587713209
16,0.7941705859519536,26,21,31,0.6514143920595534,0.6633287764866712,0.69625,0.6449762030671602,0.6639923429033462
17,0.9429371772049815,26,21,31,0.6469520264681555,0.6447539302802461,0.6925,0.6594658910629296,0.6609179619528328
18,0.850398270681006,26,21,31,0.6456451612903226,0.6410628844839371,0.6912499999999999,0.6368852459016394,0.6537108229189748
19,0.9157919050657081,26,21,31,0.6527419354838709,0.6474196855775802,0.70625,0.6402432575356956,0.6616637196492867
20,0.3995478114029458,26,21,31,0.6552977667493797,0.6618591934381408,0.68875,0.6530671602326812,0.6647435301050504
21,0.7031891143822446,26,21,31,0.6610876757650952,0.6551606288448395,0.69875,0.6648598625066103,0.6699645417791363
22,0.4693087088742398,26,21,31,0.6507857733664185,0.6448906356801094,0.7025000000000001,0.6563458487572713,0.6636305644509499
23,0.8754050999320455,26,21,31,0.6642928039702234,0.6670710868079289,0.6925,0.651216287678477,0.6687700446141572
24,0.3865066391190216,26,21,31,0.6552688172043011,0.6564935064935067,0.6987500000000001,0.648360655737705,0.6647182448588782
25,0.48174455912835434,26,21,31,0.6720554177005791,0.6580997949419002,0.7124999999999999,0.6561343204653624,0.6746973832769604
26,0.08386356060117428,26,21,31,0.843019023986766,0.6474367737525633,0.6962499999999999,0.7229772607086199,0.7274207646119872
27,0.9638134277028639,26,21,31,0.653978494623656,0.6488892686261107,0.69375,0.6451084082496034,0.6604315428748425
28,0.5458280871071256,26,21,31,0.6545781637717122,0.6410970608339028,0.70875,0.648360655737705,0.66319647008583
