ccp_alpha,max_depth,min_samples_leaf,min_samples_split,df1,df2,df3,df4,mean_score
0.3978917766118303,21,34,49,0.6443424317617865,0.651555023923445,0.6925,0.6512691697514541,0.6599166563591714
0.5202909389498227,2,36,21,0.6565922249793219,0.6709671907040328,0.69,0.658223162347964,0.6689456445078297
0.02527529040319798,28,40,10,0.9748717948717948,0.7047846889952153,0.6925,0.7427551560021153,0.7787279099672813
0.7945881108884965,3,60,16,0.6610794044665013,0.6527853725222146,0.7000000000000001,0.6599682707562136,0.6684582619362324
0.23065054681754704,27,4,32,0.6475351530190239,0.6594668489405331,0.7000000000000001,0.6563722897937598,0.6658435729383292
0.2980057237465399,8,1,47,0.6649379652605459,0.6423444976076554,0.68625,0.6399259650978317,0.6583646069915083
0.4398391688477512,7,47,59,0.6520471464019851,0.6657211209842788,0.6987499999999999,0.6430988894764674,0.6649042892156828
0.04795164803329666,5,37,54,0.9716335814722912,0.6632775119617225,0.69375,0.7425171866737175,0.7677945700269329
0.5364063536210119,1,3,45,0.660347394540943,0.6410970608339028,0.6937499999999999,0.6530936012691697,0.6620720141610039
0.1964669287746722,13,38,43,0.6469065343258891,0.6384483937115516,0.7000000000000001,0.6563722897937599,0.6604318044578001
0.9055539410385405,21,19,48,0.6418072787427626,0.6422248803827751,0.6937500000000001,0.6515335801163404,0.6573289348104696
0.8261434426498088,29,13,16,0.6443258891645989,0.650375939849624,0.6849999999999999,0.656292966684294,0.6589986989246293
0.9461164583770961,3,37,34,0.6508147229114971,0.6553827751196172,0.7175,0.6466684294024326,0.6675914818583868
0.888681581614105,30,10,39,0.6566625310173697,0.6464285714285714,0.71125,0.6497620306716023,0.6660257832793859
0.6457775680809125,29,16,53,0.6469354838709677,0.6461209842788789,0.7024999999999999,0.6580380750925436,0.6633986358105974
0.5558081550235462,2,22,11,0.6559139784946236,0.6697368421052631,0.7112499999999999,0.6566367001586462,0.6733843801896333
0.08089552662378108,19,45,10,0.9330148883374688,0.657946001367054,0.69125,0.658355367530407,0.7351415643087325
0.3174837797137813,16,55,49,0.6507650951199337,0.64107997265892,0.6937499999999999,0.647990481226864,0.6583963872514293
0.44401270045461627,25,36,11,0.6520636889991729,0.6541866028708134,0.69625,0.6466684294024325,0.6622921803181048
0.5884228573993336,10,3,54,0.6526881720430108,0.6514354066985646,0.69625,0.6725806451612903,0.6682385559757165
