,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0015562375386555989,0.0004339049729606216,0.0005228519439697266,0.0004339826370062008,0.858693769759263,0.36762386375853234,"OrderedDict([('alpha', 0.858693769759263), ('l1_ratio', 0.36762386375853234)])",0.3574953304458871,0.3793654858015434,0.3872260789258407,0.3746956317244237,0.012578685785109116,197
1,0.0010902881622314453,0.00011126768006876025,0.0006703535715738932,0.000474037548178426,0.9925181073994517,0.7630880300174365,"OrderedDict([('alpha', 0.9925181073994517), ('l1_ratio', 0.7630880300174365)])",0.42892892571393393,0.42834209641243326,0.4457620184697426,0.4343443468653699,0.008077066745060719,194
2,0.0016794999440511067,0.00047379766082956796,0.000333706537882487,0.0004719323117259841,0.6734772542773244,0.7004230306008639,"OrderedDict([('alpha', 0.6734772542773244), ('l1_ratio', 0.7004230306008639)])",0.469145745434823,0.45372783817723406,0.47750275271121134,0.4667921121077561,0.009847718268823868,189
3,0.0013439655303955078,0.0004710331789577517,0.0006661415100097656,0.0004710331789577517,0.5626149179372756,0.3541044804419739,"OrderedDict([('alpha', 0.5626149179372756), ('l1_ratio', 0.3541044804419739)])",0.43335910737107153,0.4235645032742029,0.44161498308179437,0.43284619790902296,0.007377997126965234,195
4,0.0013395945231119792,0.0004736311475952836,0.00033346811930338543,0.0004715951369378969,0.3308677476915756,0.45330089626826364,"OrderedDict([('alpha', 0.3308677476915756), ('l1_ratio', 0.45330089626826364)])",0.4969600817138007,0.47433665785587364,0.5033612822083309,0.4915526739260017,0.012450896860279446,184
5,0.0013383229573567708,0.00047317538675637665,0.00033354759216308594,0.000471707528533926,0.4123265137948636,0.5839215856658909,"OrderedDict([('alpha', 0.4123265137948636), ('l1_ratio', 0.5839215856658909)])",0.4947444668207569,0.4735611353878998,0.5026201411161257,0.4903085811082608,0.012270948483281216,185
6,0.0010277430216471355,1.933135451699673e-05,0.000347137451171875,0.0004909264914548936,0.7580356510098685,0.60764095173628,"OrderedDict([('alpha', 0.7580356510098685), ('l1_ratio', 0.60764095173628)])",0.43369699767833647,0.42705721072834457,0.4463569271532317,0.43570371185330425,0.008005828703941363,193
7,0.0016951560974121094,0.0004929013754946184,0.0006943543752034506,0.0004922107665053853,0.7680201253980431,0.1838867148971253,"OrderedDict([('alpha', 0.7680201253980431), ('l1_ratio', 0.1838867148971253)])",0.3477461316483662,0.3725302771075524,0.37791220445412543,0.3660628710700147,0.013136932487491792,198
8,0.0014485518137613933,0.0005936524102254461,0.00043121973673502606,0.0006098368000536294,0.7273633180932004,0.6224286156388534,"OrderedDict([('alpha', 0.7273633180932004), ('l1_ratio', 0.6224286156388534)])",0.4432531903793776,0.4335693503809829,0.4541524978914043,0.443658346217255,0.008407917054723553,190
9,0.001345237096150716,0.0004731686192823037,0.0003345807393391927,0.0004731686192823037,0.026747943525273217,0.9900982851216631,"OrderedDict([('alpha', 0.026747943525273217), ('l1_ratio', 0.9900982851216631)])",0.5068113735628246,0.5237338580645114,0.6195301328353906,0.5500251214875755,0.04963065297624297,158
10,0.004369656244913737,0.00048272433856341864,0.00033354759216308594,0.000471707528533926,0.0,0.0,"OrderedDict([('alpha', 0.0), ('l1_ratio', 0.0)])",0.5028178895795695,0.5211927017879623,0.6214512078340224,0.5484872664005181,0.052135790605285816,165
11,0.003839890162150065,0.00047159529765035196,0.0,0.0,0.0,0.5542225661421261,"OrderedDict([('alpha', 0.0), ('l1_ratio', 0.5542225661421261)])",0.5028178895795695,0.5211927017879623,0.6214512078340224,0.5484872664005181,0.052135790605285816,165
12,0.0010007222493489583,1.1239159602905075e-07,0.0006665388743082682,0.000471314650422964,0.2593773832253161,1.0,"OrderedDict([('alpha', 0.2593773832253161), ('l1_ratio', 1.0)])",0.5187113760031661,0.5178935070836592,0.6023957462751072,0.5463335431206442,0.03964337014173228,169
13,0.0018535455067952473,0.0005976985076824919,0.0006666183471679688,0.00047137035374583886,0.0006094807243527401,0.22582846780779825,"OrderedDict([('alpha', 0.0006094807243527401), ('l1_ratio', 0.22582846780779825)])",0.5032730299459174,0.5218458884255581,0.6212756281431318,0.5487981821715358,0.05180716101692509,161
14,0.0018434524536132812,0.0006259257708213786,0.0005021890004475912,0.00040813483440256337,0.0016404659916947621,0.819351452305483,"OrderedDict([('alpha', 0.0016404659916947621), ('l1_ratio', 0.819351452305483)])",0.5033183192779109,0.5217358045569249,0.6213111842761947,0.5487884360370102,0.05182960994208992,162
15,0.0013356208801269531,0.0004722217270323664,0.0010004838307698567,1.5734823444067107e-06,0.5401610149282473,0.9986888494992591,"OrderedDict([('alpha', 0.5401610149282473), ('l1_ratio', 0.9986888494992591)])",0.5226100568512753,0.48412983875379056,0.5741068945315564,0.5269489300455407,0.036860882672156516,176
16,0.0013345082600911458,0.00047519166801082664,0.0006685256958007812,0.0004727190528981875,0.11392039400243484,0.003060982201588237,"OrderedDict([('alpha', 0.11392039400243484), ('l1_ratio', 0.003060982201588237)])",0.5147323161908379,0.5003483632675315,0.539121092796496,0.5180672574182884,0.016003593628192196,178
17,0.0014796257019042969,0.0,0.00033481915791829425,0.0004735057940703908,0.11441995617353853,0.8821011980613929,"OrderedDict([('alpha', 0.11441995617353853), ('l1_ratio', 0.8821011980613929)])",0.5147913846587662,0.5247227636128519,0.6019722529740765,0.5471621337485649,0.038968106182009216,168
