,rfr,gbr,en
abalone,-0.019230865767075667,-0.05557572654479104,-3.704265692916486e-05
autompg,-0.0029340880885714293,-0.011342640553053673,-0.012131270013507667
insurance,-0.022502780315972748,-0.024551544230833056,-2.224813541673587e-05
concrete,0.001052117570439215,-0.12753721595220924,-0.002659232962563318
