,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,14.574039538701376,0.6552652067035297,0.04100449879964193,0.0004159079522674839,0.21197606382337986,67,1,4,743,0.7472352791392958,"{'learning_rate': 0.21197606382337986, 'max_depth': 67, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 743, 'subsample': 0.7472352791392958}",0.48351301785237677,0.4054882644312753,0.3672153845079502,0.41873888893053407,0.048394002160005584,104
1,4.58154280980428,0.1137383511450631,0.017558495203653973,0.005430665445549259,0.15242449069545322,58,3,3,97,0.621724867320349,"{'learning_rate': 0.15242449069545322, 'max_depth': 58, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 97, 'subsample': 0.621724867320349}",0.4849046662332144,0.4367935275443665,0.38903513001592505,0.43691110793116866,0.039138662577133436,80
2,2.64351487159729,0.10079307306648985,0.01929314931233724,0.005518563356037452,0.050585721162811514,33,3,2,112,0.3917358040415869,"{'learning_rate': 0.050585721162811514, 'max_depth': 33, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 112, 'subsample': 0.3917358040415869}",0.5240197507858433,0.5029790657969788,0.4570238747284896,0.4946742304371039,0.027974268771367328,8
3,3.7875567277272544,0.0654974193142816,0.016589959462483723,0.0020126390268557608,0.08098019031663675,37,1,2,69,0.6686128159183453,"{'learning_rate': 0.08098019031663675, 'max_depth': 37, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 69, 'subsample': 0.6686128159183453}",0.5051823285797243,0.4801871411479016,0.4353681982632618,0.4735792226636293,0.028881962513907015,28
4,24.039451678593952,0.7172299207516261,0.08772468566894531,0.00252426405207148,0.13767458163858212,85,4,4,597,0.4850771417540376,"{'learning_rate': 0.13767458163858212, 'max_depth': 85, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 597, 'subsample': 0.4850771417540376}",0.47063472306831755,0.41289392128692826,0.38798494873118194,0.42383786436214255,0.03461766135967794,97
5,4.921951452891032,0.03414496142411564,0.02081886927286784,7.961808287554952e-05,0.0963563443447293,8,2,5,381,0.4219560269281196,"{'learning_rate': 0.0963563443447293, 'max_depth': 8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 381, 'subsample': 0.4219560269281196}",0.49288499827986687,0.43120099588122873,0.4067551940604949,0.44361372940719684,0.036241254199294824,69
6,9.340086539586386,0.2351006348737296,0.05151057243347168,0.003244874006153787,0.1309908849273479,86,3,8,412,0.31106158766405756,"{'learning_rate': 0.1309908849273479, 'max_depth': 86, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 412, 'subsample': 0.31106158766405756}",0.44553681389266864,0.38025078385338307,0.2981273729947769,0.3746383235802762,0.060310367263543024,138
7,1.6935687859853108,0.01206302024947692,0.01715739568074544,0.002110650923778083,0.2965186330898335,4,3,7,577,0.1251837595386541,"{'learning_rate': 0.2965186330898335, 'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 577, 'subsample': 0.1251837595386541}",0.01308122171116377,-0.6091601044008346,-0.9148287166564188,-0.5036358664486965,0.38609647933028973,200
8,27.199159145355225,0.5859022538488781,0.06906827290852864,0.0033406394010372623,0.06043288970864324,23,2,4,485,0.9008791296460938,"{'learning_rate': 0.06043288970864324, 'max_depth': 23, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 485, 'subsample': 0.9008791296460938}",0.4969603379528885,0.4508474645864716,0.4174338346650237,0.4550805457347946,0.032604247303124057,55
9,19.293973525365193,1.82280185088687,0.05223353703816732,0.004108010752758771,0.227609824382386,31,1,8,366,0.6615576566129001,"{'learning_rate': 0.227609824382386, 'max_depth': 31, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 366, 'subsample': 0.6615576566129001}",0.4646262110089836,0.4091304121642009,0.3637527953567251,0.41250313950996986,0.04125039768414361,109
