dataset,model,score,hyperparameters,iteration
iris,RandomForest,0.9467,"{'n_estimators': 1350, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_depth': 60, 'bootstrap': True}",12
iris,RandomForest,0.96,"{'n_estimators': 700, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_depth': 60, 'bootstrap': False}",13
iris,RandomForest,0.9533,"{'n_estimators': 750, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_depth': 10, 'bootstrap': True}",14
iris,RandomForest,0.9533,"{'n_estimators': 550, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_depth': 10, 'bootstrap': True}",15
iris,RandomForest,0.9533,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_depth': 10, 'bootstrap': True}",16
iris,RandomForest,0.9467,"{'n_estimators': 1550, 'min_samples_split': 5, 'min_samples_leaf': 9, 'max_depth': 20, 'bootstrap': True}",17
iris,RandomForest,0.9467,"{'n_estimators': 550, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_depth': 40, 'bootstrap': False}",18
iris,RandomForest,0.9533,"{'n_estimators': 600, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_depth': 50, 'bootstrap': False}",19
iris,RandomForest,0.9533,"{'n_estimators': 700, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_depth': 70, 'bootstrap': True}",20
iris,RandomForest,0.9467,"{'n_estimators': 750, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_depth': 100, 'bootstrap': False}",21
iris,RandomForest,0.9533,"{'n_estimators': 550, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 80, 'bootstrap': True}",22
iris,RandomForest,0.9467,"{'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_depth': 10, 'bootstrap': False}",23
iris,RandomForest,0.9533,"{'n_estimators': 700, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 30, 'bootstrap': True}",24
iris,RandomForest,0.96,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': False}",25
iris,RandomForest,0.9533,"{'n_estimators': 800, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_depth': 60, 'bootstrap': False}",26
iris,RandomForest,0.9533,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 100, 'bootstrap': True}",27
iris,RandomForest,0.9467,"{'n_estimators': 1000, 'min_samples_split': 4, 'min_samples_leaf': 9, 'max_depth': 70, 'bootstrap': True}",28
iris,RandomForest,0.9533,"{'n_estimators': 150, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_depth': 70, 'bootstrap': True}",29
iris,RandomForest,0.9667,"{'n_estimators': 650, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'bootstrap': True}",30
iris,RandomForest,0.96,"{'n_estimators': 1950, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_depth': 10, 'bootstrap': True}",31
iris,RandomForest,0.9533,"{'n_estimators': 300, 'min_samples_split': 9, 'min_samples_leaf': 9, 'max_depth': 70, 'bootstrap': True}",32
iris,RandomForest,0.96,"{'n_estimators': 850, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_depth': 40, 'bootstrap': False}",33
iris,RandomForest,0.94,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_depth': 100, 'bootstrap': False}",34
iris,RandomForest,0.9467,"{'n_estimators': 1950, 'min_samples_split': 3, 'min_samples_leaf': 7, 'max_depth': 10, 'bootstrap': True}",35
iris,RandomForest,0.9533,"{'n_estimators': 750, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_depth': 10, 'bootstrap': True}",36
iris,RandomForest,0.9467,"{'n_estimators': 650, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_depth': 20, 'bootstrap': False}",37
iris,RandomForest,0.9467,"{'n_estimators': 1400, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_depth': 90, 'bootstrap': False}",38
iris,RandomForest,0.9533,"{'n_estimators': 1700, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 50, 'bootstrap': True}",39
iris,RandomForest,0.9533,"{'n_estimators': 1200, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_depth': 20, 'bootstrap': True}",40
iris,RandomForest,0.9533,"{'n_estimators': 800, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_depth': 20, 'bootstrap': True}",41
iris,RandomForest,0.9467,"{'n_estimators': 1800, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_depth': 60, 'bootstrap': False}",42
iris,RandomForest,0.9533,"{'n_estimators': 1900, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 20, 'bootstrap': False}",43
iris,RandomForest,0.9533,"{'n_estimators': 1300, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_depth': 60, 'bootstrap': True}",44
iris,RandomForest,0.9533,"{'n_estimators': 250, 'min_samples_split': 7, 'min_samples_leaf': 9, 'max_depth': 80, 'bootstrap': True}",45
iris,RandomForest,0.9467,"{'n_estimators': 1350, 'min_samples_split': 9, 'min_samples_leaf': 8, 'max_depth': 40, 'bootstrap': True}",46
iris,RandomForest,0.9533,"{'n_estimators': 800, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_depth': 40, 'bootstrap': True}",47
iris,RandomForest,0.94,"{'n_estimators': 250, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_depth': 60, 'bootstrap': False}",48
iris,RandomForest,0.94,"{'n_estimators': 350, 'min_samples_split': 6, 'min_samples_leaf': 7, 'max_depth': 60, 'bootstrap': False}",49
iris,XGBoost,0.9533,"{'subsample': 0.9444444444444444, 'n_estimators': 850, 'max_depth': 3, 'learning_rate': 0.042222222222222223, 'colsample_bytree': 0.8888888888888888}",0
iris,XGBoost,0.94,"{'subsample': 0.8888888888888888, 'n_estimators': 950, 'max_depth': 8, 'learning_rate': 0.1711111111111111, 'colsample_bytree': 0.9444444444444444}",1
iris,XGBoost,0.96,"{'subsample': 0.6111111111111112, 'n_estimators': 400, 'max_depth': 2, 'learning_rate': 0.23555555555555557, 'colsample_bytree': 0.8888888888888888}",2
iris,XGBoost,0.96,"{'subsample': 0.7222222222222222, 'n_estimators': 750, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8333333333333333}",3
iris,XGBoost,0.96,"{'subsample': 1.0, 'n_estimators': 900, 'max_depth': 1, 'learning_rate': 0.01, 'colsample_bytree': 0.8888888888888888}",4
iris,XGBoost,0.9533,"{'subsample': 0.9444444444444444, 'n_estimators': 350, 'max_depth': 5, 'learning_rate': 0.1388888888888889, 'colsample_bytree': 0.8333333333333333}",5
iris,XGBoost,0.9467,"{'subsample': 0.8333333333333333, 'n_estimators': 850, 'max_depth': 1, 'learning_rate': 0.07444444444444444, 'colsample_bytree': 0.6666666666666666}",6
iris,XGBoost,0.9467,"{'subsample': 0.8888888888888888, 'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.9444444444444444}",7
iris,XGBoost,0.9533,"{'subsample': 0.8333333333333333, 'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.2677777777777778, 'colsample_bytree': 1.0}",8
iris,XGBoost,0.9533,"{'subsample': 0.9444444444444444, 'n_estimators': 500, 'max_depth': 2, 'learning_rate': 0.042222222222222223, 'colsample_bytree': 0.7777777777777778}",9
iris,XGBoost,0.9533,"{'subsample': 0.8888888888888888, 'n_estimators': 300, 'max_depth': 9, 'learning_rate': 0.1711111111111111, 'colsample_bytree': 0.8333333333333333}",10
iris,XGBoost,0.9467,"{'subsample': 0.7222222222222222, 'n_estimators': 850, 'max_depth': 8, 'learning_rate': 0.10666666666666666, 'colsample_bytree': 0.8888888888888888}",11
iris,XGBoost,0.9667,"{'subsample': 0.6666666666666666, 'n_estimators': 350, 'max_depth': 4, 'learning_rate': 0.3, 'colsample_bytree': 0.5}",12
iris,XGBoost,0.9667,"{'subsample': 0.5, 'n_estimators': 300, 'max_depth': 1, 'learning_rate': 0.1388888888888889, 'colsample_bytree': 0.6111111111111112}",13
iris,XGBoost,0.9667,"{'subsample': 0.5555555555555556, 'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.3, 'colsample_bytree': 0.6666666666666666}",14
iris,XGBoost,0.9667,"{'subsample': 0.5, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.23555555555555557, 'colsample_bytree': 0.6666666666666666}",15
iris,XGBoost,0.9467,"{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.5}",16
iris,XGBoost,0.96,"{'subsample': 0.7777777777777778, 'n_estimators': 400, 'max_depth': 9, 'learning_rate': 0.1388888888888889, 'colsample_bytree': 0.6666666666666666}",17
iris,XGBoost,0.9667,"{'subsample': 0.7777777777777778, 'n_estimators': 700, 'max_depth': 9, 'learning_rate': 0.23555555555555557, 'colsample_bytree': 0.6666666666666666}",18
iris,XGBoost,0.9533,"{'subsample': 0.5555555555555556, 'n_estimators': 950, 'max_depth': 1, 'learning_rate': 0.10666666666666666, 'colsample_bytree': 0.5}",19
iris,XGBoost,0.96,"{'subsample': 0.7777777777777778, 'n_estimators': 950, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8333333333333333}",20
iris,XGBoost,0.9667,"{'subsample': 0.7777777777777778, 'n_estimators': 950, 'max_depth': 8, 'learning_rate': 0.3, 'colsample_bytree': 0.7222222222222222}",21
iris,XGBoost,0.9533,"{'subsample': 0.7777777777777778, 'n_estimators': 850, 'max_depth': 4, 'learning_rate': 0.10666666666666666, 'colsample_bytree': 1.0}",22
iris,XGBoost,0.9533,"{'subsample': 0.9444444444444444, 'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.20333333333333334, 'colsample_bytree': 0.8888888888888888}",23
iris,XGBoost,0.96,"{'subsample': 0.5, 'n_estimators': 900, 'max_depth': 6, 'learning_rate': 0.042222222222222223, 'colsample_bytree': 1.0}",24
iris,XGBoost,0.9667,"{'subsample': 0.9444444444444444, 'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.3, 'colsample_bytree': 0.7222222222222222}",25
iris,XGBoost,0.9533,"{'subsample': 0.8888888888888888, 'n_estimators': 900, 'max_depth': 6, 'learning_rate': 0.042222222222222223, 'colsample_bytree': 0.8888888888888888}",26
iris,XGBoost,0.9533,"{'subsample': 0.6666666666666666, 'n_estimators': 850, 'max_depth': 4, 'learning_rate': 0.23555555555555557, 'colsample_bytree': 0.9444444444444444}",27
iris,XGBoost,0.9533,"{'subsample': 0.6666666666666666, 'n_estimators': 950, 'max_depth': 3, 'learning_rate': 0.20333333333333334, 'colsample_bytree': 0.8888888888888888}",28
iris,XGBoost,0.9533,"{'subsample': 0.8888888888888888, 'n_estimators': 450, 'max_depth': 6, 'learning_rate': 0.042222222222222223, 'colsample_bytree': 0.5}",29
iris,XGBoost,0.9533,"{'subsample': 0.7777777777777778, 'n_estimators': 850, 'max_depth': 4, 'learning_rate': 0.07444444444444444, 'colsample_bytree': 0.8888888888888888}",30
iris,XGBoost,0.9667,"{'subsample': 0.7777777777777778, 'n_estimators': 900, 'max_depth': 4, 'learning_rate': 0.2677777777777778, 'colsample_bytree': 0.6666666666666666}",31
iris,XGBoost,0.96,"{'subsample': 0.5555555555555556, 'n_estimators': 150, 'max_depth': 1, 'learning_rate': 0.20333333333333334, 'colsample_bytree': 0.8888888888888888}",32
iris,XGBoost,0.9667,"{'subsample': 0.7222222222222222, 'n_estimators': 550, 'max_depth': 5, 'learning_rate': 0.3, 'colsample_bytree': 0.7222222222222222}",33
