dataset,model,score,hyperparameters,iteration
iris,KNN,0.98,"{'n_neighbors': 7.0, 'p': 1, 'weights': 1}",0
iris,KNN,0.9467,"{'n_neighbors': 2.0, 'p': 1, 'weights': 0}",1
iris,KNN,0.9467,"{'n_neighbors': 26.0, 'p': 1, 'weights': 0}",2
iris,KNN,0.98,"{'n_neighbors': 7.0, 'p': 1, 'weights': 0}",3
iris,KNN,0.98,"{'n_neighbors': 11.0, 'p': 0, 'weights': 0}",4
iris,KNN,0.94,"{'n_neighbors': 28.0, 'p': 1, 'weights': 0}",5
iris,KNN,0.96,"{'n_neighbors': 28.0, 'p': 1, 'weights': 1}",6
iris,KNN,0.96,"{'n_neighbors': 26.0, 'p': 0, 'weights': 1}",7
iris,KNN,0.96,"{'n_neighbors': 5.0, 'p': 0, 'weights': 0}",8
iris,KNN,0.9733,"{'n_neighbors': 18.0, 'p': 0, 'weights': 1}",9
iris,KNN,0.94,"{'n_neighbors': 30.0, 'p': 0, 'weights': 0}",10
iris,KNN,0.96,"{'n_neighbors': 22.0, 'p': 1, 'weights': 0}",11
iris,KNN,0.9733,"{'n_neighbors': 18.0, 'p': 1, 'weights': 1}",12
iris,KNN,0.9533,"{'n_neighbors': 31.0, 'p': 0, 'weights': 1}",13
iris,KNN,0.98,"{'n_neighbors': 23.0, 'p': 1, 'weights': 1}",14
iris,KNN,0.9733,"{'n_neighbors': 10.0, 'p': 0, 'weights': 0}",15
iris,KNN,0.96,"{'n_neighbors': 8.0, 'p': 0, 'weights': 0}",16
iris,KNN,0.9467,"{'n_neighbors': 24.0, 'p': 1, 'weights': 0}",17
iris,KNN,0.98,"{'n_neighbors': 12.0, 'p': 1, 'weights': 0}",18
iris,KNN,0.98,"{'n_neighbors': 12.0, 'p': 1, 'weights': 0}",19
iris,KNN,0.9733,"{'n_neighbors': 16.0, 'p': 1, 'weights': 1}",20
iris,KNN,0.96,"{'n_neighbors': 2.0, 'p': 1, 'weights': 1}",21
iris,KNN,0.98,"{'n_neighbors': 13.0, 'p': 1, 'weights': 1}",22
iris,KNN,0.9667,"{'n_neighbors': 5.0, 'p': 1, 'weights': 1}",23
iris,KNN,0.9733,"{'n_neighbors': 15.0, 'p': 1, 'weights': 1}",24
iris,KNN,0.9733,"{'n_neighbors': 14.0, 'p': 1, 'weights': 1}",25
iris,KNN,0.9733,"{'n_neighbors': 20.0, 'p': 1, 'weights': 1}",26
iris,KNN,0.98,"{'n_neighbors': 8.0, 'p': 1, 'weights': 1}",27
iris,KNN,0.96,"{'n_neighbors': 2.0, 'p': 1, 'weights': 1}",28
iris,KNN,0.9667,"{'n_neighbors': 4.0, 'p': 1, 'weights': 1}",29
iris,KNN,0.9733,"{'n_neighbors': 9.0, 'p': 1, 'weights': 1}",30
iris,KNN,0.98,"{'n_neighbors': 6.0, 'p': 1, 'weights': 1}",31
iris,KNN,0.96,"{'n_neighbors': 1.0, 'p': 1, 'weights': 1}",32
iris,KNN,0.98,"{'n_neighbors': 6.0, 'p': 1, 'weights': 1}",33
iris,KNN,0.9667,"{'n_neighbors': 3.0, 'p': 1, 'weights': 1}",34
iris,KNN,0.98,"{'n_neighbors': 7.0, 'p': 1, 'weights': 1}",35
iris,KNN,0.9867,"{'n_neighbors': 11.0, 'p': 1, 'weights': 1}",36
iris,KNN,0.9867,"{'n_neighbors': 10.0, 'p': 1, 'weights': 1}",37
iris,KNN,0.9733,"{'n_neighbors': 17.0, 'p': 0, 'weights': 1}",38
iris,KNN,0.9867,"{'n_neighbors': 11.0, 'p': 1, 'weights': 1}",39
iris,KNN,0.98,"{'n_neighbors': 14.0, 'p': 0, 'weights': 1}",40
iris,KNN,0.9733,"{'n_neighbors': 9.0, 'p': 1, 'weights': 1}",41
iris,KNN,0.9733,"{'n_neighbors': 20.0, 'p': 1, 'weights': 1}",42
iris,KNN,0.9733,"{'n_neighbors': 20.0, 'p': 0, 'weights': 1}",43
iris,KNN,0.98,"{'n_neighbors': 11.0, 'p': 1, 'weights': 0}",44
iris,KNN,0.9733,"{'n_neighbors': 18.0, 'p': 0, 'weights': 1}",45
iris,KNN,0.9733,"{'n_neighbors': 16.0, 'p': 1, 'weights': 1}",46
iris,KNN,0.9733,"{'n_neighbors': 13.0, 'p': 1, 'weights': 0}",47
iris,KNN,0.9733,"{'n_neighbors': 10.0, 'p': 0, 'weights': 1}",48
iris,KNN,0.9467,"{'n_neighbors': 27.0, 'p': 1, 'weights': 0}",49
iris,RandomForest,0.9467,"{'bootstrap': 0, 'max_depth': 98.0, 'min_samples_leaf': 7.0, 'min_samples_split': 7.0, 'n_estimators': 540.0}",0
iris,RandomForest,0.9667,"{'bootstrap': 0, 'max_depth': 38.0, 'min_samples_leaf': 1.0, 'min_samples_split': 2.0, 'n_estimators': 1498.0}",1
iris,RandomForest,0.9533,"{'bootstrap': 1, 'max_depth': 35.0, 'min_samples_leaf': 2.0, 'min_samples_split': 10.0, 'n_estimators': 860.0}",2
iris,RandomForest,0.9467,"{'bootstrap': 0, 'max_depth': 21.0, 'min_samples_leaf': 10.0, 'min_samples_split': 3.0, 'n_estimators': 914.0}",3
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 42.0, 'min_samples_leaf': 2.0, 'min_samples_split': 10.0, 'n_estimators': 611.0}",4
iris,RandomForest,0.9467,"{'bootstrap': 0, 'max_depth': 61.0, 'min_samples_leaf': 6.0, 'min_samples_split': 3.0, 'n_estimators': 1250.0}",5
iris,RandomForest,0.9467,"{'bootstrap': 1, 'max_depth': 79.0, 'min_samples_leaf': 2.0, 'min_samples_split': 8.0, 'n_estimators': 1183.0}",6
iris,RandomForest,0.94,"{'bootstrap': 1, 'max_depth': 77.0, 'min_samples_leaf': 8.0, 'min_samples_split': 6.0, 'n_estimators': 1935.0}",7
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 64.0, 'min_samples_leaf': 11.0, 'min_samples_split': 3.0, 'n_estimators': 1170.0}",8
iris,RandomForest,0.9467,"{'bootstrap': 1, 'max_depth': 15.0, 'min_samples_leaf': 2.0, 'min_samples_split': 7.0, 'n_estimators': 428.0}",9
iris,RandomForest,0.9533,"{'bootstrap': 0, 'max_depth': 14.0, 'min_samples_leaf': 7.0, 'min_samples_split': 9.0, 'n_estimators': 377.0}",10
