Iteration,Score
1,-0.062361512275467934
2,0.6719452401744268
3,0.629995307945609
4,0.029311936314546032
5,0.7155586879292775
6,0.4281336707426934
7,0.1984903300417711
8,-0.04924110768782876
9,-0.06152833260385874
10,0.6962624992572274
11,-0.05456739749905567
12,-0.05911843734822234
13,0.20214053142982566
14,-0.006664286369194916
15,0.6944580584070473
16,0.7060055380150578
17,-0.058822002868628216
18,0.0703849534866103
19,-0.06206421684491418
20,0.35559967378436674
21,-0.060870353645089005
22,0.6862857550244454
23,0.33647490674667974
24,0.6840570293818147
25,-0.06191996408221364
26,-0.06080177251051011
27,-0.05958973984707695
28,-0.05973313883533831
29,0.5197333749311499
30,0.0010110420024959574
31,-0.06198536948219502
32,0.7173510200898486
33,0.6222990745235911
34,-0.05771935487704486
35,-0.0615337839570081
36,-0.05726105108640288
37,0.7097084266400877
38,0.08141362421119133
39,0.09778671635686013
40,0.5256244419434499
41,0.7229213512762486
42,0.20790765857627574
43,0.0057916396379309775
44,0.722957298525691
45,0.5585304442744771
46,0.7220758000662292
47,0.4712465093387929
48,0.08008582495222226
49,0.6766074857038099
50,0.47847175899235317
