,wektor parametrów,mean_score_dane1,mean_score_dane2,mean_score_dane3,mean_score_dane4
36,"{'model__n_estimators': 73, 'model__min_samples_leaf': 0.39, 'model__max_samples': 0.3699999999999999, 'model__max_features': 0.44}",0.5,0.5,0.5,0.5
37,"{'model__n_estimators': 69, 'model__min_samples_leaf': 0.15000000000000002, 'model__max_samples': 0.9199999999999996, 'model__max_features': 0.81}",0.7828694637832683,0.7683489665099748,0.4388483771205478,0.8261160255364196
38,"{'model__n_estimators': 95, 'model__min_samples_leaf': 0.7100000000000001, 'model__max_samples': 0.6999999999999996, 'model__max_features': 0.18}",0.5,0.5,0.5,0.5
39,"{'model__n_estimators': 58, 'model__min_samples_leaf': 0.2, 'model__max_samples': 0.5099999999999998, 'model__max_features': 0.9400000000000001}",0.5061526451260026,0.7167586430005752,0.43608107815769354,0.766885486283581
40,"{'model__n_estimators': 47, 'model__min_samples_leaf': 0.56, 'model__max_samples': 0.8299999999999996, 'model__max_features': 0.53}",0.5,0.5,0.5,0.5
41,"{'model__n_estimators': 93, 'model__min_samples_leaf': 0.65, 'model__max_samples': 0.6599999999999997, 'model__max_features': 0.15}",0.5,0.5,0.5,0.5
42,"{'model__n_estimators': 87, 'model__min_samples_leaf': 0.86, 'model__max_samples': 0.4099999999999998, 'model__max_features': 0.17}",0.5,0.5,0.5,0.5
43,"{'model__n_estimators': 57, 'model__min_samples_leaf': 0.36000000000000004, 'model__max_samples': 0.9399999999999996, 'model__max_features': 0.54}",0.5,0.5,0.5,0.5
44,"{'model__n_estimators': 41, 'model__min_samples_leaf': 0.54, 'model__max_samples': 0.9199999999999996, 'model__max_features': 0.19}",0.5,0.5,0.5,0.5
45,"{'model__n_estimators': 16, 'model__min_samples_leaf': 0.01, 'model__max_samples': 0.5899999999999997, 'model__max_features': 0.62}",0.8475765131045658,0.853553773494399,0.4911572406912705,0.9047680002733103
46,"{'model__n_estimators': 78, 'model__min_samples_leaf': 0.44, 'model__max_samples': 0.8599999999999995, 'model__max_features': 0.81}",0.5,0.5,0.5,0.5
47,"{'model__n_estimators': 12, 'model__min_samples_leaf': 0.05, 'model__max_samples': 0.8499999999999996, 'model__max_features': 0.51}",0.8022281886233028,0.8214407265391955,0.48516995510110583,0.8656241517342824
48,"{'model__n_estimators': 65, 'model__min_samples_leaf': 0.39, 'model__max_samples': 0.3999999999999998, 'model__max_features': 0.23}",0.5,0.5,0.5,0.5
49,"{'model__n_estimators': 91, 'model__min_samples_leaf': 0.24000000000000002, 'model__max_samples': 0.12, 'model__max_features': 0.85}",0.5,0.5,0.5,0.5
