mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.00410165786743164,0.0005363350359314342,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",,,,,,,,7
0.024900436401367188,0.010672763641476993,0.00915389060974121,0.0014028803688868382,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.6000000000000001,0.6029411764705883,0.5970588235294118,0.6058823529411765,0.5852941176470587,0.5982352941176471,0.0071076741021145135,3
0.003926706314086914,0.00030910364774752865,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,7
0.023369264602661134,0.004502173856715829,0.008320856094360351,0.000709805135435915,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.5941176470588235,0.6147058823529412,0.5941176470588235,0.6058823529411765,0.5882352941176471,0.5994117647058824,0.009557692240748206,2
0.0023528575897216798,0.0005280218888807258,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,7
0.049169397354125975,0.014548902890365716,0.007654523849487305,0.0013688501820059735,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.5852941176470589,0.6088235294117648,0.6029411764705882,0.5970588235294118,0.611764705882353,0.6011764705882354,0.009411764705882363,1
0.0022630691528320312,0.0003899526059343973,0.0,0.0,1,l1,"{'C': 1, 'penalty': 'l1'}",,,,,,,,7
0.05421004295349121,0.018723914398113963,0.008241033554077149,0.0018991416532825871,1,l2,"{'C': 1, 'penalty': 'l2'}",0.5794117647058824,0.5941176470588235,0.611764705882353,0.5911764705882352,0.5852941176470587,0.5923529411764706,0.010941808963375474,4
0.0024422168731689452,0.0008633744079646991,0.0,0.0,10,l1,"{'C': 10, 'penalty': 'l1'}",,,,,,,,7
0.07417283058166504,0.010465826064839893,0.007797336578369141,0.0006223598068188732,10,l2,"{'C': 10, 'penalty': 'l2'}",0.5735294117647058,0.5941176470588235,0.611764705882353,0.5764705882352941,0.5911764705882353,0.5894117647058823,0.013745084053585824,5
0.002762889862060547,0.00021794831204782875,0.0,0.0,100,l1,"{'C': 100, 'penalty': 'l1'}",,,,,,,,7
0.0811532974243164,0.0037427013812455956,0.007815313339233399,0.0009929065818643213,100,l2,"{'C': 100, 'penalty': 'l2'}",0.5764705882352941,0.5852941176470587,0.6,0.5764705882352941,0.5911764705882353,0.5858823529411764,0.008998269729869635,6
