param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
200,4,2,log2,5,0.9089333666731336,0.0053742644207299085,0.9042955203887111,0.9059890120748603,0.9157328906543349,0.9035068476907571,0.9151425625570051
10,12,10,sqrt,15,0.9053721814504814,0.007753920219384397,0.9002461150677115,0.9068052014782317,0.912231971700164,0.8932955870437342,0.914282031962565
70,7,4,log2,10,0.910443577990784,0.008350136108670487,0.9019037258095839,0.9152753898144306,0.9159502776624968,0.8990464615323809,0.920042035135028
142,9,6,sqrt,1,0.876913277444061,0.004034864795085248,0.870198081015849,0.875493567320804,0.8812533349143298,0.8767791150372521,0.8808422889320697
157,12,9,log2,4,0.9060776558259054,0.005380180970100568,0.9002253082383154,0.9013626212920693,0.9136301654117507,0.9039337167249659,0.9112364674624261
112,5,2,sqrt,8,0.9109307370886859,0.006202545760497933,0.9031917676293293,0.9110146044544575,0.9189245271832573,0.9049089938934014,0.9166137922829837
54,14,7,log2,13,0.9083028580081155,0.006393644145192852,0.902940104073779,0.9097112705282504,0.9116420624098338,0.8996017865259581,0.917619066502756
216,2,4,sqrt,6,0.9105385770346602,0.005662833521684798,0.9057460536380245,0.9075541985336257,0.9184522045018872,0.9047331080413431,0.916207320458421
37,6,8,log2,8,0.912350676141285,0.006068817472577308,0.9060650916887616,0.9126489595067291,0.9201399181834351,0.9050364617300053,0.9178629495974937
178,11,3,sqrt,13,0.9088997632785778,0.0076420146204293545,0.9005473186932518,0.9138416236833264,0.9123792019920555,0.8992292642437898,0.9185014077804656
126,1,8,log2,10,0.9118030859166391,0.006180233354183634,0.9062077670903335,0.914166716072805,0.9159779450998993,0.9030789905337838,0.9195840107863743
88,15,2,sqrt,3,0.9009995614704899,0.005341528436464974,0.8928755434545679,0.8978854172842434,0.9066826742554496,0.9006758759708307,0.9068782963873576
101,13,5,log2,1,0.8761413794890285,0.004594886866042835,0.8677775531961271,0.8756575956996897,0.8809667793126619,0.8767376138811487,0.8795673553555141
166,3,6,sqrt,12,0.909510895789832,0.0072852126883328075,0.9016441358428352,0.911759649018794,0.9162052133357048,0.9002252919902769,0.9177201887615497
217,8,1,log2,14,0.907714926396619,0.00782784474279063,0.8987262257204116,0.9129839331238514,0.9127961897986206,0.8977856168850419,0.9162826664551692
48,7,10,sqrt,6,0.9097498759948636,0.005088622639808085,0.9055310497342671,0.9057795300488133,0.9180203948538567,0.9060008695480326,0.9134175357893484
136,14,3,log2,5,0.9086006277146698,0.004886630301404117,0.90389721822599,0.9057281476650659,0.9152585917274362,0.9043546570225884,0.9137645239322678
77,2,7,sqrt,14,0.9087118172957792,0.00803785487247524,0.8993325961770919,0.9131400565206221,0.9146558368411691,0.8987381672298966,0.9176924297101163
19,11,3,log2,11,0.9068742552616635,0.008260847497502763,0.898653897218226,0.9061135155431711,0.9152151143258038,0.8971127052825042,0.9172760439386128
195,5,8,sqrt,1,0.8773666221931181,0.0041428852396967805,0.8701168353010651,0.876189205746922,0.8808225133890635,0.8779065631114009,0.8817979934171392
207,7,6,log2,3,0.9009358166802175,0.004923290406623694,0.8938405840179771,0.8977184245370644,0.9075423410604534,0.9005543368708128,0.9050233969147796
58,10,5,sqrt,9,0.9096035314102255,0.0065261664205506,0.9028509319477966,0.9082557656963302,0.9158237979486571,0.9026353234125808,0.9184518380457628
118,4,10,log2,12,0.9104401190829486,0.006513855766926309,0.904104295718549,0.9122003517717041,0.9146894330151577,0.9019199225311753,0.9192865923781575
148,12,1,sqrt,7,0.9112500970033164,0.006249610976065767,0.9059679931515808,0.910384182130788,0.9185016106401058,0.903166933459813,0.9182297656342944
80,9,9,log2,7,0.911136345006657,0.005618725734964105,0.9053239722417079,0.9110857492934922,0.9165056026560741,0.9044870654730143,0.9182793353689971
131,8,1,sqrt,13,0.907390309065484,0.008591430770991853,0.8977265071080092,0.9086688010118378,0.9139404359597637,0.8975968854370466,0.9190189158107627
182,13,7,log2,9,0.9118107691594333,0.006544937932082712,0.9055895070168556,0.9138959704353669,0.9166399873520286,0.902874449121559,0.9200539318713566
27,3,5,sqrt,4,0.9022295505603113,0.004423445472087832,0.8959678346233567,0.8999446651251951,0.9080522124068694,0.9007816051066184,0.9064014355395169
43,1,2,log2,2,0.8932551273399119,0.005329162555716411,0.8845567749018117,0.8905762731961819,0.9001304322048971,0.8945682891642458,0.8964438672324228
226,15,9,sqrt,11,0.9114963944602541,0.007359524638314995,0.9035008976660683,0.9144690816387028,0.917790162249758,0.9019831623880951,0.9197386683586469
174,6,4,log2,15,0.9088163385056184,0.007793721180182915,0.898446819725667,0.9126203039465622,0.9142526827533052,0.900676864093595,0.9180850220089622
94,10,7,sqrt,5,0.908422151965202,0.004990340269635292,0.9049504401139818,0.9045315309974111,0.9157032469714037,0.9037558546273788,0.9131696871158345
212,12,8,log2,5,0.9095214697031999,0.005679588326853857,0.9054716016502787,0.9056609553170887,0.9171656686626747,0.9036748285607002,0.9156342943252568
56,4,3,sqrt,15,0.906253300137888,0.006874103365959475,0.8985320286460501,0.9061065986838206,0.9110037351040493,0.8991749174917492,0.9164492207637704
109,9,8,log2,11,0.9096242652115606,0.00646734997492455,0.902848950344997,0.9119612260627261,0.9152704492006086,0.90110966186439,0.9169310385850815
161,7,4,sqrt,2,0.8940935733476867,0.005027788691057301,0.8861717811834925,0.891847987193929,0.9008418805952452,0.8939042706665875,0.8977019470991792
144,4,1,log2,4,0.9054347466378501,0.005628104400945664,0.8987817105988009,0.9017381079425307,0.913543210608486,0.902543427995494,0.9105672760439386
209,15,10,sqrt,10,0.9124788722377712,0.0067918225777021625,0.9076830703746417,0.9146726349281634,0.9178296871603328,0.9018734807612497,0.9203354879644686
215,14,10,sqrt,10,0.9124593885367949,0.006757617811677518,0.9076394751130504,0.9148860694452678,0.9176972787099069,0.9018794094978361,0.9201947099179125
210,15,10,sqrt,10,0.9125049521348914,0.006784100959090911,0.9076830703746418,0.9146508962273473,0.91792849943677,0.9019367206181697,0.9203255740175278
211,14,9,sqrt,10,0.9116942208859034,0.006444897671119951,0.9059679931515806,0.9144710578842317,0.9171636924171459,0.9022460030434182,0.9186223579331403
215,14,9,sqrt,10,0.9117821550523247,0.006383201207929196,0.9061067053475533,0.9144335092191854,0.9171142862789272,0.9024614138060512,0.9187948606099059
222,15,10,sqrt,10,0.9124394776592579,0.006775726103009302,0.907469057272284,0.9149690717574752,0.9177605185668267,0.9018892907254797,0.9201094499742237
210,14,9,sqrt,10,0.9116929948039758,0.00638102824682732,0.9059660115487812,0.9144888440939903,0.9170727851228236,0.9023744590027866,0.9185628742514969
208,15,9,sqrt,10,0.9116332418466314,0.006398229784092477,0.9058867474367969,0.9144097942728404,0.9170510464220075,0.9022973854271654,0.9185212356743466
228,8,4,sqrt,15,0.9088061939046703,0.007556400067152976,0.8985914767300384,0.9126371020335566,0.9138238374735677,0.9011116381099188,0.91786691517627
226,11,3,log2,15,0.9086040745380997,0.007639027115278245,0.8994643727632657,0.9128337384636667,0.9120946226359163,0.8999021758463274,0.9187254629813221
230,12,3,sqrt,13,0.9094640038916701,0.007257966983392821,0.9000806512339441,0.914692397383451,0.9129700994051502,0.9015572814766506,0.9180195899591546
228,4,3,log2,12,0.9094496557386844,0.007399669530738837,0.8996278549942337,0.9123515345546532,0.9144878559712258,0.901972293037687,0.9188087401356227
230,10,4,sqrt,14,0.9088803108048513,0.00778886889794544,0.8988332322715905,0.9119414636074386,0.9140273907630284,0.9007213296179918,0.9188781377642068
230,2,4,sqrt,15,0.9087990679002846,0.00749095167166233,0.8986548880196258,0.9126331495424992,0.9137151439694867,0.901194640422126,0.917797517547686
135,11,1,sqrt,5,0.9084609627139757,0.005416682845899736,0.903329489023902,0.9057301239105946,0.9164008616430506,0.9034287859923716,0.9134155529999604
215,9,1,log2,4,0.9061381686099109,0.005155016409909638,0.9005661439198481,0.9018586589197842,0.9132586312523467,0.9036906385249304,0.9113167704326447
73,11,2,log2,5,0.908257865106221,0.0054119660222230245,0.9023822828856893,0.905048319203178,0.9152941641469536,0.9042815359380251,0.9142830233572592
228,1,2,log2,9,0.9113966027971635,0.006582185833168214,0.9047611970466193,0.9128406553230175,0.9190707693523843,0.9027884824410584,0.9175219098227386
228,5,3,log2,9,0.9119897881667123,0.0063524855329838295,0.9047156201822282,0.9141765973004485,0.9182407462303117,0.9041856880298808,0.9186302890906928
228,5,1,log2,9,0.9114705079841091,0.00649768407432172,0.9052189472933287,0.9128406553230174,0.9179522143831149,0.9027064682516156,0.918634254669469
228,12,3,log2,9,0.9107960505269659,0.006487543519746216,0.9031442091621387,0.9135066500662044,0.9167131084365923,0.9029238552597775,0.9176924297101162
228,12,2,log2,9,0.9117439235514139,0.007085351209073289,0.9053279354473072,0.9144374617102429,0.9181419339538743,0.9015157803205469,0.9192965063250982
105,10,7,log2,9,0.9112635468453641,0.0065039072389956485,0.9054468316152837,0.9126489595067291,0.9159917788186005,0.9023586490385566,0.9198715152476504
117,5,3,sqrt,15,0.9075705773695312,0.00814085737816559,0.8981852481561187,0.9093753087883639,0.9139997233256261,0.8981956878322563,0.918096918745291
188,14,5,sqrt,14,0.9094512557064254,0.007354962248832921,0.9010813606477462,0.9134276002450545,0.9138416236833263,0.9003606648089959,0.9185450291470041
229,4,3,log2,12,0.9094275235862679,0.007387709627021288,0.8996674870502256,0.9123218908717219,0.9144582122882946,0.901911029426296,0.9187789982948011
229,2,3,log2,12,0.9094275235862679,0.007387709627021288,0.8996674870502256,0.9123218908717219,0.9144582122882946,0.901911029426296,0.9187789982948011
228,4,2,log2,12,0.9096201812300494,0.007856229309919492,0.9009525564657717,0.9117468034228572,0.9155273611193454,0.9000918954170867,0.9197822897251855
229,3,3,log2,12,0.9094275235862679,0.007387709627021288,0.8996674870502256,0.9123218908717219,0.9144582122882946,0.901911029426296,0.9187789982948011
228,2,2,log2,12,0.9096201812300494,0.007856229309919492,0.9009525564657717,0.9117468034228572,0.9155273611193454,0.9000918954170867,0.9197822897251855
78,11,6,log2,10,0.9109025126642905,0.007313446468659812,0.9037882300720114,0.9128446078140748,0.9170391889488351,0.9010681607082863,0.9197723757782448
228,1,3,log2,12,0.9094496557386844,0.007399669530738837,0.8996278549942337,0.9123515345546532,0.9144878559712258,0.901972293037687,0.9188087401356227
228,3,3,log2,12,0.9094496557386844,0.007399669530738837,0.8996278549942337,0.9123515345546532,0.9144878559712258,0.901972293037687,0.9188087401356227
55,1,6,sqrt,4,0.9047629928284844,0.0044237047853399455,0.8997199995244153,0.9010879231635738,0.910302167941345,0.9029485583288868,0.9097563151842012
139,5,5,sqrt,7,0.9115810094096781,0.0058847018596957885,0.9067883767106186,0.9105343767909725,0.9177229699017805,0.9039692891444834,0.9188900345005353
168,2,6,sqrt,13,0.9100550247428645,0.007512865613730876,0.9028311159198005,0.9123703088871761,0.916699274717891,0.899726289994269,0.9186481341951857
117,3,2,log2,6,0.910670078226566,0.004949466570425426,0.90561724945605,0.9080265212149958,0.9168731843244204,0.9063980948993102,0.9164353412380537
229,3,3,log2,11,0.9097793242666405,0.007067791336274604,0.9018898545899866,0.9124908598644296,0.9153692614770459,0.9009466216082687,0.9182000237934725
148,3,3,log2,15,0.9078773927668475,0.008237128545387764,0.8982070457869142,0.9104286476551847,0.9142190865793167,0.898298452599751,0.9182337312130705
11,3,3,log2,10,0.903158699144171,0.009163341099339892,0.8947788729435917,0.907331870911642,0.9102063200332009,0.8899379458903973,0.9135384859420232
228,3,5,log2,12,0.910246456607827,0.006977048770111093,0.902292119958307,0.9127675342384538,0.916760538329282,0.9016205213335705,0.9177915691795216
123,3,9,sqrt,6,0.9103635638514799,0.0048552298233262335,0.9081854066843426,0.907413885101085,0.9173435307602615,0.90424201102745,0.9146329856842607
222,15,9,sqrt,4,0.9062409482614548,0.00533756449533219,0.9002342254509137,0.9018468014466118,0.9135293768897847,0.9039831228631846,0.9116112146567792
228,3,10,log2,12,0.9108618945908473,0.00665831311640705,0.904397572932891,0.9125600284579355,0.9159226102250945,0.9020157704393192,0.9194134908989967
100,2,4,log2,14,0.9085433972941027,0.00726022561118512,0.8997645855874066,0.9143149344874608,0.9128475721823681,0.8997154206438608,0.9160744735694175
12,11,1,sqrt,4,0.9030532834122532,0.004712704708153118,0.8997844016154025,0.9004110590699789,0.9106687614869271,0.8980820537143535,0.9063201411746045
228,3,9,log2,12,0.9110945983277696,0.006738022522139942,0.9045600643624588,0.9129908499832018,0.9161004723226812,0.9020908677694116,0.9197307372010946
228,3,6,log2,12,0.9101242245683199,0.007507475184264936,0.9015430741000551,0.9128623940238336,0.9164384103080967,0.9009248829074524,0.9188523615021613
158,2,1,sqrt,12,0.9087091879942328,0.0076783769003387035,0.8988461126897881,0.9140402363589653,0.9118515444358808,0.9005088832236517,0.9182991632628782
228,2,3,log2,15,0.9079787082774391,0.00785626751689749,0.8982981995156964,0.9111667753601707,0.9135333293808423,0.8991353925811744,0.9177598445493119
221,6,2,sqrt,11,0.9094034559881697,0.0074342245751888685,0.9005958679618422,0.9136034860971126,0.9143495187842139,0.9003853678781052,0.9180830392195741
228,4,3,log2,14,0.9082591637591964,0.007319638602647309,0.8992374792427107,0.9105126380901565,0.9132783937076342,0.9003389261081796,0.9179283816473014
228,1,3,log2,14,0.9082591637591964,0.007319638602647309,0.8992374792427107,0.9105126380901565,0.9132783937076342,0.9003389261081796,0.9179283816473014
228,4,3,log2,13,0.9094002309792503,0.007680018688629466,0.8990730062103433,0.9126311732969704,0.9150471334558606,0.9016136044742199,0.918636237458857
204,7,6,log2,3,0.9008608438855257,0.004930110492825368,0.893729614261199,0.8976670421533172,0.9074306831880793,0.9004733108041343,0.9050035690208986
228,3,3,log2,14,0.9082591637591964,0.007319638602647309,0.8992374792427107,0.9105126380901565,0.9132783937076342,0.9003389261081796,0.9179283816473014
162,14,4,log2,7,0.9108426073184365,0.006186744102665551,0.9041508633843397,0.9115244758008735,0.9175055828936188,0.9033912373273255,0.9176408771860254
228,1,3,sqrt,12,0.9094496557386844,0.007399669530738837,0.8996278549942337,0.9123515345546532,0.9144878559712258,0.901972293037687,0.9188087401356227
58,4,1,sqrt,1,0.8769686340933521,0.00434510089939298,0.8690982914620662,0.8767099464437462,0.8804391217564871,0.8771190292681963,0.8814767815362653
146,2,1,sqrt,4,0.9055257839188308,0.005793876538592651,0.8986033663468359,0.9017637991344045,0.9137764075808779,0.902575047923954,0.9109102986080819
151,3,5,log2,15,0.9092537406603969,0.008550179780941023,0.8986479524098272,0.9123821663603485,0.9167585620837533,0.8995721428430269,0.9189078796050284
73,12,1,log2,8,0.9106049636584984,0.006398971419604828,0.904468910633677,0.9096628525127961,0.9168020394853855,0.9030641686923184,0.9190268469683149
124,10,3,log2,4,0.905497652201068,0.004998513818142488,0.8998190796643958,0.9017973953083932,0.9131044841011047,0.9032568526313709,0.9095104493000753
101,11,3,log2,7,0.9101508103609863,0.00593692370273939,0.9041052865199487,0.90853145194759,0.9176300863619296,0.9038754174818681,0.9166118094935957
39,7,2,sqrt,2,0.8921937656756608,0.0061901172210288265,0.8819014271503363,0.8895456611529415,0.9002885318471967,0.8937866840576273,0.8954465241702025
230,15,2,log2,15,0.9086003727532204,0.007464538965710781,0.9004363489364738,0.9117695302464377,0.9139740321337523,0.8991116776348292,0.9177102748146091
229,8,4,log2,13,0.9097646392799488,0.007591258534174094,0.9005066958358598,0.9140837137605977,0.9139641509061085,0.9010276476749471,0.919240988222231
