param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
215,14,9,sqrt,10,0.8791259317935001,0.005473920926908531,0.8814949201741654,0.8888229876074578,0.8745534186093625,0.8746079095729445,0.8761504230035699
222,15,10,sqrt,10,0.8789955756079255,0.004702363358466134,0.8814921290610696,0.8870380707826281,0.8743270715298688,0.8755035174615594,0.876617089204502
210,14,9,sqrt,10,0.8791058169960401,0.005465523179872004,0.8815242268616725,0.8887727475717316,0.8744807639912535,0.8747266719294692,0.8760246746260733
208,15,9,sqrt,10,0.8791058140302763,0.005461580016928132,0.8815591157753713,0.8887504186669644,0.8745492269967794,0.874661003332332,0.8760093053799347
228,8,4,sqrt,15,0.8799560836313706,0.0057653141536960825,0.8836231439097911,0.8893449257563916,0.8771382463690156,0.8733797670860608,0.876294335035594
226,11,3,log2,15,0.879435583218734,0.004661979781071634,0.8815674891146591,0.8874358043987942,0.8765598038325311,0.8741454349845958,0.87746938376309
230,12,3,sqrt,13,0.8800950860064859,0.004940919373404289,0.8827997655465,0.8884754940270181,0.8767735760742755,0.8749194861082973,0.877507108276339
228,4,3,log2,12,0.8805539749866178,0.005412343708473679,0.8838087529306689,0.8896338059618175,0.8772067093745416,0.8751011226535701,0.877019484012491
230,10,4,sqrt,14,0.8800127606922699,0.005344095668979982,0.8830509657251312,0.8889430054705816,0.8760931376315991,0.8742474308907876,0.8777292637432498
230,2,4,sqrt,15,0.8799175464988898,0.005737824570123655,0.8836524505972982,0.8892067656581444,0.8771410407774044,0.8733518230021727,0.8762356524594287
135,11,1,sqrt,5,0.8680925659971379,0.0036917321005963204,0.8723142514234677,0.8728285140113876,0.8647310731226815,0.8659780778661896,0.8646109135619625
215,9,1,log2,4,0.8620592764868065,0.00432793803886459,0.8684185553198615,0.8655751088534107,0.8574306812069051,0.8611193002801395,0.8577527367737158
73,11,2,log2,5,0.8677657406586026,0.003896359741405733,0.8729513229876075,0.8716813665289719,0.8645452449648254,0.8665607120152574,0.8630900567963505
228,1,2,log2,9,0.8795558656938788,0.005269146322863261,0.8820824494808529,0.8887671653455399,0.8748244762230777,0.8754797649902545,0.8766254724296683
228,5,3,log2,9,0.8798330976979216,0.005367662757234717,0.8832016858323097,0.8887183208663615,0.8746973306413866,0.8752604039317327,0.8772877472178172
228,5,1,log2,9,0.8795628072283963,0.005256436994908002,0.8827369655018421,0.8883010494585242,0.8750326596480443,0.8744667919493094,0.8772765695842619
228,12,3,log2,9,0.879679393043953,0.005157047107859738,0.8820657028022774,0.8887225075360055,0.8755691860586966,0.8750647953445155,0.87697477347827
228,12,2,log2,9,0.8790240449615038,0.004666901499417587,0.8816400580551526,0.8870324885564362,0.8751751744758738,0.8753596054295356,0.8759128982905207
105,10,7,log2,9,0.8783461369742541,0.005565985161320754,0.8829853745673774,0.8868050128391203,0.8737039184591633,0.8726140991875259,0.8756222798180842
117,5,3,sqrt,15,0.8789884884214612,0.005257176979980518,0.8826378809869375,0.8875041866696438,0.8761350537574314,0.8736773715794696,0.8749879491138232
188,14,5,sqrt,14,0.8800570807342808,0.005560332267391778,0.883313330356146,0.8891509433962264,0.8766366500632234,0.8733881503112273,0.8777963295445813
229,4,3,log2,12,0.8805414021260439,0.005416435954006444,0.8838227084961483,0.8896114770570503,0.8771899429242086,0.8750606037319324,0.8770222784208799
229,2,3,log2,12,0.8805414021260439,0.005416435954006444,0.8838227084961483,0.8896114770570503,0.8771899429242086,0.8750606037319324,0.8770222784208799
228,4,2,log2,12,0.8805851385716803,0.005418224434829093,0.8827341743887462,0.8900915485095455,0.8767079074771383,0.8748915420244091,0.8785005204585625
229,3,3,log2,12,0.8805414021260439,0.005416435954006444,0.8838227084961483,0.8896114770570503,0.8771899429242086,0.8750606037319324,0.8770222784208799
228,2,2,log2,12,0.8805851385716803,0.005418224434829093,0.8827341743887462,0.8900915485095455,0.8767079074771383,0.8748915420244091,0.8785005204585625
78,11,6,log2,10,0.8796430324524401,0.005256980289788093,0.8827732499720888,0.888155911577537,0.8746386480652215,0.8742222812152882,0.8784250714320644
228,1,3,log2,12,0.8805539749866178,0.005412343708473679,0.8838087529306689,0.8896338059618175,0.8772067093745416,0.8751011226535701,0.877019484012491
228,3,3,log2,12,0.8805539749866178,0.005412343708473679,0.8838087529306689,0.8896338059618175,0.8772067093745416,0.8751011226535701,0.877019484012491
55,1,6,sqrt,4,0.8599452534864529,0.004007102796937397,0.8654802110081501,0.8628209780060287,0.855240563632172,0.8605799794610984,0.8556045353248151
139,5,5,sqrt,7,0.8748213137304706,0.005093181555012845,0.8783884112984257,0.8829337389751033,0.8689911487114285,0.8717115052779388,0.8720817643894567
168,2,6,sqrt,13,0.8801718337079203,0.005164183121561655,0.8827313832756503,0.888961147705705,0.8759408423744087,0.8748370510608273,0.8783887441230098
117,3,2,log2,6,0.8724695010755177,0.0050639726510446756,0.8763153120464443,0.8804363905325444,0.8671244839077007,0.868749432385796,0.8697218865051033
229,3,3,log2,11,0.8799800707275308,0.0053670082849180635,0.8832826281120911,0.8886918052919504,0.8765025184605604,0.8736270722284708,0.8777963295445813
148,3,3,log2,15,0.8790413838042154,0.005165539972224904,0.8822415429273194,0.887557217818466,0.8768406418756068,0.8737639982395228,0.8748035181601616
11,3,3,log2,10,0.8725023188976218,0.006781655860091036,0.875202355699453,0.8839859886122585,0.8700006287418875,0.8638068225480814,0.8695157988864283
228,3,5,log2,12,0.8795978671677972,0.005601200864995157,0.8823587696773472,0.8893128279557886,0.8750675897529046,0.8744472310905878,0.8768029173623579
123,3,9,sqrt,6,0.8719047593783706,0.004817493277709153,0.8752163112649325,0.8797253544713631,0.8669896537029403,0.8683330655358628,0.8692594119167545
222,15,9,sqrt,4,0.8618952127500419,0.004520164477685493,0.868664173272301,0.8654648598861225,0.8573678070181567,0.8607525341791077,0.8572266893945216
228,3,10,log2,12,0.8796269632860871,0.004901555651512111,0.8823099251981691,0.8880331026013175,0.8758905430234101,0.8751528192087632,0.876748426398776
100,2,4,log2,14,0.8790397285785859,0.0052116541743109064,0.8817140225521938,0.8879940270179747,0.874825873427272,0.8740616027329314,0.8766031171625579
12,11,1,sqrt,4,0.8567024704085991,0.004228963282381003,0.8635780674332924,0.8558976219716423,0.8590919569940549,0.8524440594370666,0.8525006462069399
228,3,9,log2,12,0.8798175508354952,0.00473645872947659,0.8824118008261694,0.8878935469465223,0.8760623991393222,0.8753093060785369,0.877410701186925
228,3,6,log2,12,0.8799000863893989,0.00520110897197903,0.8817307692307692,0.8893323657474601,0.8764424386802008,0.8754867510112265,0.876508107277338
158,2,1,sqrt,12,0.87876565906715,0.005773800138092623,0.8827048677012392,0.8879242491905771,0.8742041175607609,0.8722564149137576,0.8767386459694152
228,2,3,log2,15,0.8795842895724147,0.005305677176942861,0.882707658814335,0.8884768895835659,0.8766142947961131,0.8740168921987104,0.8761057124693489
221,6,2,sqrt,11,0.8802273995960498,0.005194147387834348,0.882600200960143,0.8892737523724462,0.8769342545566321,0.8748286678356609,0.8775001222553671
228,4,3,log2,14,0.8802856053433306,0.005268599015254101,0.8841590376242044,0.8885508540806073,0.877509902684728,0.874201323152372,0.8770069091747412
228,1,3,log2,14,0.8802856053433306,0.005268599015254101,0.8841590376242044,0.8885508540806073,0.877509902684728,0.874201323152372,0.8770069091747412
228,4,3,log2,13,0.8802101141370834,0.005497714918657119,0.8834640504633247,0.8894244724796248,0.8764983268479772,0.8745059136667528,0.8771578072277374
204,7,6,log2,3,0.852545299567829,0.0053442059793411545,0.859919615942838,0.8562988444791781,0.8472674178967885,0.8534521422633311,0.8457884772570088
228,3,3,log2,14,0.8802856053433306,0.005268599015254101,0.8841590376242044,0.8885508540806073,0.877509902684728,0.874201323152372,0.8770069091747412
162,14,4,log2,7,0.87523918389303,0.004953035082653345,0.8792145807748131,0.8828416322429385,0.8699300699300698,0.8713216853076994,0.8728879512096296
228,1,3,sqrt,12,0.8805539749866178,0.005412343708473679,0.8838087529306689,0.8896338059618175,0.8772067093745416,0.8751011226535701,0.877019484012491
58,4,1,sqrt,1,0.773299034716438,0.009375015138650805,0.7870966841576418,0.7749232443898626,0.7581746924404267,0.7701794708787717,0.7761210817154873
146,2,1,sqrt,4,0.8616432357061068,0.0042455844503650215,0.8686034665624651,0.8640092944066093,0.8572476474574378,0.8606952488071369,0.8576605212968849
151,3,5,log2,15,0.8796474619851715,0.005636519537044661,0.883342637043653,0.8889457965836776,0.8757200841116926,0.8740616027329314,0.8761671894539027
73,12,1,log2,8,0.8780230511341147,0.004184396067309604,0.8810664843139445,0.8848030869710839,0.8744667919493093,0.8747699852594958,0.8750089071767394
124,10,3,log2,4,0.8614081979506178,0.0042052412674368315,0.8682496929775595,0.8632982583454282,0.8565741950357335,0.861340757144953,0.8575780862494149
101,11,3,log2,7,0.8746012716996685,0.005141727400601225,0.8788447582896058,0.8824027297086079,0.8688081149619611,0.8711484319875927,0.8718023235505753
39,7,2,sqrt,2,0.815427600997762,0.006283953780333199,0.8242149994417773,0.8156344200066987,0.8047833285595525,0.8145917020042894,0.817913554976492
230,15,2,log2,15,0.8794730668460712,0.005038158543595592,0.8818075248409066,0.888215920509099,0.8762761713810664,0.8741622014349286,0.8769035160643552
229,8,4,log2,13,0.8803015779576011,0.005384809483754972,0.8829825834542815,0.8895389081165569,0.8758095051801346,0.8750536177109602,0.8781232753260726
59,1,4,sqrt,10,0.8796697750725325,0.0060265949710834816,0.8850005582226191,0.8886499385955119,0.8743298659382575,0.8738087087737438,0.8765598038325311
182,1,4,sqrt,9,0.8791129008872114,0.0051826808899766,0.8818396226415093,0.8880428714971531,0.8743843569018394,0.8750312624438498,0.8762663909517056
176,1,3,sqrt,9,0.879505625328623,0.005569511928266795,0.8830732946298984,0.8887099475270738,0.8748649951447155,0.874204117560761,0.8766757717806669
188,1,3,sqrt,9,0.8795449912272714,0.005652244795071863,0.8828904767221168,0.8890420899854862,0.8747504244007741,0.8743005246501749,0.8767414403778041
164,15,2,log2,11,0.8796471166384743,0.005302531722884039,0.8828793122697332,0.8885048007145249,0.8759394451702144,0.8742725805662869,0.8766394444716122
229,1,3,log2,12,0.8805414021260439,0.005416435954006444,0.8838227084961483,0.8896114770570503,0.8771899429242086,0.8750606037319324,0.8770222784208799
229,1,3,sqrt,12,0.8805414021260439,0.005416435954006444,0.8838227084961483,0.8896114770570503,0.8771899429242086,0.8750606037319324,0.8770222784208799
230,1,3,log2,12,0.8805520175826285,0.005411458504564793,0.8838408507312715,0.8896072903874066,0.877191340128403,0.8750703841612933,0.8770502225047679
230,1,3,sqrt,12,0.8805520175826285,0.005411458504564793,0.8838408507312715,0.8896072903874066,0.877191340128403,0.8750703841612933,0.8770502225047679
99,2,10,log2,6,0.8715687395135543,0.005002960797157277,0.8754382047560568,0.879470665401362,0.8667577178066689,0.8685160992853302,0.8676610103183531
228,1,5,sqrt,11,0.8803294831570329,0.005415179158953204,0.8834807971419002,0.8892053701015965,0.8760079081757405,0.8742921414250084,0.8786611989409192
228,11,4,log2,12,0.8800800334379962,0.00445008590129269,0.8819777827397566,0.8879563469911801,0.8767023186603605,0.8760120997883236,0.8777516190103604
56,5,7,sqrt,1,0.7741708304889463,0.009969119708886927,0.7887120408618955,0.7765190633024449,0.7579301817064055,0.7710191905996102,0.7766736759743753
228,1,4,sqrt,12,0.8805267753093983,0.00504706458389274,0.8840697220051357,0.888587138550854,0.8766604025345284,0.875082958999043,0.8782336544574306
227,4,3,log2,12,0.8805662555547105,0.005425181076525237,0.8838478285140116,0.8896575304231327,0.8771885457200143,0.8750997254493759,0.8770376476670183
210,7,9,sqrt,5,0.8681286052975918,0.0040739283558285004,0.8730078430277995,0.8727629228536338,0.8629119132615637,0.8667723884507101,0.8651879588942527
163,2,5,log2,3,0.8518066328051154,0.005003959786215591,0.8584228815451602,0.8558718041755052,0.8463934666731869,0.8524678119083714,0.8458771997233535
228,12,3,log2,12,0.8806815331389813,0.005145341976057633,0.883543597186558,0.8893351568605561,0.8766785661890557,0.8753358529582305,0.8785144925005064
210,1,1,sqrt,4,0.8620080247961566,0.0041639416372924705,0.8683962264150944,0.8648968683711064,0.8573461503531433,0.8613058270400928,0.8580950518013456
228,15,3,log2,12,0.8806101620374612,0.005447427235952603,0.8834905660377359,0.8898696550184213,0.87643265825084,0.8750186876061001,0.8782392432742083
77,8,7,log2,12,0.8790606098611772,0.005667406243368045,0.8831556324662275,0.8880610137322765,0.8744486282947822,0.873150625598178,0.8764871492144221
227,2,3,sqrt,12,0.8805662555547105,0.005425181076525237,0.8838478285140116,0.8896575304231327,0.8771885457200143,0.8750997254493759,0.8770376476670183
227,3,3,sqrt,12,0.8805662555547105,0.005425181076525237,0.8838478285140116,0.8896575304231327,0.8771885457200143,0.8750997254493759,0.8770376476670183
174,9,2,sqrt,15,0.8791001345929436,0.005697631459397334,0.8822345651445798,0.8884587473484425,0.8759869501128242,0.8720412454678189,0.8767791648910531
227,4,3,sqrt,12,0.8805662555547105,0.005425181076525237,0.8838478285140116,0.8896575304231327,0.8771885457200143,0.8750997254493759,0.8770376476670183
227,3,3,log2,12,0.8805662555547105,0.005425181076525237,0.8838478285140116,0.8896575304231327,0.8771885457200143,0.8750997254493759,0.8770376476670183
227,1,3,log2,12,0.8805662555547105,0.005425181076525237,0.8838478285140116,0.8896575304231327,0.8771885457200143,0.8750997254493759,0.8770376476670183
94,6,10,log2,13,0.8786276027706295,0.004760671499357169,0.8822931785195935,0.8860221056157196,0.8744248758234772,0.8737793674856613,0.8766184864086961
228,1,4,log2,12,0.8805267753093983,0.00504706458389274,0.8840697220051357,0.888587138550854,0.8766604025345284,0.875082958999043,0.8782336544574306
227,5,3,log2,12,0.8805662555547105,0.005425181076525237,0.8838478285140116,0.8896575304231327,0.8771885457200143,0.8750997254493759,0.8770376476670183
32,15,7,log2,10,0.8780410136110097,0.004686558045037597,0.88119208440326,0.8855294741542928,0.8756900442215128,0.8724939396268068,0.875299525649176
125,7,6,sqrt,14,0.8801723392058527,0.00570919722670116,0.8832910014513786,0.8898110416434074,0.8754643957441159,0.8744472310905878,0.8778480260997745
196,8,1,sqrt,6,0.872941537285778,0.004599758317263623,0.8766104722563358,0.8798844479178297,0.8674626073227473,0.8696925452170208,0.8710576137149564
58,2,1,sqrt,6,0.8710256553052436,0.005442327530662115,0.8755589203974545,0.8793115719548955,0.8651048252446853,0.8677141040777405,0.8674388548514422
227,6,3,log2,12,0.8805662555547105,0.005425181076525237,0.8838478285140116,0.8896575304231327,0.8771885457200143,0.8750997254493759,0.8770376476670183
199,1,1,sqrt,2,0.8410523007141955,0.004521597087145557,0.8464273752372447,0.8444163782516467,0.8358941757543156,0.8430695178946926,0.8354540564330775
43,7,8,log2,3,0.8460323216828034,0.005159605038759839,0.8513976498827733,0.850832449480853,0.8395485633247871,0.8482203111573741,0.840162634568229
227,12,7,log2,1,0.8162304879116133,0.004822432909794365,0.8225968516244277,0.8146596237579546,0.8113243399956687,0.8212458869801527,0.811325737199863
227,12,6,sqrt,1,0.8162304879116133,0.004822432909794365,0.8225968516244277,0.8146596237579546,0.8113243399956687,0.8212458869801527,0.811325737199863
227,12,3,log2,1,0.8162304879116133,0.004822432909794365,0.8225968516244277,0.8146596237579546,0.8113243399956687,0.8212458869801527,0.811325737199863
227,11,3,sqrt,1,0.8162304879116133,0.004822432909794365,0.8225968516244277,0.8146596237579546,0.8113243399956687,0.8212458869801527,0.811325737199863
227,10,7,log2,1,0.8162304879116133,0.004822432909794365,0.8225968516244277,0.8146596237579546,0.8113243399956687,0.8212458869801527,0.811325737199863
227,8,7,sqrt,1,0.8162304879116133,0.004822432909794365,0.8225968516244277,0.8146596237579546,0.8113243399956687,0.8212458869801527,0.811325737199863
227,9,1,log2,1,0.8162304879116133,0.004822432909794365,0.8225968516244277,0.8146596237579546,0.8113243399956687,0.8212458869801527,0.811325737199863
227,9,1,sqrt,1,0.8162304879116133,0.004822432909794365,0.8225968516244277,0.8146596237579546,0.8113243399956687,0.8212458869801527,0.811325737199863
227,12,3,sqrt,11,0.8804185779914768,0.0054950590746682725,0.8829281567489113,0.8899561795243943,0.8758011219549682,0.8751556136171521,0.878251818111958
