param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,mean_all_datasets_test_score,std_all_datasets_test_score
200,4,2,log2,5,0.8812412933911367,0.02460389489336871
10,12,10,sqrt,15,0.8857504041207939,0.02985179890193793
70,7,4,log2,10,0.8920732150350457,0.029114765971123512
142,9,6,sqrt,1,0.8389648994239891,0.024897004998633124
157,12,9,log2,4,0.8755836232790039,0.023849022987080262
112,5,2,sqrt,8,0.8898850839018158,0.027476565876690975
54,14,7,log2,13,0.8912474663380856,0.029719335295981777
216,2,4,sqrt,6,0.8853095358593075,0.025567961955984722
37,6,8,log2,8,0.8893653040302931,0.02795926383897832
178,11,3,sqrt,13,0.8924191573318261,0.02998325736711781
126,1,8,log2,10,0.8919917452517728,0.028885957708637236
88,15,2,sqrt,3,0.866530262973313,0.025052939732690096
101,13,5,log2,1,0.8309942965823073,0.033261031479547454
166,3,6,sqrt,12,0.892412212679956,0.029477699352793593
217,8,1,log2,14,0.8919049357416073,0.030838779490644067
48,7,10,sqrt,6,0.8836250846487411,0.025567378558222793
136,14,3,log2,5,0.8808816591928543,0.024288839551577245
77,2,7,sqrt,14,0.8916502386556393,0.029848378518545517
19,11,3,log2,11,0.8894836258777901,0.029795716065386675
195,5,8,sqrt,1,0.8387945070167134,0.026149468212654712
207,7,6,log2,3,0.8688687917306878,0.023642726973757692
58,10,5,sqrt,9,0.8906387553203666,0.027938702412959517
118,4,10,log2,12,0.8920627984562793,0.02904433100738265
148,12,1,sqrt,7,0.8880735627128633,0.02658509035495202
80,9,9,log2,7,0.8875775323001951,0.026519302355128883
131,8,1,sqrt,13,0.8919553732393657,0.030141353770430986
182,13,7,log2,9,0.8913260468482603,0.027990088965072053
27,3,5,sqrt,4,0.8721666078091342,0.023339517964427473
43,1,2,log2,2,0.8523557235771193,0.029834174140285986
226,15,9,sqrt,11,0.8925006340048649,0.028995890666103228
174,6,4,log2,15,0.8921570750584259,0.03086533495322012
94,10,7,sqrt,5,0.8805812957686028,0.02415542456146172
212,12,8,log2,5,0.8810792008546704,0.02467959542137162
56,4,3,sqrt,15,0.8904387954688996,0.031081774916742893
109,9,8,log2,11,0.8918272205365948,0.028805369407251747
161,7,4,sqrt,2,0.8607130110044359,0.023581920423599162
144,4,1,log2,4,0.8754163742742431,0.02357828569638568
209,15,10,sqrt,10,0.892159535441376,0.028634979345304904
215,14,10,sqrt,10,0.8921527333135375,0.02860916360740338
210,15,10,sqrt,10,0.8921674181883092,0.028636918387587883
211,14,9,sqrt,10,0.8920284314326267,0.028710163610353005
215,14,9,sqrt,10,0.8920540308548203,0.0287072672999577
222,15,10,sqrt,10,0.8921570192726815,0.028627591321731385
210,14,9,sqrt,10,0.8920219729682772,0.028702382082922553
208,15,9,sqrt,10,0.8920036320644273,0.028688559770752138
228,8,4,sqrt,15,0.8923696239629804,0.030730576881411006
226,11,3,log2,15,0.8922022799874572,0.03070022858521106
230,12,3,sqrt,13,0.8926402235376834,0.02985916684339817
228,4,3,log2,12,0.8928737437492057,0.029864504225139227
230,10,4,sqrt,14,0.8925721719259471,0.030267764744684882
230,2,4,sqrt,15,0.89237276003255,0.030722040285414413
135,11,1,sqrt,5,0.8808590727750932,0.024352407419040545
215,9,1,log2,4,0.8757664878247242,0.023755375642169882
73,11,2,log2,5,0.8806196535886777,0.024354699802483483
228,1,2,log2,9,0.8918635235317961,0.028392011503272002
228,5,3,log2,9,0.892092049103274,0.0282733390782678
228,5,1,log2,9,0.8916747857488447,0.02827759414292396
228,12,3,log2,9,0.8915727908534373,0.02787310862383772
228,12,2,log2,9,0.8915821190855976,0.02823344574371234
105,10,7,log2,9,0.8910172069182704,0.027944846504614058
117,5,3,sqrt,15,0.8916886300322135,0.031150906755719084
188,14,5,sqrt,14,0.8924232414365181,0.029836645613591707
229,4,3,log2,12,0.892872271278079,0.029876902713430253
229,2,3,log2,12,0.892872271278079,0.029876902713430253
228,4,2,log2,12,0.892741412142908,0.029854458232777045
229,3,3,log2,12,0.892872271278079,0.029876902713430253
228,2,2,log2,12,0.892741412142908,0.029854458232777045
78,11,6,log2,10,0.8919403406780659,0.028775150773635145
228,1,3,log2,12,0.8928737437492057,0.029864504225139227
228,3,3,log2,12,0.8928737437492057,0.029864504225139227
55,1,6,sqrt,4,0.8743474161809281,0.023317941454608835
139,5,5,sqrt,7,0.8878417717519891,0.026705803342476166
168,2,6,sqrt,13,0.8925050516480549,0.029932686541722903
117,3,2,log2,6,0.884912990964256,0.02553601920993589
229,3,3,log2,11,0.8925011922531084,0.029372996390206248
148,3,3,log2,15,0.891893409169338,0.031103533720604516
11,3,3,log2,10,0.8860752403787331,0.02917638166254282
228,3,5,log2,12,0.8927086043451545,0.029698852894851302
123,3,9,sqrt,6,0.8846290795121016,0.0254192047723802
222,15,9,sqrt,4,0.8758079049302196,0.023902307724133556
228,3,10,log2,12,0.8923943560250318,0.0290151743799226
100,2,4,log2,14,0.8920665923977517,0.030463635726709296
12,11,1,sqrt,4,0.8703019546725954,0.024301754350606372
228,3,9,log2,12,0.892578165756834,0.02919654794901984
228,3,6,log2,12,0.8926526229873254,0.029532328719916227
158,2,1,sqrt,12,0.8918080826246768,0.03031897998328784
228,2,3,log2,15,0.8921097248764521,0.031034891782122948
221,6,2,sqrt,11,0.8924979351914765,0.02941688518303414
228,4,3,log2,14,0.8924426366002839,0.030771183106753367
228,1,3,log2,14,0.8924426366002839,0.030771183106753367
228,4,3,log2,13,0.8926163727462738,0.030488410530943616
204,7,6,log2,3,0.8690087093188523,0.023532475687985503
228,3,3,log2,14,0.8924426366002839,0.030771183106753367
162,14,4,log2,7,0.8879111038938555,0.026662143814094565
228,1,3,sqrt,12,0.8928737437492057,0.029864504225139227
58,4,1,sqrt,1,0.8244494180208392,0.037684065406111654
146,2,1,sqrt,4,0.875449874069,0.023648032290128986
151,3,5,log2,15,0.8923270802934538,0.030613400883265248
73,12,1,log2,8,0.8899479641850748,0.027415857153928892
124,10,3,log2,4,0.8751264116827299,0.023460620649773535
101,11,3,log2,7,0.8873853761197512,0.026341274092358
39,7,2,sqrt,2,0.8515140655317582,0.030301774737377506
