param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,param_model__subsample,mean_all_datasets_test_score,std_all_datasets_test_score
47,6,3,2,0.38979591836734695,0.8367346938775511,0.886404477507111,0.0276296869538436
130,8,1,2,0.3438775510204082,0.9336734693877551,0.8884454640009982,0.03110796388901908
15,10,3,2,0.3438775510204082,0.9132653061224489,0.87680408913835,0.02397980023811807
105,6,3,8,0.1510204081632653,0.9438775510204082,0.8831607755493913,0.038817272618291036
31,4,5,4,0.1142857142857143,0.9642857142857143,0.8872298146573669,0.02892454098808503
108,1,1,3,0.23367346938775513,0.8571428571428571,0.8891950932204628,0.03313508413245868
66,4,1,2,0.18775510204081636,0.9030612244897959,0.8864533440340934,0.027139469317800743
139,1,3,8,0.20612244897959187,0.9183673469387755,0.8778685325215982,0.04177770514472837
77,1,3,4,0.4448979591836735,0.9183673469387755,0.8783639243394643,0.03611250346101629
100,1,5,6,0.06836734693877551,0.7755102040816326,0.892378702939298,0.03304469175238733
57,5,2,8,0.1142857142857143,0.8367346938775511,0.8876893283915498,0.035713633194152404
29,6,5,4,0.4908163265306123,0.8571428571428571,0.8843192301147609,0.03182642383775624
137,7,5,4,0.06836734693877551,0.8673469387755102,0.8927921140838581,0.03178016842674786
125,1,2,8,0.05918367346938776,0.846938775510204,0.8901838118238395,0.035714249220684634
119,5,1,5,0.4448979591836735,0.9897959183673469,0.8700497730105593,0.042058376717899214
101,7,2,2,0.20612244897959187,0.8214285714285714,0.8887573897885104,0.028329232739199354
131,3,1,3,0.27040816326530615,0.9030612244897959,0.8878220977026111,0.03412108483610406
57,2,3,1,0.45408163265306123,0.7704081632653061,0.8757915061240873,0.019253357244552422
143,1,1,3,0.37142857142857144,0.826530612244898,0.8799742916572508,0.03515945869135867
85,10,3,4,0.38979591836734695,0.9591836734693877,0.8818361945062305,0.03556832002512337
93,7,3,4,0.28877551020408165,0.7755102040816326,0.8847690022275765,0.035784976950968654
41,3,2,2,0.1602040816326531,0.7755102040816326,0.882069677652049,0.025834437932656246
13,10,5,1,0.3622448979591837,0.9948979591836735,0.8549483438804687,0.01928599208986033
140,10,2,2,0.463265306122449,0.7551020408163265,0.8834596151471013,0.030807582951035153
127,6,5,4,0.1326530612244898,0.8520408163265306,0.8912060802803065,0.03337402205279318
70,10,2,5,0.3163265306122449,0.7602040816326531,0.8795949399292835,0.036922981133247594
70,7,1,2,0.21530612244897962,0.7653061224489796,0.8871568906491706,0.02701080038819239
118,4,3,5,0.3622448979591837,0.9438775510204082,0.8749841390855817,0.04080931561551805
148,2,5,2,0.37142857142857144,0.9081632653061225,0.8878056862044961,0.032168639819203995
75,3,1,1,0.38979591836734695,0.75,0.8755634776677248,0.018959865317090988
135,7,5,3,0.40816326530612246,0.7602040816326531,0.8793620565685072,0.03574483724030202
18,5,1,5,0.35306122448979593,0.923469387755102,0.8865390142464026,0.03179242395457887
28,2,2,6,0.3622448979591837,0.75,0.8793701153845096,0.036016957270401405
137,2,3,5,0.3346938775510204,0.8418367346938775,0.874228251995373,0.04151403893970594
90,10,2,2,0.10510204081632654,0.8214285714285714,0.8850013576626325,0.025955501591166875
141,3,1,3,0.3438775510204082,0.8061224489795918,0.8817554540093937,0.035012114184834374
119,2,1,6,0.2979591836734694,0.9183673469387755,0.874089213376587,0.0417117708880931
127,5,1,4,0.1510204081632653,0.9030612244897959,0.8907441384783579,0.03381250758197555
97,7,2,8,0.05918367346938776,0.7857142857142857,0.8902366843866137,0.03488785449592909
