,params_1,mean_def,mean_test_score_1,mean_test_score_2,mean_test_score_3,mean_test_score_4
0,"{'n_estimators': 135, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_depth': 19}",0.7477583877240491,0.8370031102796114,0.8607985468341249,0.8272961776960434,0.4659357160864168
1,"{'n_estimators': 155, 'min_samples_split': 3, 'min_samples_leaf': 8, 'max_depth': 7}",0.7576330504547795,0.8427106498640969,0.858428187337791,0.8238776591620339,0.5055157054551959
2,"{'n_estimators': 83, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_depth': 20}",0.7457693572958999,0.8389104608155756,0.8569258825294078,0.8232519960572714,0.4639890897813446
3,"{'n_estimators': 63, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_depth': 13}",0.7473582133960428,0.8297510207443493,0.8586765547049945,0.8254388140842192,0.47556646405060815
4,"{'n_estimators': 109, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_depth': 5}",0.751806405094798,0.8357397798094611,0.8478675844576352,0.8133241253398169,0.5102941307722787
5,"{'n_estimators': 54, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_depth': 18}",0.7429133067519653,0.8317458356376073,0.856424928532315,0.8243492122425345,0.45913325059540444
6,"{'n_estimators': 146, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_depth': 13}",0.7498396432336516,0.8362614282184335,0.8612086715544108,0.8293205206452203,0.4725679525165416
7,"{'n_estimators': 136, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_depth': 17}",0.7487992972930639,0.8403122438333707,0.8606285965759651,0.8265734585217214,0.4676828902411987
8,"{'n_estimators': 138, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_depth': 19}",0.7492933029724752,0.8393403304819169,0.8615030083393109,0.8287936295184294,0.4675362435502435
9,"{'n_estimators': 191, 'min_samples_split': 6, 'min_samples_leaf': 6, 'max_depth': 14}",0.7493248398283292,0.8353871768623437,0.8617427338154829,0.8281227093292975,0.47204673930619306
10,"{'n_estimators': 192, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_depth': 15}",0.747793255847822,0.8352691195908394,0.8611668361934379,0.8271300563128968,0.46760701129411353
11,"{'n_estimators': 87, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_depth': 14}",0.7460780088119107,0.8284265044457779,0.8594661535475852,0.8253325350069446,0.47108684224733516
12,"{'n_estimators': 151, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_depth': 18}",0.7492334455958604,0.8434013437349241,0.8600125257362325,0.8265215522922552,0.4669983606200295
13,"{'n_estimators': 199, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_depth': 12}",0.7504091265281091,0.8315156043473316,0.8627536590110169,0.8291003481470924,0.4782668946069957
14,"{'n_estimators': 74, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 15}",0.7464970655738103,0.8354483626907644,0.8589013398417368,0.8269895663116559,0.4646489934510846
15,"{'n_estimators': 58, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_depth': 15}",0.7508108932211074,0.8443673738336451,0.8592287896281512,0.82667963035472,0.4729677790679135
16,"{'n_estimators': 100, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_depth': 13}",0.7510604130470977,0.8417387365126432,0.8603298157393064,0.8301248527133928,0.4720482472230485
17,"{'n_estimators': 123, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_depth': 13}",0.7508700668437612,0.8447462553096355,0.8611818924979732,0.8271622295956235,0.4703898899718128
18,"{'n_estimators': 103, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_depth': 7}",0.7588973477646653,0.8391669706347246,0.8591898457311502,0.8210039951710048,0.5162285795217817
19,"{'n_estimators': 147, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_depth': 19}",0.7445266849770733,0.8318172191040981,0.859988120359049,0.8250280685080723,0.46127333193707365
