,params_1,mean_def,mean_test_score_1,mean_test_score_2,mean_test_score_3,mean_test_score_4
0,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.7523363130570669,0.8252295449107904,0.8482187881753234,0.8153626245333937,0.52053429460876
1,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7517741688008907,0.8321800196892859,0.8497493260105644,0.8140072177542469,0.5111601117494654
2,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7507841208354282,0.8277766011272313,0.8498897311536551,0.811264606268192,0.5142055447926346
3,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7502462445192831,0.8375757468789344,0.8474046948480879,0.8068833558707179,0.5091211804793921
4,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7492003622284825,0.8267842924996373,0.85076712049264,0.8091908237078914,0.5100592122137612
5,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7511376921019515,0.8295513823682837,0.847722920723351,0.8116279498744546,0.5156485154417163
6,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.7564948866987267,0.8470834755119411,0.8511213661955437,0.8105139499600353,0.5172607551273866
7,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7541868367622506,0.8398109907005384,0.8487948577420242,0.8153457871820997,0.5127957114243398
8,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.7526584824575858,0.8334025596071557,0.8489920162564003,0.8119703272248066,0.516269026741981
9,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.7525756325219611,0.8454267515423929,0.8468463015821662,0.8101045985594735,0.5079248784038118
10,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.7540881743638086,0.8341442416683336,0.8499813922858879,0.8122807994031213,0.5199462640978914
11,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.7541651461708466,0.8382460454736215,0.848370810625326,0.8136487001403937,0.516395028444045
12,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.7516103641809683,0.8370235055557517,0.8487260392274217,0.8125795819553784,0.5081123299853214
13,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.7548345177732558,0.8414473193939465,0.8487226133973595,0.815672828601019,0.5134953097006983
14,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.7528376265189317,0.8361696494758021,0.8488070501369277,0.8148423289295618,0.5115314775334353
15,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.7527453041437597,0.84507257972788,0.8472518164369657,0.8110530669342627,0.5076037534759307
16,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.7528004474648746,0.836721890798985,0.8478857864506356,0.8106859697783486,0.5159081428315293
17,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.7542575345385951,0.8347270759057267,0.8493560094029174,0.8131429897580643,0.5198040630876722
18,"{'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 50}",0.7548704289104016,0.8399639552715906,0.8473734023837712,0.8166985128543525,0.5154458451318923
19,"{'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 100}",0.7500411405636805,0.8346250995250254,0.8480216742146783,0.8114577532088291,0.5060600353061893
20,"{'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 200}",0.7549813221252779,0.836721890798985,0.8494357182566397,0.8141382702592211,0.519629409186266
21,"{'max_depth': 5, 'min_samples_leaf': 8, 'min_samples_split': 5, 'n_estimators': 50}",0.7525125438238679,0.8383174289401124,0.8421762969193379,0.8066161567576708,0.5229402926783506
