,params_1,mean_def,mean_test_score_1,mean_test_score_2,mean_test_score_3,mean_test_score_4
0,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50}",0.708103514654308,0.7728213334588427,0.8108349634999987,0.7667618781346831,0.48199588352370765
1,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100}",0.7127193669217023,0.7728213334588427,0.8111317331485072,0.7770928800847058,0.4898315209947537
2,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 200}",0.7212048643076235,0.7731841340440303,0.8153972787649996,0.794002192287485,0.5022358521339793
3,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 50}",0.7385306950960298,0.7940479132102558,0.8372623658756004,0.8043436505543938,0.518468850743869
4,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 100}",0.7426825315714525,0.8026551119582995,0.8375009718652638,0.8103934073940854,0.5201806350681609
5,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 200}",0.7429334788142133,0.8047475888469217,0.8410450350928697,0.8157124553609107,0.5102288359561516
6,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 50}",0.7310394532403035,0.7940479132102558,0.8379105174218849,0.8062386569070087,0.48596072542206453
7,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 100}",0.7351772195226559,0.8026551119582995,0.8389711802565922,0.811511107236018,0.4875714786397138
8,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 200}",0.739635272848248,0.8062513482454179,0.841837859987848,0.8180649121717641,0.4923869709879621
9,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 50}",0.7261548754182918,0.7940479132102558,0.8283041482326129,0.7982765737641678,0.48399086646613076
10,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 100}",0.7285358792101545,0.8026551119582995,0.8297164783319159,0.8012942668175379,0.4804776597328648
11,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 200}",0.730699448573196,0.8062513482454179,0.833018552586621,0.8060773078941331,0.4774505855666121
12,"{'learning_rate': 0.005, 'max_depth': 3, 'n_estimators': 50}",0.7235278115104415,0.7766644702523132,0.8158463257498655,0.7939493208595372,0.5076511291800504
13,"{'learning_rate': 0.005, 'max_depth': 3, 'n_estimators': 100}",0.7318187341673653,0.7873714019006829,0.8304040290314227,0.800549079967445,0.5089504257699109
14,"{'learning_rate': 0.005, 'max_depth': 3, 'n_estimators': 200}",0.7389603392048236,0.799641121583301,0.841023106401494,0.8058155782391498,0.5093615505953496
15,"{'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 50}",0.7430573554210459,0.8052772777012955,0.8432361601556595,0.817561882896329,0.5061541009308997
16,"{'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 100}",0.744955259317872,0.8098977882891893,0.8500760867991365,0.8213650330253385,0.49848212915782364
17,"{'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 200}",0.7421426053191005,0.8043614513592274,0.85426217214316,0.8226560932390313,0.48729070453498285
18,"{'learning_rate': 0.005, 'max_depth': 7, 'n_estimators': 50}",0.7396905347295089,0.8052284467036136,0.8434040442911627,0.8179488738653958,0.4921807740578634
