params,a_scores
"{'rf__bootstrap': False, 'rf__max_features': 0.14922604519201943, 'rf__min_samples_split': 0.5340855752884971, 'rf__n_estimators': 438}",0.6140000000000001
"{'rf__bootstrap': True, 'rf__max_features': 0.319672263414295, 'rf__min_samples_split': 0.8681787249760629, 'rf__n_estimators': 854}",0.5
"{'rf__bootstrap': False, 'rf__max_features': 0.6346591414919179, 'rf__min_samples_split': 0.6397556629924407, 'rf__n_estimators': 63}",0.6199999999999999
"{'rf__bootstrap': True, 'rf__max_features': 0.3158437093548896, 'rf__min_samples_split': 0.5837911286011382, 'rf__n_estimators': 985}",0.6140000000000001
"{'rf__bootstrap': True, 'rf__max_features': 0.015283988740036994, 'rf__min_samples_split': 0.616849379070599, 'rf__n_estimators': 795}",0.606
"{'rf__bootstrap': False, 'rf__max_features': 0.41655699816309755, 'rf__min_samples_split': 0.10546368996334775, 'rf__n_estimators': 612}",0.7525000000000001
"{'rf__bootstrap': True, 'rf__max_features': 0.6828803659175486, 'rf__min_samples_split': 0.8364530528428392, 'rf__n_estimators': 1370}",0.5
"{'rf__bootstrap': False, 'rf__max_features': 0.8692342221515514, 'rf__min_samples_split': 0.21218458298388687, 'rf__n_estimators': 975}",0.6705
"{'rf__bootstrap': False, 'rf__max_features': 0.37428926117899053, 'rf__min_samples_split': 0.6124142826570514, 'rf__n_estimators': 980}",0.6185
"{'rf__bootstrap': True, 'rf__max_features': 0.5498684157351958, 'rf__min_samples_split': 0.6697001321802623, 'rf__n_estimators': 1957}",0.5
"{'rf__bootstrap': True, 'rf__max_features': 0.6159229239736537, 'rf__min_samples_split': 0.5915044296211464, 'rf__n_estimators': 1689}",0.618
"{'rf__bootstrap': True, 'rf__max_features': 0.3744382211572994, 'rf__min_samples_split': 0.5113861196087895, 'rf__n_estimators': 150}",0.617
"{'rf__bootstrap': True, 'rf__max_features': 0.30508290454102316, 'rf__min_samples_split': 0.11529950116603348, 'rf__n_estimators': 498}",0.717
"{'rf__bootstrap': True, 'rf__max_features': 0.8433386853605798, 'rf__min_samples_split': 0.18208957273686988, 'rf__n_estimators': 784}",0.668
"{'rf__bootstrap': True, 'rf__max_features': 0.9560791165783957, 'rf__min_samples_split': 0.7752562255918353, 'rf__n_estimators': 318}",0.5
"{'rf__bootstrap': True, 'rf__max_features': 0.5929888340240296, 'rf__min_samples_split': 0.9376969392969919, 'rf__n_estimators': 392}",0.5
"{'rf__bootstrap': True, 'rf__max_features': 0.6944625848436455, 'rf__min_samples_split': 0.19823565304056756, 'rf__n_estimators': 1459}",0.6695
"{'rf__bootstrap': False, 'rf__max_features': 0.5610216795121018, 'rf__min_samples_split': 0.2948277460423233, 'rf__n_estimators': 952}",0.6765000000000001
"{'rf__bootstrap': False, 'rf__max_features': 0.668643793915766, 'rf__min_samples_split': 0.2681870256018325, 'rf__n_estimators': 1477}",0.6705
"{'rf__bootstrap': False, 'rf__max_features': 0.5224866912614653, 'rf__min_samples_split': 0.34628930505560174, 'rf__n_estimators': 282}",0.6770000000000002
"{'rf__bootstrap': True, 'rf__max_features': 0.6250483468923509, 'rf__min_samples_split': 0.43649894676828616, 'rf__n_estimators': 88}",0.6199999999999999
"{'rf__bootstrap': False, 'rf__max_features': 0.03141078066849045, 'rf__min_samples_split': 0.9008048994150175, 'rf__n_estimators': 1032}",0.605
"{'rf__bootstrap': True, 'rf__max_features': 0.5248166954864751, 'rf__min_samples_split': 0.24296261608328196, 'rf__n_estimators': 1826}",0.67
"{'rf__bootstrap': True, 'rf__max_features': 0.6603915633259765, 'rf__min_samples_split': 0.42260057662055517, 'rf__n_estimators': 1484}",0.618
"{'rf__bootstrap': False, 'rf__max_features': 0.4221412480290514, 'rf__min_samples_split': 0.43563379246110234, 'rf__n_estimators': 424}",0.6645
"{'rf__bootstrap': False, 'rf__max_features': 0.46867161430343385, 'rf__min_samples_split': 0.18622181826360684, 'rf__n_estimators': 1098}",0.7105
"{'rf__bootstrap': True, 'rf__max_features': 0.3544354643747395, 'rf__min_samples_split': 0.5669429455795073, 'rf__n_estimators': 1947}",0.6175
"{'rf__bootstrap': False, 'rf__max_features': 0.27477760317622635, 'rf__min_samples_split': 0.3178291873443825, 'rf__n_estimators': 1058}",0.6775
"{'rf__bootstrap': False, 'rf__max_features': 0.4067872632512679, 'rf__min_samples_split': 0.4471535762596863, 'rf__n_estimators': 288}",0.6535
"{'rf__bootstrap': True, 'rf__max_features': 0.15662107158940075, 'rf__min_samples_split': 0.11790402606164206, 'rf__n_estimators': 86}",0.6925
"{'rf__bootstrap': False, 'rf__max_features': 0.1562818994610321, 'rf__min_samples_split': 0.12793649287387499, 'rf__n_estimators': 1481}",0.7275
"{'rf__bootstrap': True, 'rf__max_features': 0.4982652707572658, 'rf__min_samples_split': 0.36481296011290476, 'rf__n_estimators': 306}",0.6195
"{'rf__bootstrap': True, 'rf__max_features': 0.9324173616683825, 'rf__min_samples_split': 0.9655465162325116, 'rf__n_estimators': 255}",0.5
"{'rf__bootstrap': False, 'rf__max_features': 0.8743723462240842, 'rf__min_samples_split': 0.4467965430813461, 'rf__n_estimators': 1849}",0.641
"{'rf__bootstrap': False, 'rf__max_features': 0.06825425465537281, 'rf__min_samples_split': 0.3743196058777425, 'rf__n_estimators': 59}",0.6345000000000001
"{'rf__bootstrap': False, 'rf__max_features': 0.5831120617139633, 'rf__min_samples_split': 0.6401138228918744, 'rf__n_estimators': 171}",0.6199999999999999
"{'rf__bootstrap': True, 'rf__max_features': 0.6843271252110923, 'rf__min_samples_split': 0.7238076511989002, 'rf__n_estimators': 1395}",0.5
"{'rf__bootstrap': False, 'rf__max_features': 0.09802131941500512, 'rf__min_samples_split': 0.16793833644995482, 'rf__n_estimators': 1915}",0.6795000000000001
"{'rf__bootstrap': False, 'rf__max_features': 0.41079666677199655, 'rf__min_samples_split': 0.9769596740393404, 'rf__n_estimators': 1453}",0.6205
"{'rf__bootstrap': True, 'rf__max_features': 0.8127650972157149, 'rf__min_samples_split': 0.31943391490590545, 'rf__n_estimators': 1255}",0.6369999999999999
"{'rf__bootstrap': False, 'rf__max_features': 0.307716052553223, 'rf__min_samples_split': 0.9735353757113122, 'rf__n_estimators': 1351}",0.6175
"{'rf__bootstrap': True, 'rf__max_features': 0.8390630457706633, 'rf__min_samples_split': 0.6422442261633263, 'rf__n_estimators': 1715}",0.6184999999999998
"{'rf__bootstrap': True, 'rf__max_features': 0.40014246828116573, 'rf__min_samples_split': 0.5469724530205818, 'rf__n_estimators': 1849}",0.618
"{'rf__bootstrap': False, 'rf__max_features': 0.028869510427793614, 'rf__min_samples_split': 0.07830521008556122, 'rf__n_estimators': 1264}",0.727
"{'rf__bootstrap': True, 'rf__max_features': 0.8755227887321249, 'rf__min_samples_split': 0.5311211817988494, 'rf__n_estimators': 1686}",0.619
"{'rf__bootstrap': True, 'rf__max_features': 0.33798627890405586, 'rf__min_samples_split': 0.9356062674333157, 'rf__n_estimators': 196}",0.5
"{'rf__bootstrap': False, 'rf__max_features': 0.6957197853203834, 'rf__min_samples_split': 0.34417651452989473, 'rf__n_estimators': 1686}",0.6645
"{'rf__bootstrap': True, 'rf__max_features': 0.15363136110828346, 'rf__min_samples_split': 0.27123996947924256, 'rf__n_estimators': 1879}",0.6210000000000001
"{'rf__bootstrap': True, 'rf__max_features': 0.6959606491156962, 'rf__min_samples_split': 0.8677102212787053, 'rf__n_estimators': 1273}",0.5
"{'rf__bootstrap': False, 'rf__max_features': 0.3732560346542585, 'rf__min_samples_split': 0.06145870228764971, 'rf__n_estimators': 627}",0.7940000000000002
