params,a_scores
"{'learning_rate': 9.444966028573068, 'max_depth': 13, 'min_child_weight': 3.6685990270194795, 'n_estimators': 4534}",0.514
"{'learning_rate': 5.8189487687999195, 'max_depth': 4, 'min_child_weight': 6.00725107483244, 'n_estimators': 4950}",0.5185000000000001
"{'learning_rate': 1.0343755501999807, 'max_depth': 6, 'min_child_weight': 4.408289640947085, 'n_estimators': 4159}",0.7089999999999999
"{'learning_rate': 7.534245871442832, 'max_depth': 4, 'min_child_weight': 4.016537900207967, 'n_estimators': 985}",0.5015
"{'learning_rate': 4.434888437784014, 'max_depth': 11, 'min_child_weight': 4.247945653494193, 'n_estimators': 1044}",0.5115000000000001
"{'learning_rate': 4.065569981630976, 'max_depth': 2, 'min_child_weight': 4.013638618367093, 'n_estimators': 3971}",0.5029999999999999
"{'learning_rate': 6.728803659175487, 'max_depth': 4, 'min_child_weight': 0.35860880221333813, 'n_estimators': 2500}",0.542
"{'learning_rate': 8.592342221515514, 'max_depth': 8, 'min_child_weight': 5.086039242326288, 'n_estimators': 3983}",0.491
"{'learning_rate': 9.702427208603492, 'max_depth': 11, 'min_child_weight': 4.232518355167948, 'n_estimators': 4370}",0.5085
"{'learning_rate': 1.7893744751587604, 'max_depth': 5, 'min_child_weight': 5.345029795478735, 'n_estimators': 1565}",0.631
"{'learning_rate': 5.815044296211464, 'max_depth': 9, 'min_child_weight': 4.169075902931896, 'n_estimators': 4574}",0.49949999999999994
"{'learning_rate': 3.4566978097164167, 'max_depth': 4, 'min_child_weight': 0.13395907533985685, 'n_estimators': 2011}",0.537
"{'learning_rate': 9.293824389941442, 'max_depth': 13, 'min_child_weight': 1.204627009158089, 'n_estimators': 784}",0.5159999999999999
"{'learning_rate': 3.368509184276991, 'max_depth': 11, 'min_child_weight': 6.557541184000879, 'n_estimators': 697}",0.51
"{'learning_rate': 5.829888340240296, 'max_depth': 2, 'min_child_weight': 3.888841337914054, 'n_estimators': 4264}",0.5805
"{'learning_rate': 0.38721346767512266, 'max_depth': 5, 'min_child_weight': 0.6010107840065457, 'n_estimators': 427}",0.7645
"{'learning_rate': 9.028584605815093, 'max_depth': 1, 'min_child_weight': 6.1931239503574265, 'n_estimators': 317}",0.3805
"{'learning_rate': 5.8067433728417015, 'max_depth': 8, 'min_child_weight': 2.114550159208433, 'n_estimators': 4322}",0.5125
"{'learning_rate': 3.3628930505560173, 'max_depth': 10, 'min_child_weight': 3.1022060163716847, 'n_estimators': 2277}",0.5045
"{'learning_rate': 6.296323179612743, 'max_depth': 2, 'min_child_weight': 0.14987546467943313, 'n_estimators': 2610}",0.576
"{'learning_rate': 6.907521832153503, 'max_depth': 13, 'min_child_weight': 3.603716868405326, 'n_estimators': 4154}",0.5175
