param_model__C,param_model__kernel,param_model__gamma,mean_all_datasets_test_score,std_all_datasets_test_score
2.676116425488144,linear,4.034049955714494,0.8185669782323423,0.03245621448767353
5.33170844190754,sigmoid,1.9916602316983043,0.5821710193245855,0.08128631259007087
8.020100117977709,rbf,6.335379672692158,0.8580735071920083,0.04221923567563818
0.061055582808330656,rbf,1.0473543576458468,0.7999878782738893,0.08764898038640194
1.8917407951503993,sigmoid,5.669400775497779,0.5998757726046942,0.11982686241271209
9.852119604414328,linear,0.40686444503627717,0.8274790356158463,0.01759909785268464
7.235610682182014,sigmoid,4.674399349643849,0.6078889748885035,0.10470041242371593
4.581275829030201,rbf,2.6572940785428507,0.8572241445390585,0.03999530968695187
3.9996341086085883,sigmoid,5.851772438611835,0.5914495195885778,0.12404292010709544
6.651572422757745,rbf,1.3912977536581455,0.8564709782641817,0.03918324894859223
9.343470203829929,sigmoid,3.2800421580309047,0.5658066234603616,0.10705035405388266
1.3807624391838909,linear,2.072931882047094,0.8117531195000133,0.04375411804995837
0.7255315994564444,linear,4.263010073987767,0.8042881032604864,0.055514496652941496
8.687134636137635,rbf,3.0306153450887647,0.8585307417720724,0.04008261802962212
6.069558610962703,linear,4.893948650575243,0.82473915433854,0.02129286314676154
3.41643845802173,sigmoid,0.40798498103674496,0.7404296000930136,0.038019884831511315
3.741478913100436,rbf,5.165179137501866,0.8575140413015163,0.04105295012457663
5.768775614332408,sigmoid,0.7085688615180552,0.6547890388588102,0.0554478259283514
8.382769726226106,linear,4.372772504121997,0.8268161627436136,0.018831413853050774
1.0447029790468514,sigmoid,3.1617978191683065,0.6097738028931758,0.10146908044953662
1.725465559689328,rbf,3.5296360608544197,0.8549579548293427,0.04113866807318582
9.062350468076765,linear,2.293172391315922,0.8272935366570312,0.018223547446153336
6.366565307667479,sigmoid,6.033560618727468,0.5861868240657532,0.12154183298571149
4.3381638784706595,linear,1.5516658898284656,0.8223762674347315,0.025598374385131843
4.924759746231139,sigmoid,4.564432387840003,0.608849512672355,0.10526474829983792
6.95571014973335,linear,2.525907072793692,0.8252764959101174,0.02014755761524247
9.565893286019564,rbf,5.398759091862478,0.8583106369694594,0.042013603984850295
2.231489768316969,rbf,0.10686936784628778,0.8118706004186306,0.07074573730103181
0.38487623913213614,linear,6.153002689285204,0.7964686102655129,0.06680627031115158
7.7205369201023135,sigmoid,0.8863974181842058,0.6367544354015704,0.06085464695963785
8.676488407378017,rbf,1.2641141253491648,0.8568439402020867,0.03895232981747805
9.051804336301688,rbf,1.2844275384117307,0.8570122709705166,0.03890305647663331
8.796860202163653,rbf,2.9388150770047488,0.8584336079010677,0.040049719857345165
8.992123554712004,rbf,3.5453032070637467,0.8585195774729719,0.040661072629021085
9.02023749943467,rbf,3.207762419298424,0.8583047127411151,0.040387165699137056
9.080125000389074,rbf,3.4985566670159525,0.8586595105548005,0.040482702151433986
8.998342035575227,rbf,3.5682612965657805,0.8584659587909048,0.04063941368848735
8.59807876444945,rbf,3.0712253777099545,0.8584932684157437,0.04001874132153265
9.594695875780973,rbf,3.943207377089463,0.8585427173679585,0.040819362529237554
9.281785759183995,rbf,3.7177170505644717,0.8586359421868078,0.0406574889868703
