,wektor parametrów 1,mean_score_dane1,mean_score_dane2,mean_score_dane3,mean_score_dane4
15,"{'max_features': 0.21997707864735, 'max_samples': 0.5591856796253345, 'min_samples_leaf': 0.29948367280175436, 'n_estimators': 14}",0.5,0.5,0.5,0.5
16,"{'max_features': 0.36530003332582195, 'max_samples': 0.38886649991081046, 'min_samples_leaf': 0.3916845004535343, 'n_estimators': 19}",0.5,0.5,0.45699741806052574,0.5
17,"{'max_features': 0.18002722997762094, 'max_samples': 0.459061882687973, 'min_samples_leaf': 0.03020402008518422, 'n_estimators': 12}",0.8099939883467868,0.8162522948900179,0.5,0.8712072962172535
18,"{'max_features': 0.8904224517894808, 'max_samples': 0.5904417149294411, 'min_samples_leaf': 0.18032328075988824, 'n_estimators': 21}",0.7342174933866481,0.7249664426228036,0.5209878990871986,0.8003704975545405
19,"{'max_features': 0.7272747126560393, 'max_samples': 0.24586930618065903, 'min_samples_leaf': 0.3765637827626781, 'n_estimators': 155}",0.5,0.5,0.42984987480243997,0.5
20,"{'max_features': 0.3805348217464575, 'max_samples': 0.9912422396467858, 'min_samples_leaf': 0.029175683344725412, 'n_estimators': 1}",0.8509167702964119,0.8521014518406004,0.43551488585076936,0.8186758179765171
21,"{'max_features': 0.37904824132885107, 'max_samples': 0.9975550897408878, 'min_samples_leaf': 0.026924604550004005, 'n_estimators': 16}",0.8409759849300519,0.8507416014524644,0.4343218305000315,0.8914123021615616
22,"{'max_features': 0.26902435508018063, 'max_samples': 0.45481246783499496, 'min_samples_leaf': 0.010877628170722848, 'n_estimators': 6}",0.8443028653502829,0.8970369240611886,0.4361034038883238,0.8879121827697191
23,"{'max_features': 0.3790034068821408, 'max_samples': 0.40671387188812635, 'min_samples_leaf': 0.02054531059042537, 'n_estimators': 14}",0.8211410249651088,0.8346413469068267,0.4411562962256955,0.879564995906075
24,"{'max_features': 0.4167704838375082, 'max_samples': 0.44748070909268667, 'min_samples_leaf': 0.020030634403703614, 'n_estimators': 11}",0.8391651167924602,0.8123927822935915,0.3783753754489728,0.8846646693048961
25,"{'max_features': 0.6378574330231526, 'max_samples': 0.48714141900512753, 'min_samples_leaf': 0.0054756641974113215, 'n_estimators': 16}",0.8486810267437171,0.8453793821268796,0.38650082957554877,0.9178520974989739
26,"{'max_features': 0.4999511406074236, 'max_samples': 0.42783129027172095, 'min_samples_leaf': 0.4836061905063387, 'n_estimators': 104}",0.5,0.5,0.5,0.5
27,"{'max_features': 0.9946434676752095, 'max_samples': 0.7780630990366405, 'min_samples_leaf': 0.36581991580263795, 'n_estimators': 123}",0.5,0.5,0.5,0.5
28,"{'max_features': 0.4196113499484212, 'max_samples': 0.1825090498918645, 'min_samples_leaf': 0.53485391876583, 'n_estimators': 69}",0.5,0.5,0.5,0.5
29,"{'max_features': 0.5375861647829075, 'max_samples': 0.8099309964133784, 'min_samples_leaf': 0.0052606564356020465, 'n_estimators': 28}",0.8522703879522195,0.8967769068253713,0.49343445381954143,0.9278126378319105
30,"{'max_features': 0.9016897145606739, 'max_samples': 0.4808084365837608, 'min_samples_leaf': 0.004422900847385475, 'n_estimators': 18}",0.8522938646725224,0.8945544773844087,0.49646816253251147,0.9225224347125062
31,"{'max_features': 0.568805199665867, 'max_samples': 0.4924512057760557, 'min_samples_leaf': 0.003114802532750086, 'n_estimators': 51}",0.8516110454058691,0.888743730784466,0.5012519718732403,0.9306798975966826
32,"{'max_features': 0.9999002434645684, 'max_samples': 0.5029341380569398, 'min_samples_leaf': 0.003004943219297506, 'n_estimators': 29}",0.8548858571832959,0.893569526654608,0.4599334442041574,0.9323249196947412
33,"{'max_features': 0.7393428332545182, 'max_samples': 0.4596425502866921, 'min_samples_leaf': 0.0054756641974113215, 'n_estimators': 33}",0.8569027675325479,0.8626299740240115,0.44106015453982905,0.9215218256186597
34,"{'max_features': 0.6299949163072214, 'max_samples': 0.5022011354790314, 'min_samples_leaf': 0.0049747579935055415, 'n_estimators': 26}",0.8545887579349257,0.8830623404008151,0.4157143684151563,0.9225400848535414
35,"{'max_features': 0.5938954535883965, 'max_samples': 0.4974667967847104, 'min_samples_leaf': 0.005379137880251277, 'n_estimators': 24}",0.8557307264336199,0.8626686047713135,0.5,0.9206939150926334
36,"{'max_features': 0.6813432920295053, 'max_samples': 0.8889327373788689, 'min_samples_leaf': 0.2422684944321538, 'n_estimators': 29}",0.7313807566655166,0.7242532180790237,0.40868139952269034,0.8176084246933772
37,"{'max_features': 0.9633450328154872, 'max_samples': 0.5665383121925529, 'min_samples_leaf': 0.0025497186625743455, 'n_estimators': 44}",0.8598609093160052,0.8971903514225795,0.532816575237334,0.9360413730527887
38,"{'max_features': 0.18204899423987453, 'max_samples': 0.3485216169451871, 'min_samples_leaf': 0.6733332766340134, 'n_estimators': 115}",0.5,0.5,0.5,0.5
39,"{'max_features': 0.9134977614141803, 'max_samples': 0.5669267957832421, 'min_samples_leaf': 0.000577539778766338, 'n_estimators': 66}",0.859870260762493,0.9038893881416372,0.49415228823253654,0.9501011826664689
40,"{'max_features': 0.8883042414486853, 'max_samples': 0.6299756785376159, 'min_samples_leaf': 0.002552323365882755, 'n_estimators': 51}",0.8587377115636097,0.8960883491013577,0.5221726260567415,0.9375801528791593
41,"{'max_features': 0.8905692641587696, 'max_samples': 0.791169434604797, 'min_samples_leaf': 0.0008995658469013665, 'n_estimators': 151}",0.8409258307878498,0.8944339627715696,0.5,0.9530011562271167
42,"{'max_features': 0.9233806468872874, 'max_samples': 0.5882705380439419, 'min_samples_leaf': 0.0027064632230502654, 'n_estimators': 35}",0.8584166349950382,0.8993446098372179,0.5,0.9358203703937267
43,"{'max_features': 0.9429823081972726, 'max_samples': 0.5874873090046542, 'min_samples_leaf': 0.003004943219297506, 'n_estimators': 37}",0.8565014290018482,0.8858978832420924,0.5,0.9341503635242839
44,"{'max_features': 0.24910558632236252, 'max_samples': 0.4189607034227979, 'min_samples_leaf': 0.0009491467781769466, 'n_estimators': 65}",0.8595887818540223,0.9039804013310523,0.5188531154309259,0.9402909225014803
45,"{'max_features': 0.49547794334749623, 'max_samples': 0.771808630533602, 'min_samples_leaf': 0.001107205152770329, 'n_estimators': 122}",0.8606079225453579,0.5,0.5140699978318958,0.950632610028016
46,"{'max_features': 0.14496462409810296, 'max_samples': 0.7580956287707459, 'min_samples_leaf': 0.515397281579558, 'n_estimators': 67}",0.5,0.9035077581822601,0.5,0.5
47,"{'max_features': 0.19283184223173538, 'max_samples': 0.6340385533912758, 'min_samples_leaf': 0.0006527310025636645, 'n_estimators': 179}",0.8599662626809401,0.9031753808715617,0.5117028541083322,0.9510967780580971
48,"{'max_features': 0.01495568775042262, 'max_samples': 0.19701269502432267, 'min_samples_leaf': 0.0001658607275072492, 'n_estimators': 119}",0.8596250534501253,0.9062609055129659,0.5182587830321095,0.9441237874581858
49,"{'max_features': 0.48507730453102904, 'max_samples': 0.8032553029129648, 'min_samples_leaf': 0.0005101203420140765, 'n_estimators': 152}",0.858832570689245,0.9042737208905077,0.46339005848101655,0.9555258811926917
