,wektor parametrów 1,mean_score_dane1,mean_score_dane2,mean_score_dane3,mean_score_dane4
0,"{'C': 934.1824163414193, 'degree': 4, 'gamma': 356.8460583518976, 'kernel': 'poly'}",0.4482403176903764,0.5987882380065129,0.6084260387182161,0.41733942816866765
1,"{'C': 138.2870266755903, 'degree': 3, 'gamma': 943.7505010492168, 'kernel': 'precomputed'}",-inf,-inf,-inf,-inf
2,"{'C': 471.07280318794864, 'degree': 5, 'gamma': 26.92557762539946, 'kernel': 'linear'}",0.3708773360601162,0.7848280418311969,0.4712130431337552,0.4236562021653305
3,"{'C': 706.4227724694302, 'degree': 2, 'gamma': 672.4722317239409, 'kernel': 'sigmoid'}",0.49868726386305573,0.5,0.5,0.5
4,"{'C': 576.7038124718471, 'degree': 5, 'gamma': 850.0626571422042, 'kernel': 'rbf'}",0.516800088301315,0.5211063971098941,0.4570589210242384,0.6747123513745744
5,"{'C': 374.5580376720661, 'degree': 2, 'gamma': 450.6562332194, 'kernel': 'linear'}",0.44350262868845247,0.7101312180201795,0.40395733840976367,0.5417295395949445
6,"{'C': 16.060325781104158, 'degree': 4, 'gamma': 516.1603293562401, 'kernel': 'sigmoid'}",0.4861431453336784,0.5,0.5,0.5
7,"{'C': 782.6595551965377, 'degree': 3, 'gamma': 183.11514903261047, 'kernel': 'rbf'}",0.5192341337082927,0.5501399083554711,0.501662876387546,0.5433072064100734
8,"{'C': 834.1990569863328, 'degree': 5, 'gamma': 585.8596253025215, 'kernel': 'linear'}",0.47648139583351146,0.7848280418311969,0.44073348587592054,0.4522553932335833
9,"{'C': 100.80267722414715, 'degree': 2, 'gamma': 246.9684868699303, 'kernel': 'rbf'}",0.5177546560906914,0.5327223346633199,0.43062317504336145,0.5742164527175768
10,"{'C': 258.55595350291486, 'degree': 4, 'gamma': 782.2936556866774, 'kernel': 'poly'}",0.4429710413272572,0.5987929971409995,0.5593252235206094,0.5049295274217425
11,"{'C': 556.404999743198, 'degree': 3, 'gamma': 384.8878596651293, 'kernel': 'precomputed'}",-inf,-inf,-inf,-inf
12,"{'C': 890.422561367029, 'degree': 4, 'gamma': 180.3241004366075, 'kernel': 'linear'}",0.6543906502051829,0.7848280418311969,0.45429921440229326,0.43683273834079883
13,"{'C': 727.2749853813266, 'degree': 2, 'gamma': 376.5644061988953, 'kernel': 'sigmoid'}",0.4617616432076137,0.5,0.5,0.5
14,"{'C': 588.0526673982183, 'degree': 3, 'gamma': 390.9920101485201, 'kernel': 'rbf'}",0.5201799083522655,0.533332547234735,0.42117326388785015,0.6566186667482352
15,"{'C': 467.8961243792736, 'degree': 2, 'gamma': 203.46228841156898, 'kernel': 'precomputed'}",-inf,-inf,-inf,-inf
16,"{'C': 321.98898200366375, 'degree': 4, 'gamma': 337.9593551000985, 'kernel': 'linear'}",0.5409171974659615,0.6463970199018256,0.4454590841357161,0.44318147915024
17,"{'C': 141.3420812336298, 'degree': 3, 'gamma': 564.8620840568245, 'kernel': 'poly'}",0.5629631720973314,0.6281720669726315,0.37749830818563546,0.42829778982968636
18,"{'C': 126.59696690819774, 'degree': 4, 'gamma': 35.64917475587776, 'kernel': 'linear'}",0.49449191774987367,0.6606728709536991,0.5315489363193866,0.47162727245162517
19,"{'C': 22.090639528495114, 'degree': 3, 'gamma': 320.60513706111277, 'kernel': 'sigmoid'}",0.4465194979344519,0.5,0.5,0.5
20,"{'C': 791.621355596156, 'degree': 3, 'gamma': 218.22604663770028, 'kernel': 'rbf'}",0.5173910272746463,0.542077346142368,0.5948704012931518,0.5423962556714417
21,"{'C': 596.7009605985957, 'degree': 3, 'gamma': 663.2878171354192, 'kernel': 'poly'}",0.5370343803901995,0.6281812445278504,0.5190307063800035,0.4328759400034443
22,"{'C': 980.5572452024863, 'degree': 4, 'gamma': 729.779508979733, 'kernel': 'rbf'}",0.5112228928875722,0.5228720606852508,0.46846974879657655,0.6790443390827036
23,"{'C': 810.3384933176817, 'degree': 4, 'gamma': 187.1733499224505, 'kernel': 'linear'}",0.5494059910221478,0.7848280418311969,0.4258559326228075,0.4073149143245617
24,"{'C': 884.7853692678149, 'degree': 2, 'gamma': 863.3133996627386, 'kernel': 'precomputed'}",-inf,-inf,-inf,-inf
25,"{'C': 819.7109409630789, 'degree': 3, 'gamma': 110.04900344900913, 'kernel': 'linear'}",0.41331607972133555,0.7848280418311969,0.5045149529843317,0.45267328568887644
26,"{'C': 499.951640656283, 'degree': 3, 'gamma': 483.60670690014814, 'kernel': 'rbf'}",0.5313156057246684,0.5201428959303742,0.5156074131712058,0.667153837212046
27,"{'C': 994.6434730317418, 'degree': 5, 'gamma': 365.8205499827221, 'kernel': 'sigmoid'}",0.457432297686889,0.5,0.5,0.5
28,"{'C': 419.6119303370712, 'degree': 2, 'gamma': 534.8543839119112, 'kernel': 'poly'}",0.4478791302492149,0.6958915688608627,0.5396699674444794,0.5210454464919264
29,"{'C': 834.8011463102448, 'degree': 4, 'gamma': 474.8165237385429, 'kernel': 'precomputed'}",-inf,-inf,-inf,-inf
30,"{'C': 921.8062511864904, 'degree': 4, 'gamma': 518.6659070185104, 'kernel': 'sigmoid'}",0.4835496076118595,0.5,0.5,0.5
31,"{'C': 347.0605424694038, 'degree': 4, 'gamma': 732.794335802, 'kernel': 'poly'}",0.4429718680147108,0.5988024290271403,0.49350099118218793,0.4173352995805819
32,"{'C': 18.34197254881157, 'degree': 4, 'gamma': 514.8852375211178, 'kernel': 'precomputed'}",-inf,-inf,-inf,-inf
33,"{'C': 21.79199416763245, 'degree': 3, 'gamma': 115.24359432471776, 'kernel': 'sigmoid'}",0.23337392898897857,0.5,0.5,0.49931598696703516
34,"{'C': 549.6231079181833, 'degree': 4, 'gamma': 709.5909895728835, 'kernel': 'poly'}",0.4482424273450172,0.5987924020592651,0.6142455085225942,0.41733777655917426
35,"{'C': 603.4530170835834, 'degree': 2, 'gamma': 894.9074230295746, 'kernel': 'rbf'}",0.5025794041750706,0.5227314290820111,0.4899750535454126,0.676895513342222
36,"{'C': 681.3436106862132, 'degree': 5, 'gamma': 242.2692521636594, 'kernel': 'linear'}",0.355959089474986,0.7848280418311969,0.4719364680328587,0.5780052584244657
37,"{'C': 494.26569454328865, 'degree': 5, 'gamma': 311.46729576150125, 'kernel': 'sigmoid'}",0.44232784726102636,0.5,0.5,0.5
38,"{'C': 182.0498121908803, 'degree': 3, 'gamma': 673.3336033007367, 'kernel': 'rbf'}",0.5159363572654823,0.5185595853469288,0.5276184675790201,0.6832386317471372
39,"{'C': 118.96836990611934, 'degree': 5, 'gamma': 693.6279613267487, 'kernel': 'linear'}",0.5300955521043595,0.6964754865314404,0.40507181334231634,0.7165729649708235
40,"{'C': 45.90746256249166, 'degree': 2, 'gamma': 885.6390695348585, 'kernel': 'linear'}",0.5312107768917824,0.800687137224854,0.5362539171043312,0.5951916422797098
41,"{'C': 338.1726702374313, 'degree': 3, 'gamma': 914.9495497061359, 'kernel': 'precomputed'}",-inf,-inf,-inf,-inf
42,"{'C': 454.404005969426, 'degree': 4, 'gamma': 991.1599230096772, 'kernel': 'precomputed'}",-inf,-inf,-inf,-inf
43,"{'C': 933.646020235589, 'degree': 3, 'gamma': 226.27250302043427, 'kernel': 'sigmoid'}",0.336132022568184,0.5,0.5,0.5
44,"{'C': 330.9351950840595, 'degree': 4, 'gamma': 387.98615853364885, 'kernel': 'sigmoid'}",0.4643889368444899,0.5,0.5,0.5
45,"{'C': 364.540493575324, 'degree': 4, 'gamma': 281.1271179239319, 'kernel': 'poly'}",0.4378152365912853,0.5987960557084346,0.5089959154100963,0.5049320044003347
46,"{'C': 144.96547913347888, 'degree': 4, 'gamma': 515.3977661822764, 'kernel': 'poly'}",0.44823914419978517,0.5987946958921958,0.485731120312761,0.5049320044003347
47,"{'C': 602.9551588639193, 'degree': 4, 'gamma': 433.44729493030775, 'kernel': 'rbf'}",0.5088859593808925,0.5320905252905799,0.5051562210171291,0.6705659480985581
48,"{'C': 202.66669430697556, 'degree': 4, 'gamma': 442.21493859966205, 'kernel': 'sigmoid'}",0.4716482432917003,0.5,0.5,0.5
49,"{'C': 284.5136866634927, 'degree': 4, 'gamma': 859.7189007864062, 'kernel': 'poly'}",0.4482559546721966,0.5987950363836003,0.46308052837808655,0.5049303506262154
