,wektor parametrów,mean_score_dane1,mean_score_dane2,mean_score_dane3,mean_score_dane4
38,"{'model__min_samples_split': 28, 'model__min_samples_leaf': 56, 'model__max_depth': 2, 'model__ccp_alpha': 0.62}",0.5,0.5,0.5,0.5
39,"{'model__min_samples_split': 41, 'model__min_samples_leaf': 36, 'model__max_depth': 15, 'model__ccp_alpha': 0.75}",0.5,0.5,0.5,0.5
40,"{'model__min_samples_split': 18, 'model__min_samples_leaf': 39, 'model__max_depth': 26, 'model__ccp_alpha': 0.31}",0.5,0.5,0.5,0.5
41,"{'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_depth': 25, 'model__ccp_alpha': 0.03}",0.5927956961043275,0.6933112578836591,0.42771401358644867,0.7418349926052619
42,"{'model__min_samples_split': 49, 'model__min_samples_leaf': 1, 'model__max_depth': 12, 'model__ccp_alpha': 0.85}",0.5,0.5,0.5,0.5
43,"{'model__min_samples_split': 11, 'model__min_samples_leaf': 53, 'model__max_depth': 18, 'model__ccp_alpha': 0.21}",0.5,0.5,0.5,0.5
44,"{'model__min_samples_split': 48, 'model__min_samples_leaf': 49, 'model__max_depth': 13, 'model__ccp_alpha': 0.18}",0.5,0.5,0.5,0.5
45,"{'model__min_samples_split': 22, 'model__min_samples_leaf': 44, 'model__max_depth': 20, 'model__ccp_alpha': 0.31}",0.5,0.5,0.5,0.5
46,"{'model__min_samples_split': 16, 'model__min_samples_leaf': 19, 'model__max_depth': 21, 'model__ccp_alpha': 0.28}",0.5,0.5,0.5,0.5
47,"{'model__min_samples_split': 4, 'model__min_samples_leaf': 22, 'model__max_depth': 19, 'model__ccp_alpha': 0.61}",0.5,0.5,0.5,0.5
48,"{'model__min_samples_split': 59, 'model__min_samples_leaf': 18, 'model__max_depth': 17, 'model__ccp_alpha': 0.18}",0.5,0.5,0.5,0.5
49,"{'model__min_samples_split': 28, 'model__min_samples_leaf': 59, 'model__max_depth': 29, 'model__ccp_alpha': 0.97}",0.5,0.5,0.5,0.5
