,wektor parametrów 1,mean_score_dane1,mean_score_dane2,mean_score_dane3,mean_score_dane4
0,"{'ccp_alpha': 0.9341823505237699, 'max_depth': 18, 'min_samples_leaf': 22, 'min_samples_split': 22}",0.5,0.5,0.5,0.5
1,"{'ccp_alpha': 0.13828616496175528, 'max_depth': 15, 'min_samples_leaf': 57, 'min_samples_split': 54}",0.5,0.5,0.5,0.5
2,"{'ccp_alpha': 0.4710722742602229, 'max_depth': 28, 'min_samples_leaf': 2, 'min_samples_split': 6}",0.5,0.5,0.5,0.5
3,"{'ccp_alpha': 0.7064224788919091, 'max_depth': 1, 'min_samples_leaf': 41, 'min_samples_split': 39}",0.5,0.5,0.5,0.5
4,"{'ccp_alpha': 0.5767033891752362, 'max_depth': 24, 'min_samples_leaf': 52, 'min_samples_split': 33}",0.5,0.5,0.5,0.5
5,"{'ccp_alpha': 0.37455741222947836, 'max_depth': 5, 'min_samples_leaf': 28, 'min_samples_split': 13}",0.5,0.5,0.5,0.5
6,"{'ccp_alpha': 0.016059341840445995, 'max_depth': 21, 'min_samples_leaf': 31, 'min_samples_split': 47}",0.7178545125926461,0.7191908301554216,0.45836526385971,0.7690707923709535
7,"{'ccp_alpha': 0.7826593378558755, 'max_depth': 11, 'min_samples_leaf': 11, 'min_samples_split': 28}",0.5,0.5,0.5,0.5
8,"{'ccp_alpha': 0.8341988911852241, 'max_depth': 30, 'min_samples_leaf': 36, 'min_samples_split': 9}",0.5,0.5,0.5,0.5
9,"{'ccp_alpha': 0.10080177802592516, 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 36}",0.5,0.5,0.5,0.5
10,"{'ccp_alpha': 0.2585552120581269, 'max_depth': 16, 'min_samples_leaf': 47, 'min_samples_split': 24}",0.5,0.5,0.5,0.5
11,"{'ccp_alpha': 0.5564045561477542, 'max_depth': 13, 'min_samples_leaf': 24, 'min_samples_split': 50}",0.5,0.5,0.5,0.5
12,"{'ccp_alpha': 0.007028726932936654, 'max_depth': 15, 'min_samples_leaf': 30, 'min_samples_split': 46}",0.7903547306804924,0.7957036979107546,0.5,0.8313927848251932
13,"{'ccp_alpha': 0.01593328262708325, 'max_depth': 18, 'min_samples_leaf': 49, 'min_samples_split': 33}",0.7178545125926461,0.7191908301554216,0.5,0.781575540748247
14,"{'ccp_alpha': 0.01127551271609857, 'max_depth': 25, 'min_samples_leaf': 29, 'min_samples_split': 40}",0.7198193758126614,0.769715313491159,0.5,0.7919327838816805
15,"{'ccp_alpha': 0.002286611005948541, 'max_depth': 3, 'min_samples_leaf': 9, 'min_samples_split': 39}",0.7903547306804924,0.7982058343145864,0.5,0.828558952937762
16,"{'ccp_alpha': 0.011824599343683996, 'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 11}",0.7178545125926461,0.769715313491159,0.5,0.7919327838816805
17,"{'ccp_alpha': 0.0057845421679424925, 'max_depth': 22, 'min_samples_leaf': 44, 'min_samples_split': 21}",0.7903547306804924,0.7982706536610721,0.5,0.8360832442607169
18,"{'ccp_alpha': 0.014729305048132628, 'max_depth': 7, 'min_samples_leaf': 49, 'min_samples_split': 52}",0.7178545125926461,0.7546597031030722,0.5,0.7919327838816805
19,"{'ccp_alpha': 0.02208966161815673, 'max_depth': 11, 'min_samples_leaf': 20, 'min_samples_split': 46}",0.7178545125926461,0.6933112578836591,0.4191499949845159,0.7418349926052619
20,"{'ccp_alpha': 0.007028726932936654, 'max_depth': 23, 'min_samples_leaf': 45, 'min_samples_split': 51}",0.7982927599870233,0.8359096217092097,0.5,0.8313927848251932
21,"{'ccp_alpha': 0.004850586740564225, 'max_depth': 28, 'min_samples_leaf': 49, 'min_samples_split': 49}",0.801492588160361,0.7982706536610721,0.5,0.8417084075682053
22,"{'ccp_alpha': 0.0057845421679424925, 'max_depth': 29, 'min_samples_leaf': 53, 'min_samples_split': 25}",0.7916161143288998,0.8070550914121848,0.5,0.8360832442607169
23,"{'ccp_alpha': 0.0043360167442896775, 'max_depth': 22, 'min_samples_leaf': 54, 'min_samples_split': 27}",0.801492588160361,0.8091806465088773,0.5,0.8516125282703687
24,"{'ccp_alpha': 0.004417715703289485, 'max_depth': 11, 'min_samples_leaf': 47, 'min_samples_split': 54}",0.7903547306804924,0.8030445864793148,0.5,0.848230857832527
25,"{'ccp_alpha': 0.004455741471696794, 'max_depth': 29, 'min_samples_leaf': 32, 'min_samples_split': 48}",0.7916161143288998,0.7982706536610721,0.5,0.848230857832527
26,"{'ccp_alpha': 0.4999511406074236, 'max_depth': 11, 'min_samples_leaf': 30, 'min_samples_split': 32}",0.5,0.5,0.5,0.5
