,wektor parametrów,mean_score_dane1,mean_score_dane2,mean_score_dane3,mean_score_dane4
32,"{'model__max_iter': 100, 'model__kernel': 'linear', 'model__gamma': 512.0, 'model__degree': 5, 'model__C': 32.0}",0.6773543407275179,0.7911339185209538,0.5257900681310079,0.45035722365724684
33,"{'model__max_iter': 100, 'model__kernel': 'linear', 'model__gamma': 0.015625, 'model__degree': 5, 'model__C': 0.0625}",0.6418914825616524,0.8680531255427392,0.5035874904134993,0.6246349032549267
34,"{'model__max_iter': 100, 'model__kernel': 'linear', 'model__gamma': 0.001953125, 'model__degree': 4, 'model__C': 8.0}",0.6323695096930733,0.8365944029914688,0.4622967826894303,0.5802464424143705
35,"{'model__max_iter': 100, 'model__kernel': 'rbf', 'model__gamma': 0.0078125, 'model__degree': 2, 'model__C': 0.00390625}",0.5465164360181457,0.8543623162870713,0.5175456558202861,0.6785962617509361
36,"{'model__max_iter': 100, 'model__kernel': 'sigmoid', 'model__gamma': 0.03125, 'model__degree': 5, 'model__C': 1.0}",0.5830730814392954,0.870305761829866,0.5021658644645691,0.4550799065362333
37,"{'model__max_iter': 100, 'model__kernel': 'poly', 'model__gamma': 0.0009765625, 'model__degree': 2, 'model__C': 512.0}",0.5010291760254335,0.84914723405176,0.5030134024216363,0.5420032843829304
38,"{'model__max_iter': 100, 'model__kernel': 'linear', 'model__gamma': 16.0, 'model__degree': 5, 'model__C': 64.0}",0.6123276516385412,0.71359650688519,0.5163830019096026,0.5178841720120968
39,"{'model__max_iter': 100, 'model__kernel': 'linear', 'model__gamma': 0.0078125, 'model__degree': 5, 'model__C': 0.0078125}",0.676543811216529,0.8780571023548654,0.5035874904134993,0.6246349032549267
40,"{'model__max_iter': 100, 'model__kernel': 'sigmoid', 'model__gamma': 16.0, 'model__degree': 4, 'model__C': 1.0}",0.21565893151554794,0.5,0.5223771310842616,0.5310646878453109
41,"{'model__max_iter': 100, 'model__kernel': 'linear', 'model__gamma': 0.25, 'model__degree': 4, 'model__C': 0.25}",0.6508251809990242,0.8679255786409987,0.5036193781686013,0.5547119156353988
42,"{'model__max_iter': 100, 'model__kernel': 'sigmoid', 'model__gamma': 1.0, 'model__degree': 5, 'model__C': 0.03125}",0.7257608626086001,0.7563752173122095,0.4376306824599885,0.49011035576048734
43,"{'model__max_iter': 100, 'model__kernel': 'linear', 'model__gamma': 8.0, 'model__degree': 3, 'model__C': 0.001953125}",0.676543811216529,0.8780571023548654,0.5035874904134993,0.6246349032549267
44,"{'model__max_iter': 100, 'model__kernel': 'sigmoid', 'model__gamma': 2.0, 'model__degree': 5, 'model__C': 0.015625}",0.3204144467750664,0.4692379256791357,0.4192295240067566,0.40873608115091437
45,"{'model__max_iter': 100, 'model__kernel': 'poly', 'model__gamma': 2.0, 'model__degree': 5, 'model__C': 128.0}",0.39526510358471595,0.6785766095614034,0.5608879884564935,0.5559602551020992
46,"{'model__max_iter': 100, 'model__kernel': 'sigmoid', 'model__gamma': 2.0, 'model__degree': 5, 'model__C': 0.0625}",0.3204144467750664,0.4692379256791357,0.4192295240067566,0.40873608115091437
47,"{'model__max_iter': 100, 'model__kernel': 'rbf', 'model__gamma': 128.0, 'model__degree': 4, 'model__C': 0.125}",0.4565813944683518,0.5636383790269129,0.4824632024438526,0.7046343462558637
48,"{'model__max_iter': 100, 'model__kernel': 'rbf', 'model__gamma': 0.001953125, 'model__degree': 4, 'model__C': 1.0}",0.6465504078102132,0.859397308994148,0.5114778562089,0.5978676656824836
49,"{'model__max_iter': 100, 'model__kernel': 'precomputed', 'model__gamma': 2.0, 'model__degree': 3, 'model__C': 16.0}",,,,
