Iteration,Score
1,0.7790515540824494
2,0.9123935802295527
3,0.7619070651948161
4,0.9452231187725895
5,0.7719909397036083
6,0.9151912056682333
7,0.7588305662609167
8,0.9140120516212038
9,0.7796942145233831
10,0.7606486549987498
11,0.9155309633069185
12,0.9093543808627652
13,0.8093762615458759
14,0.780512199671678
15,0.7588305662609167
16,0.9303174264381562
17,0.9144399588628183
18,0.7605554087150174
19,0.7606486549987498
20,0.7719909397036083
21,0.7588305662609167
22,0.7606486549987498
23,0.7588305662609167
24,0.723230998906972
25,0.7588305662609167
26,0.7790515540824494
27,0.6609133047743989
28,0.7554139389007668
29,0.7588305662609167
30,0.7652279273940729
31,0.7588305662609167
32,0.7482881220572453
33,0.7796942145233831
34,0.9144399588628183
35,0.7796868297358678
36,0.8089459179305265
37,0.8091596730095094
38,0.8094420442221189
39,0.7588305662609167
40,0.7588305662609167
41,0.8094484069979724
42,0.7588305662609167
43,0.8094484069979724
44,0.7619070651948161
45,0.7654313064697154
46,0.8995534695814832
47,0.8618993872307557
48,0.7719812192055451
49,0.7588305662609167
50,0.7574132930055373
