mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.003972244262695312,0.0005776862275502213,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",,,,,,,,7
0.025658512115478517,0.009161844893477999,0.010164833068847657,0.0014760433855273711,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",0.6000000000000001,0.6029411764705883,0.5970588235294118,0.6058823529411765,0.5852941176470587,0.5982352941176471,0.0071076741021145135,3
0.002866029739379883,0.0005947451883111557,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,7
0.028063058853149414,0.006055546733194024,0.010012388229370117,0.0013762611400766702,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.5941176470588235,0.6147058823529412,0.5941176470588235,0.6058823529411765,0.5882352941176471,0.5994117647058824,0.009557692240748206,2
0.003492927551269531,0.0007090251809070598,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,7
0.0731316089630127,0.012383073597078666,0.011225318908691407,0.0007890987166301716,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.5852941176470589,0.6088235294117648,0.6029411764705882,0.5970588235294118,0.611764705882353,0.6011764705882354,0.009411764705882363,1
0.004364681243896484,0.00017672741754827658,0.0,0.0,1,l1,"{'C': 1, 'penalty': 'l1'}",,,,,,,,7
0.07749795913696289,0.02705947770368613,0.010341691970825195,0.0021042040091312857,1,l2,"{'C': 1, 'penalty': 'l2'}",0.5794117647058824,0.5941176470588235,0.611764705882353,0.5911764705882352,0.5852941176470587,0.5923529411764706,0.010941808963375474,4
0.002201366424560547,0.0002035931842020089,0.0,0.0,10,l1,"{'C': 10, 'penalty': 'l1'}",,,,,,,,7
0.0907050609588623,0.023338981884279734,0.009825754165649413,0.0015634931872536915,10,l2,"{'C': 10, 'penalty': 'l2'}",0.5735294117647058,0.5941176470588235,0.611764705882353,0.5764705882352941,0.5911764705882353,0.5894117647058823,0.013745084053585824,5
0.004263877868652344,0.001067042131022257,0.0,0.0,100,l1,"{'C': 100, 'penalty': 'l1'}",,,,,,,,7
0.11025242805480957,0.030932593909498797,0.009728765487670899,0.001862234367698192,100,l2,"{'C': 100, 'penalty': 'l2'}",0.5764705882352941,0.5852941176470587,0.6,0.5764705882352941,0.5911764705882353,0.5858823529411764,0.008998269729869635,6
