param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,param_model__subsample,mean_all_datasets_test_score,std_all_datasets_test_score
131,3,1,5,0.17009533448144792,0.8738789157941937,0.8863378889327074,0.0315174422122228
65,9,5,1,0.3386726832017303,0.9706250671297312,0.875056651259832,0.01693610726526152
35,4,3,8,0.4101267686579376,0.8921825264114887,0.8719858459566934,0.03567691466153728
92,7,3,4,0.12858240040950478,0.7643198838923126,0.8925590337290477,0.028563051123011128
107,6,4,7,0.0623542903456837,0.83670663414523,0.8923918444582869,0.03038041092665116
14,5,1,3,0.4567970823030919,0.9452821505255997,0.8838985523148359,0.023767053647543702
46,9,4,6,0.3023172485642135,0.9292441790457815,0.8837926128646746,0.032327079740737806
148,1,2,2,0.246665464155376,0.7897734313737601,0.8891458048927099,0.027513028357528703
77,5,4,8,0.25944099836051465,0.7680829782038927,0.8745827236141563,0.03619818723146721
117,6,2,4,0.3159595117904246,0.8883888246491551,0.8825590763905705,0.032109773649412844
84,1,5,5,0.49941924600861964,0.9978258407209069,0.8727800481280846,0.036298443099654
36,10,2,1,0.10581260588951409,0.8466476548928767,0.8527173156673717,0.019101995612998066
22,8,3,6,0.14219636633060873,0.8013605293817818,0.8893543083492972,0.028344518323808857
105,2,3,2,0.4228225071448833,0.9176265927962959,0.887361832361892,0.027502201175794314
135,7,1,7,0.3822159443050623,0.9646818086039275,0.8700606452521393,0.041466002936883475
60,3,5,3,0.21274407887831331,0.8172763695474714,0.8904584660770268,0.026632826213885175
94,10,2,7,0.19455157001502815,0.9100054139271379,0.8817357392552253,0.034125651635777354
28,1,4,3,0.3634467554744333,0.8094859328120947,0.8879821834042584,0.02600529967789876
69,6,2,6,0.4344578799791634,0.8248067360837013,0.8655054364983711,0.03542665828719902
126,5,5,2,0.1534747824072838,0.956709740916267,0.8898397952980017,0.02565338451970573
145,4,4,5,0.08064345763996245,0.8806608836166561,0.8927513239291457,0.02974011151904662
52,8,3,1,0.47367319986224177,0.7763457824476063,0.8749499058099524,0.017114813636222567
14,3,5,8,0.32050838028080764,0.8540406522806734,0.8816084252040042,0.031268702565690844
115,9,1,4,0.26363269886933266,0.9899605072569102,0.8867144167392951,0.030937990326570717
44,7,5,6,0.2210567496251315,0.9526603352278471,0.8883616802573128,0.029828348514748595
84,4,1,2,0.27701077037490907,0.8288255343213677,0.8883656231467137,0.025503024604453233
122,8,3,7,0.46090638283640145,0.7819992064032704,0.8598601426908428,0.04261820886183369
74,2,2,3,0.06698555713519455,0.9374616530258209,0.8862661932695906,0.02496511588451588
56,2,1,8,0.10995053816586733,0.9781101052649319,0.8881924176405676,0.03114438687232566
139,10,4,4,0.39179693153128026,0.8658605660311878,0.8750391185634573,0.03350172034379746
99,5,2,5,0.34986870433203876,0.7566829405259341,0.8713216562304407,0.035050533775826176
23,7,4,1,0.18181310393847527,0.9002931190188974,0.8539584017471146,0.018884149088201605
149,9,5,8,0.1905170469544828,0.9310079149436206,0.8785415470927079,0.036735346584992716
48,3,2,4,0.3586840646341443,0.7875202817376703,0.8844609676996429,0.029378185337026512
18,8,4,5,0.40066392519511285,0.834077671635896,0.8864924399247792,0.028231655007605064
110,4,2,1,0.11870589996688069,0.9464488322846591,0.8709085275172649,0.01623263465672354
89,5,1,6,0.07222910099662841,0.9055543153081089,0.8921817458643497,0.029565498113820875
77,4,3,5,0.05136393029870867,0.750656406678726,0.8911460172932675,0.027791513782878675
51,4,3,5,0.05208030918730176,0.7646663234125038,0.8890418358345711,0.02702070850969417
67,4,4,5,0.050164970793427424,0.7519522131682649,0.8902134104810709,0.02730377950816498
139,4,5,5,0.06261518923114688,0.7549993696095718,0.8929399167136929,0.028971365234421023
48,4,3,1,0.0734633326497878,0.7705419038627037,0.8503445097180116,0.019521159582916035
77,4,3,1,0.07298091277425311,0.7747971752209282,0.8594811197561494,0.01723501539916814
19,4,3,1,0.07461116557894196,0.7655898637884749,0.8270068620407942,0.02077785057670294
85,4,4,5,0.0631353786994014,0.9293366772741762,0.8924065118883314,0.02835385068430217
149,3,4,6,0.06954104308754924,0.7602651495850178,0.8921835678318033,0.030400247249671126
139,3,4,7,0.08004862930064094,0.7608768892080153,0.8890965866785081,0.03230186372744864
150,3,5,3,0.0638084637990376,0.7574157302560613,0.8910026706907093,0.02633062548181742
139,4,3,6,0.06811604329696941,0.809057094033985,0.892125911566984,0.030581091615686357
139,2,2,5,0.07054195587549793,0.8589767804574416,0.8924549036887461,0.029174396734805368
140,1,2,5,0.0702407261128751,0.8619588458121922,0.8927928643929285,0.02959040129759734
105,1,5,1,0.3139308206645374,0.8175019932980412,0.8768835084206797,0.017741533812010674
93,6,2,8,0.3808373099551677,0.8930629764477184,0.8690700342616802,0.04034103009289417
108,9,3,8,0.15038673468827823,0.8243592377137834,0.8818393851066938,0.03448644311753945
102,10,5,5,0.07199067862764423,0.7553933391948568,0.8930510748502721,0.02864318337613708
121,8,5,5,0.06158495929525551,0.7555988078278868,0.8932052949323885,0.02884238598066954
128,10,3,5,0.07655077414997283,0.7538317282531347,0.8923913083623709,0.02965123300429
129,9,3,4,0.08369179167109654,0.7568060210962414,0.8926827535033148,0.028483859339199724
128,9,3,5,0.07885078468017927,0.753331975970005,0.8921748487058734,0.029766055863641783
110,4,2,4,0.14126166691776015,0.7569138819117234,0.8912268397757455,0.029745951921583316
146,1,2,5,0.06245105947513779,0.8649750162553551,0.893060859922287,0.02977218618094481
11,9,5,7,0.37492501976165654,0.839994516119591,0.8827661931096447,0.029512517691973227
118,10,5,8,0.05467224596681285,0.7531971989127464,0.8907713146486319,0.031034750094423743
98,9,3,4,0.19400771787011056,0.9681626638618488,0.8908688266731515,0.030232083929927826
