param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,param_model__subsample,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
131,3,1,5,0.17009533448144792,0.8738789157941937,0.8957268348610403,0.004809572482521538,0.8900802355684669,0.9019357324954052,0.8901465579767274,0.8973709832550221,0.8991006650095807
65,9,5,1,0.3386726832017303,0.9706250671297312,0.8869962858586989,0.004341947223544569,0.8851593842018932,0.893015948301417,0.8802564567500237,0.8900007095329696,0.886548930507191
35,4,3,8,0.4101267686579376,0.8921825264114887,0.8765582390537986,0.010338587338988204,0.8756961324875002,0.8934615916681489,0.8609975639368043,0.8746274951909433,0.8780084119855964
92,7,3,4,0.12858240040950478,0.7643198838923126,0.9048843604947215,0.007392378185674314,0.8932007272583546,0.9129098239165233,0.8994650909778942,0.9084869997792564,0.9103591605415784
107,6,4,7,0.0623542903456837,0.83670663414523,0.9062977648895526,0.007656912360589934,0.8953894191814391,0.9142210628248454,0.9009501829018322,0.9055621472044401,0.915366012335206
14,5,1,3,0.4567970823030919,0.9452821505255997,0.8979475977556806,0.0068565306077807186,0.8894735281911427,0.9080670342483351,0.8923914414556462,0.9032443395036422,0.8965616453796369
46,9,4,6,0.3023172485642135,0.9292441790457815,0.8945856965541417,0.005201633365395597,0.8896533665342582,0.9026511333768107,0.8882219497966005,0.8958927895682887,0.8965092434947509
148,1,2,2,0.246665464155376,0.7897734313737601,0.89887731795579,0.005817343960585194,0.8888599039544673,0.9064188454773621,0.8995252041878213,0.902015467818738,0.8975671683405609
77,5,4,8,0.25944099836051465,0.7680829782038927,0.8816249718059698,0.006666758190069666,0.8826732673267327,0.8929062666745716,0.8732301094257514,0.8768605531203684,0.8824546624824254
117,6,2,4,0.3159595117904246,0.8883888246491551,0.8913713110295614,0.0039884952450051706,0.8846406197505978,0.8969338550621528,0.8916543155371952,0.890625492731229,0.8930022720666315
84,1,5,5,0.49941924600861964,0.9978258407209069,0.8807408236495167,0.006330437463472059,0.8781575462935514,0.884983498349835,0.8694695846867018,0.8844367884961054,0.8866567004213901
36,10,2,1,0.10581260588951409,0.8466476548928767,0.8808852771905531,0.0038545194541361153,0.8754649117606372,0.886430110076876,0.8800564078710857,0.8838090489104727,0.8786659073336933
22,8,3,6,0.14219636633060873,0.8013605293817818,0.9056450475493956,0.006529943512432104,0.8965899883401514,0.9133762178613072,0.9013236731733469,0.9041765869887421,0.9127587713834296
105,2,3,2,0.4228225071448833,0.9176265927962959,0.8957708313597598,0.007808808532976397,0.8865733878777099,0.9038576312721092,0.8985959130900949,0.9034414319952068,0.8863857925636782
135,7,1,7,0.3822159443050623,0.9646818086039275,0.8794678668414612,0.0047047066869189864,0.8779757317049071,0.884569474911563,0.8740539560404907,0.8752966241998046,0.8854435473505409
60,3,5,3,0.21274407887831331,0.8172763695474714,0.9011722884626142,0.007916614150718078,0.8887551629414439,0.9086608960297227,0.8964574595566207,0.9101396203210241,0.901848303464259
94,10,2,7,0.19455157001502815,0.9100054139271379,0.8908961342669377,0.006461845434816784,0.8871544040631608,0.8990375684275014,0.8877893317776167,0.8825683516760745,0.8979310153903347
28,1,4,3,0.3634467554744333,0.8094859328120947,0.9000632929041336,0.006746785446551127,0.888931048793502,0.9063220094464537,0.8972409022105894,0.9002426208571159,0.9075798832130065
69,6,2,6,0.4344578799791634,0.8248067360837013,0.8701658586308418,0.005986287940470235,0.8652329005355626,0.8745716487816446,0.872816215193466,0.8611621361672607,0.8770463924762759
126,5,5,2,0.1534747824072838,0.956709740916267,0.9025952898474985,0.007850018712193804,0.8899488152408055,0.9121292069326693,0.8978272523729937,0.9078582747311659,0.9052128999598582
145,4,4,5,0.08064345763996245,0.8806608836166561,0.9038932502949001,0.006637374332535471,0.893692812395012,0.9103851702535521,0.8984845558323611,0.9071743637854371,0.9097293492081383
52,8,3,1,0.47367319986224177,0.7763457824476063,0.885169512206272,0.004592842216584942,0.8863550127467836,0.8904804252880378,0.8768605531203684,0.8876848727570874,0.8844666971190829
