params,a_score,b_score,ba_score,d_score
"{'bootstrap': False, 'max_features': 0.8092718688332263, 'min_samples_split': 0.68984217942481, 'n_estimators': 369}",0.8322621122931391,0.7221733379342076,0.931051129739672,0.7762654919131016
"{'bootstrap': True, 'max_features': 0.9615989810669627, 'min_samples_split': 0.707672985872427, 'n_estimators': 754}",0.5,0.5,0.5,0.5
"{'bootstrap': True, 'max_features': 0.856187790214347, 'min_samples_split': 0.3503378524490772, 'n_estimators': 830}",0.8479577840723737,0.7652058891189325,0.96646871745897,0.805872605717567
"{'bootstrap': False, 'max_features': 0.1846807625112753, 'min_samples_split': 0.4728943791047072, 'n_estimators': 305}",0.8847448852073778,0.7276742581090409,0.9802271321448784,0.8005198122171635
"{'bootstrap': True, 'max_features': 0.781509849862193, 'min_samples_split': 0.385284809588861, 'n_estimators': 661}",0.8478984772246522,0.763739360478491,0.9634307236842105,0.8022289214278878
"{'bootstrap': False, 'max_features': 0.977012336544274, 'min_samples_split': 0.29204171337548734, 'n_estimators': 487}",0.885384838992118,0.7349910858063031,0.9853201938313528,0.8005784131769275
"{'bootstrap': False, 'max_features': 0.5094769721049818, 'min_samples_split': 0.3010642728859061, 'n_estimators': 1773}",0.8957457254200533,0.7307453416149069,0.988327195812111,0.8137324402198433
"{'bootstrap': True, 'max_features': 0.8857625912924838, 'min_samples_split': 0.9364645044066225, 'n_estimators': 1316}",0.5,0.5,0.5,0.5
"{'bootstrap': True, 'max_features': 0.7707560696646062, 'min_samples_split': 0.5266685377580662, 'n_estimators': 241}",0.8364653879661456,0.7610291580400276,0.9448936318619128,0.7979828384124249
"{'bootstrap': True, 'max_features': 0.3086922916088657, 'min_samples_split': 0.29394304503063384, 'n_estimators': 1053}",0.8848310223322123,0.7570680929376581,0.9817274731182796,0.8186367800062891
"{'bootstrap': False, 'max_features': 0.47014033379297604, 'min_samples_split': 0.5543683594576376, 'n_estimators': 1350}",0.8678053027859558,0.7198613986657464,0.9710634917940012,0.795637979710977
"{'bootstrap': False, 'max_features': 0.8098683269389765, 'min_samples_split': 0.7366844492965354, 'n_estimators': 1869}",0.8455413413117594,0.7221733379342076,0.931051129739672,0.7762654919131016
"{'bootstrap': True, 'max_features': 0.2775218045820723, 'min_samples_split': 0.6248247111484346, 'n_estimators': 1441}",0.8662982026886856,0.7552665631469979,0.956362648556876,0.8079973989308614
"{'bootstrap': True, 'max_features': 0.3968164341342856, 'min_samples_split': 0.42035417857281876, 'n_estimators': 1088}",0.8659479242530852,0.7522486772486773,0.9709339190718732,0.8121826080417811
"{'bootstrap': False, 'max_features': 0.6103692653821349, 'min_samples_split': 0.9083403385846943, 'n_estimators': 122}",0.8496456578322487,0.7214889579020014,0.9440287535370684,0.773214251534665
"{'bootstrap': False, 'max_features': 0.8383181322162818, 'min_samples_split': 0.8688894711682389, 'n_estimators': 616}",0.8322592311701504,0.7148867034736599,0.931051129739672,0.7665704937588013
"{'bootstrap': True, 'max_features': 0.897655437207203, 'min_samples_split': 0.7088607889524882, 'n_estimators': 1089}",0.5,0.5,0.5,0.5
"{'bootstrap': False, 'max_features': 0.3159151647888555, 'min_samples_split': 0.8300844049259268, 'n_estimators': 6}",0.8452099389447334,0.7367437313089487,0.9251824285512168,0.7715368524670851
"{'bootstrap': False, 'max_features': 0.4112964984806886, 'min_samples_split': 0.24121231494033568, 'n_estimators': 1377}",0.8988403535037648,0.7378048079135036,0.991372228353141,0.8209725469286193
"{'bootstrap': True, 'max_features': 0.8962680579351459, 'min_samples_split': 0.3377415904125234, 'n_estimators': 1532}",0.8630890534230682,0.7621678743961352,0.9692274377475948,0.8032083299153714
"{'bootstrap': False, 'max_features': 0.8074528394679815, 'min_samples_split': 0.6756936477741948, 'n_estimators': 2}",0.7598380993213778,0.6902518978605935,0.8553086304470854,0.751686875367431
"{'bootstrap': False, 'max_features': 0.8293562457545637, 'min_samples_split': 0.47760119044811566, 'n_estimators': 707}",0.8629834916812296,0.7235147803082584,0.9662473670062252,0.7851837325513037
"{'bootstrap': True, 'max_features': 0.4706464683225363, 'min_samples_split': 0.8740857495729742, 'n_estimators': 511}",0.5,0.5,0.5,0.5
"{'bootstrap': False, 'max_features': 0.17797507343295693, 'min_samples_split': 0.18924647312516862, 'n_estimators': 50}",0.902159289337382,0.7416724177593743,0.991875792303339,0.809522955033291
"{'bootstrap': False, 'max_features': 0.3751122468419854, 'min_samples_split': 0.39103513941087675, 'n_estimators': 758}",0.8867529252132043,0.725907234874626,0.981784971703452,0.8100901316598991
"{'bootstrap': False, 'max_features': 0.6441630769147428, 'min_samples_split': 0.8141783424451304, 'n_estimators': 1106}",0.8531337195308082,0.7214889579020014,0.9521759281267684,0.7782772274858838
"{'bootstrap': False, 'max_features': 0.20476348252875665, 'min_samples_split': 0.8673423604038247, 'n_estimators': 1540}",0.8681450024371566,0.7200598113641592,0.9443899228919072,0.7735840921209138
