params,a_score,b_score,ba_score,d_score
"{'bootstrap': True, 'max_features': 0.38352109865034656, 'min_samples_split': 0.39227876105705217, 'n_estimators': 706}",0.8628609163313128,0.7503350011502186,0.9733427475947934,0.8137679613907004
"{'bootstrap': False, 'max_features': 0.5211367165411828, 'min_samples_split': 0.5390773087427948, 'n_estimators': 1214}",0.8779651760481431,0.7249410512997468,0.9650968322014716,0.7883354097452934
"{'bootstrap': False, 'max_features': 0.9418775575930066, 'min_samples_split': 0.2565759340069429, 'n_estimators': 330}",0.8896232940986524,0.7355187485622269,0.985693708262592,0.7937468981994176
"{'bootstrap': True, 'max_features': 0.8260303900904469, 'min_samples_split': 0.31386699471535473, 'n_estimators': 1025}",0.8637687304022006,0.760382160110421,0.9718637337294852,0.8091591471501033
"{'bootstrap': True, 'max_features': 0.9336580482441975, 'min_samples_split': 0.07996941969626091, 'n_estimators': 706}",0.9023019040623712,0.7670174833218311,0.9943834762308998,0.8152372236577662
"{'bootstrap': True, 'max_features': 0.04510298901951303, 'min_samples_split': 0.5190796626394611, 'n_estimators': 1718}",0.8891931889468296,0.7548539222452265,0.9624383701188456,0.8002467255923328
"{'bootstrap': True, 'max_features': 0.7005217829138505, 'min_samples_split': 0.789246629250854, 'n_estimators': 1369}",0.5,0.5,0.5,0.5
"{'bootstrap': False, 'max_features': 0.0845612011704414, 'min_samples_split': 0.6148445389025288, 'n_estimators': 478}",0.8809071414796691,0.7192100874166092,0.970458002263724,0.7959604046183503
"{'bootstrap': False, 'max_features': 0.16077454817162717, 'min_samples_split': 0.6247635745007861, 'n_estimators': 909}",0.8730524773704303,0.7249496779388084,0.9701619354838712,0.794092607973422
"{'bootstrap': True, 'max_features': 0.4717322192499923, 'min_samples_split': 0.9902632788472591, 'n_estimators': 1824}",0.5,0.5,0.5,0.5
"{'bootstrap': True, 'max_features': 0.7019147835529168, 'min_samples_split': 0.47279892782768085, 'n_estimators': 1295}",0.8532125480224073,0.7588509316770187,0.9594108057441992,0.8028037542895424
"{'bootstrap': True, 'max_features': 0.7425674873082762, 'min_samples_split': 0.012100500892840307, 'n_estimators': 1894}",0.91418742855337,0.729700080515298,0.9997130333899265,0.8052181685192021
"{'bootstrap': True, 'max_features': 0.588746040618, 'min_samples_split': 0.4890055255964919, 'n_estimators': 239}",0.8546713337325134,0.760514435242696,0.958454695812111,0.8084046662018238
"{'bootstrap': True, 'max_features': 0.3733094554071753, 'min_samples_split': 0.29414327218151803, 'n_estimators': 1670}",0.8824290046763343,0.7581809293765815,0.9809481055461232,0.8191084758623518
"{'bootstrap': False, 'max_features': 0.7258187356220659, 'min_samples_split': 0.17283091474667467, 'n_estimators': 1676}",0.8994631105297712,0.7519122383252819,0.9920800367855124,0.8145762496069345
"{'bootstrap': True, 'max_features': 0.795828168637876, 'min_samples_split': 0.7486065968688063, 'n_estimators': 1218}",0.5,0.5,0.5,0.5
"{'bootstrap': True, 'max_features': 0.3402114813466831, 'min_samples_split': 0.2861322208552435, 'n_estimators': 592}",0.8871835866566663,0.7565965033356338,0.9827760936615731,0.8177508784162532
"{'bootstrap': True, 'max_features': 0.9351225926221389, 'min_samples_split': 0.6285755652290547, 'n_estimators': 1612}",0.7930986468131112,0.7615683229813666,0.946844223967176,0.7980169582188317
"{'bootstrap': False, 'max_features': 0.1475290754165801, 'min_samples_split': 0.3758679913753601, 'n_estimators': 366}",0.8892806754253529,0.7257347020933977,0.983393766270515,0.8067514577608247
"{'bootstrap': False, 'max_features': 0.5218326790353088, 'min_samples_split': 0.2693561614943568, 'n_estimators': 1916}",0.8968483516494835,0.7386401541292845,0.989612449066214,0.8140634613018334
"{'bootstrap': True, 'max_features': 0.19811405307152652, 'min_samples_split': 0.3339591662101018, 'n_estimators': 1514}",0.8813203283675396,0.7566108810674028,0.9774433517260894,0.8113903586125808
"{'bootstrap': True, 'max_features': 0.32195917200078417, 'min_samples_split': 0.5339487546148249, 'n_estimators': 193}",0.8618780203865487,0.7450267425810904,0.9611047509903792,0.8103155462586986
"{'bootstrap': False, 'max_features': 0.09833486468591222, 'min_samples_split': 0.09828575481211264, 'n_estimators': 1046}",0.9056955198154728,0.7532594317920405,0.9975294821731748,0.820003178704729
