Iteration,Score
1,0.949808701377975
2,0.9285843296711261
3,-0.016097694037755073
4,0.9766634311453456
5,0.9280113831171658
6,-0.01575138548337307
7,0.9282741733062282
8,-0.013793469341098374
9,0.9307884501731487
10,0.5575563482751644
11,0.01725577621039842
12,0.8665068945495235
13,-0.015962981945767396
14,0.9074239865350096
15,-0.01583352218528078
16,-0.015747728526070315
17,0.8943425317468977
18,0.9815232315887138
19,0.8574799391742105
20,-0.01801934556231566
21,0.9535721345032739
22,-0.01578409370008438
23,0.8606263245890369
24,-0.016475537604829338
25,0.9355988679846956
26,0.642802646490817
27,0.9137252381395671
28,0.922936622538132
29,-0.01577575721730229
30,-0.01586528935046072
31,0.8610353409177761
32,-0.01599111403941622
33,0.8655066217729664
34,0.8605250306449626
35,0.9281254296782259
36,-0.01587107781941821
37,0.9900766750653894
38,-0.01618704959485595
39,0.17655269642170746
40,-0.015828991804386794
41,0.8498257331855773
42,0.8637186459571922
43,-0.015212079318637883
44,-0.015869871538726876
45,0.8587877213796462
46,0.8434324446595299
47,0.6238849186022195
48,0.8606443573232969
49,-0.016265317555889558
50,0.9194480545217054
