Iteration,Score
1,-0.007952659633162319
2,-0.007952659633162319
3,-0.007952659633162319
4,-0.007952659633162319
5,-0.007952659633162319
6,-0.007952659633162319
7,-0.007952659633162319
8,-0.007952659633162319
9,-0.007952659633162319
10,-0.007952659633162319
11,-0.007952659633162319
12,-0.007952659633162319
13,-0.007952659633162319
14,-0.007952659633162319
15,-0.007952659633162319
16,-0.007952659633162319
17,-0.007952659633162319
18,0.004667021704138042
19,-0.0078074121366984
20,0.7121229943426186
21,-0.007952659633162319
22,0.7121229943426186
23,0.7120282695288491
24,0.7120775390409302
25,0.05754686078199254
26,0.7121229943426186
27,0.7121229943426186
28,0.7121229943426186
29,0.7121229943426186
30,0.7121229943426186
31,-0.007952659633162319
32,0.7121229943426186
33,-0.007952659633162319
34,0.7120716368651869
35,0.7121229943426186
36,0.7121229943426186
37,0.7121229943426186
38,0.7121229943426186
39,0.7121229943426186
40,0.7121229943426186
41,0.7121229943426186
42,0.7121229943426186
43,0.7121229943426186
44,0.7121229943426186
45,0.7121229943426186
46,0.7121229943426186
47,0.7121229943426186
48,0.7120756236110256
49,0.7121229943426186
50,0.7121229943426186
