Iteration,Score
1,-0.009563144671905999
2,0.9156052712586349
3,0.9229746323869893
4,-0.00780656264307944
5,0.9237041392285745
6,0.9175625096831159
7,-0.00907318614589947
8,0.9202720655937555
9,0.9239255522798384
10,0.9184981144407042
11,0.012983783598681575
12,0.01422269987431024
13,0.04708451560445592
14,0.02144148905351584
15,0.8085741605437833
16,0.007031510056044743
17,0.059670927179775624
18,0.9046434417182593
19,0.923059888437373
20,0.3809750297447656
21,0.004972756728744532
22,0.9204845904030298
23,0.09757397211982133
24,0.290915779834493
25,0.6432363060481363
26,-0.007824955392133681
27,0.9234699601297445
28,0.3147004359705443
29,0.7703686165072148
30,0.8850411274938597
31,-0.003618820884329965
32,-0.008977215256917415
33,0.9145883846318338
34,0.9175556714694539
35,0.036268728810696205
36,0.9233084421286232
37,0.7702333178617435
38,0.923143876960655
39,0.5499168023183665
40,0.12907110412360723
41,0.42546535633548
42,0.9211006399824935
43,-0.008526860828279137
44,0.03227174843350389
45,0.23336194420159018
46,0.028443566277435273
47,0.9165960049529561
48,-0.006463630726805558
49,0.008322346816824755
50,0.8696789621214434
