theta;score_credit-g;score_Phoneme;score_Diabetes;score_kc2;mean
{'kernel': 'linear', 'gamma': 0.1, 'C': 0.1};0.75250;0.769373;0.768667;0.834437;0.781244
{'kernel': 'rbf', 'gamma': 0.1, 'C': 1000};0.71500;0.862366;0.679138;0.844077;0.775145
{'kernel': 'linear', 'gamma': 0.001, 'C': 0.1};0.75250;0.769373;0.768667;0.834437;0.781244
{'kernel': 'rbf', 'gamma': 1, 'C': 0.1};0.69875;0.832523;0.653120;0.803368;0.746940
{'kernel': 'poly', 'gamma': 0.1, 'C': 10};0.68000;0.763591;0.744209;0.829617;0.754354
{'kernel': 'linear', 'gamma': 1, 'C': 1000};0.75125;0.770762;0.770307;0.815331;0.776912
{'kernel': 'linear', 'gamma': 0.0001, 'C': 1};0.74875;0.770531;0.770307;0.834379;0.780992
{'kernel': 'rbf', 'gamma': 0.0001, 'C': 0.1};0.69875;0.705760;0.653120;0.803368;0.715250
{'kernel': 'rbf', 'gamma': 0.001, 'C': 1000};0.75625;0.783015;0.758831;0.819977;0.779518
{'kernel': 'linear', 'gamma': 0.1, 'C': 1000};0.75125;0.770762;0.770307;0.815331;0.776912
