theta,score_credit-g,score_Phoneme,score_diabetes,score_kc2
{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10},0.76125,0.8875801898896587,0.7799841353781067,0.8631823461091754
{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None},0.7650000000000001,0.9030803609614233,0.7800105764145954,0.8583623693379792
{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10},0.76125,0.8854989949533829,0.7686673717609731,0.8537166085946574
{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10},0.7625,0.8924364896073902,0.7637228979375992,0.8584204413472707
{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100},0.765,0.896603156274057,0.7767318878900052,0.8608013937282231
{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': None},0.76125,0.9037748054058679,0.7702538339502908,0.8608013937282231
{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10},0.75875,0.8836466085022667,0.767028027498678,0.8537166085946574
{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 100},0.7550000000000001,0.8929021255666753,0.7735060814383924,0.8560394889663183
{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10},0.7625,0.8889680095800188,0.7685880486515071,0.851335656213705
{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None},0.7649999999999999,0.8924396972029764,0.7784241142252776,0.8560394889663183
{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 100},0.7575,0.8910508083140879,0.7702538339502908,0.8560975609756097
{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 100},0.75875,0.893594431614062,0.7783976731887889,0.8584785133565622
{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10},0.7587499999999999,0.884110106064494,0.7539661554732946,0.8537166085946574
{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 100},0.7662500000000001,0.8896619194251988,0.7817028027498678,0.8584204413472707
{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 10},0.7637500000000002,0.8866553331622615,0.7767054468535166,0.8536004645760743
{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10},0.75875,0.8852664442733726,0.7718931782125859,0.8584785133565621
{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None},0.76,0.8919767342400136,0.7751454257006873,0.851335656213705
{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': None},0.765,0.9037748054058679,0.7767054468535166,0.8559814169570267
