param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,mean_all_datasets_test_score,std_all_datasets_test_score
166,10,3,sqrt,3,0.8691547909916927,0.02721864960276154
116,12,8,log2,4,0.8758886865480553,0.027878700162697934
79,2,10,log2,4,0.8753987267241983,0.02748566670046071
99,11,4,sqrt,3,0.8688120054938314,0.027618570554872726
137,12,7,log2,10,0.8920158084719456,0.032172297807456535
188,5,2,log2,5,0.881436925534871,0.027903013023865948
48,13,7,log2,15,0.8909972411667983,0.0329848665768591
85,4,8,log2,1,0.839460709016902,0.026396436678432986
208,13,8,log2,15,0.8924137879850857,0.03384466284028865
226,9,4,sqrt,3,0.8690707174998192,0.027404871486412633
177,15,7,sqrt,12,0.8925852811752389,0.033328332359645836
110,3,7,sqrt,4,0.8756671646543922,0.027513456084233827
37,15,10,log2,2,0.8590008746428435,0.025745646733541933
187,8,8,sqrt,8,0.8905030682190517,0.031194989223702244
46,13,5,sqrt,15,0.890897929570351,0.03395486228698095
68,6,8,log2,2,0.8581841338162354,0.02797573666316485
180,2,3,sqrt,15,0.8919938626116879,0.03490205971237184
76,6,2,log2,4,0.875300239471109,0.0272249862940657
220,1,10,log2,15,0.8923306414469392,0.03332128675594692
74,8,10,log2,15,0.8918832916241597,0.03397061243066297
129,8,10,log2,3,0.8688707234168849,0.027811107781071914
57,7,7,log2,6,0.8845561288280999,0.028966156337757763
59,6,7,log2,7,0.8874182228231313,0.030078312746791475
165,13,10,sqrt,8,0.8899296421391168,0.030991827985233367
35,3,6,log2,1,0.8371752693562389,0.02669437057481489
19,9,4,log2,7,0.8851074636147804,0.03009097379807769
34,12,3,sqrt,2,0.8573492069439821,0.028022883767900644
106,9,10,log2,8,0.8897657713709225,0.030968096868434145
226,8,10,log2,2,0.8609860735699524,0.027288750036525398
91,2,1,log2,10,0.8914793530809255,0.03283038929976806
25,4,7,log2,15,0.8881008798893981,0.033743426290127006
45,1,3,log2,4,0.8747916995658322,0.027578368081971713
209,6,10,sqrt,1,0.8403800464361456,0.026712256457423266
16,10,5,log2,3,0.864566734469481,0.027611996722522594
45,2,6,log2,10,0.8908241745430501,0.032004395991630206
59,9,4,sqrt,6,0.8847538889790547,0.02892464089904595
96,9,7,sqrt,2,0.8608460576413806,0.027562218879137776
173,11,7,sqrt,8,0.8899397959854409,0.030926044201304875
62,12,10,sqrt,8,0.889430438445824,0.030648309114904057
80,9,5,sqrt,11,0.8919784250290352,0.03329775178874331
71,11,10,log2,7,0.8876316617862687,0.02966396681885239
150,8,7,sqrt,13,0.8923226705017246,0.03374629857987455
154,13,5,log2,12,0.8924886412586686,0.033659059722193456
79,9,4,sqrt,9,0.890962421032815,0.03176746983465173
138,11,10,sqrt,3,0.8694212301122615,0.027075863727203137
205,5,3,sqrt,12,0.8925375410341976,0.033881221431496134
138,8,6,sqrt,3,0.8692424556145167,0.027122105139973953
54,2,10,sqrt,11,0.8918510228867518,0.032763324671548175
100,11,5,sqrt,8,0.8902588712900108,0.030962665494070188
96,1,1,sqrt,10,0.8915438319830973,0.03255841872518809
59,8,3,sqrt,9,0.8909361099915871,0.03184919372686936
189,2,8,sqrt,1,0.8412244300710592,0.026090883085088765
20,9,8,log2,12,0.8893301658664363,0.033426055452521045
26,9,1,log2,15,0.8878866189370553,0.035408410546918005
226,3,3,sqrt,5,0.8814671720372708,0.027980388902627155
163,9,4,log2,10,0.8922404991046236,0.032632837967808706
188,12,10,log2,3,0.8692183138207378,0.026729749548186483
184,15,1,sqrt,7,0.8883338897658296,0.030102041949767906
157,12,2,sqrt,2,0.8607594087228412,0.027213897935004526
18,9,4,log2,11,0.8880735578684905,0.031727994038834126
101,7,3,sqrt,3,0.8688581873610407,0.02709106252511374
130,5,2,sqrt,9,0.8915579994645204,0.032051818922811025
22,12,8,log2,8,0.8875616604652183,0.030618309406247032
203,11,4,log2,1,0.8416474525817195,0.024521623423499325
145,10,10,sqrt,4,0.8758417064859769,0.027232832366303483
13,9,7,log2,4,0.8716341432551443,0.027439070183545786
67,4,4,log2,6,0.884863688890415,0.029225367732470437
208,3,4,sqrt,2,0.8612925033908116,0.028142665017688053
163,7,6,log2,15,0.8925318702998819,0.03430034076111965
20,11,4,log2,9,0.8887319214429962,0.03157537781830417
210,5,1,log2,8,0.8905800134368829,0.03137249904567259
110,1,4,log2,11,0.8923900809927241,0.032978681284633785
26,9,7,sqrt,15,0.8896205464852465,0.033723601345300926
214,4,4,log2,2,0.8606385168176058,0.02752554131549861
96,4,8,log2,15,0.8923076935623275,0.03384414854802761
11,3,2,sqrt,5,0.8754944125736901,0.026882024801112042
37,13,10,sqrt,12,0.8907958123817649,0.03311936143025663
60,15,2,sqrt,8,0.8895551234835612,0.030863522583195552
18,6,7,sqrt,7,0.8851369998399998,0.029473339746169867
209,3,6,log2,8,0.8902964555871111,0.031067685779122778
46,8,7,log2,5,0.8808059748964443,0.02807917908293283
154,3,5,log2,6,0.8855285065133066,0.029368879518081925
36,9,3,log2,5,0.8797120337455765,0.02825846364554961
39,11,4,sqrt,4,0.8746142707353666,0.02742390421436955
123,9,5,sqrt,10,0.8918537222200456,0.03230338407967123
182,1,8,sqrt,15,0.8921784353953411,0.034018316356692564
47,12,5,sqrt,3,0.8673864726355257,0.027518000075082528
217,5,5,sqrt,5,0.8812924809879611,0.027872820674878826
119,5,6,sqrt,13,0.8926705018766024,0.034003543167451994
201,1,4,log2,9,0.8915669128981929,0.03155298137110779
144,7,10,log2,13,0.8922580316763322,0.03324723001940411
77,13,5,sqrt,2,0.8591689767217541,0.02801304773717668
44,10,6,sqrt,4,0.8746851999915186,0.028091273016123068
204,3,5,sqrt,12,0.8926521506300195,0.03352711964248108
201,9,10,log2,2,0.8610160197838993,0.02737784028508439
20,11,7,log2,7,0.8852487345823228,0.029732059387871556
187,12,10,sqrt,13,0.8924332106229068,0.03337815964902016
189,10,6,sqrt,9,0.8915258695209364,0.03196413513422727
182,9,3,log2,7,0.8884715746833529,0.03000410978022534
51,7,8,log2,2,0.8576456738421181,0.02777264482650021
203,2,2,sqrt,12,0.8923111000311779,0.033753926133421874
196,7,2,sqrt,11,0.8927272360683045,0.03349713819830771
88,11,10,log2,2,0.8608113616949773,0.0288782304774608
21,6,8,sqrt,1,0.8276432722596319,0.03386910591400725
190,12,1,log2,8,0.8903953493312335,0.030924092891195923
18,7,8,sqrt,7,0.8861943516518777,0.030444077392750762
220,3,1,sqrt,12,0.8921934225015091,0.03409728190363507
193,11,8,log2,1,0.8407647441082372,0.02623511867710301
98,2,6,sqrt,1,0.8376780898730838,0.02847042662542809
225,4,3,log2,6,0.8857699874702376,0.02936258594097066
133,7,8,sqrt,3,0.8691956227671904,0.0273944997334791
64,6,5,log2,6,0.8845690400117052,0.028843428709063694
137,8,1,sqrt,3,0.8688310298592347,0.026898051774620464
32,8,2,sqrt,11,0.8905876908342486,0.032910747956153105
32,13,1,log2,15,0.8891719181629074,0.03472551984088663
152,6,5,log2,15,0.8923815199701026,0.034452631189030435
153,4,2,log2,3,0.8692102543917775,0.027003581004523824
41,11,7,log2,12,0.8910459559266815,0.0332662621087933
125,11,7,log2,4,0.8758493268548952,0.02691592771150104
186,7,5,sqrt,8,0.8906168136926726,0.03123886889171304
206,8,1,log2,2,0.8604733505773235,0.028380590173849075
145,13,2,log2,9,0.8916826727837514,0.031742681816891806
25,3,6,sqrt,2,0.8575033588557007,0.027076469118947274
164,8,8,sqrt,15,0.8920630324529374,0.033751806677716274
25,11,8,log2,5,0.878575011827961,0.027643668657942544
18,5,8,sqrt,6,0.8839438008960359,0.030114466029452874
32,6,7,log2,12,0.8900625529336899,0.0325853643384184
25,10,3,sqrt,1,0.8299044151438661,0.02961482240196656
42,9,8,sqrt,9,0.8900553789963438,0.03192973339183006
55,10,5,log2,7,0.8875158057570633,0.030083867481857027
212,8,6,sqrt,11,0.8925400895791897,0.03294601393819734
219,2,1,sqrt,12,0.8923198083238113,0.03421693731085602
204,1,1,sqrt,11,0.8922956096377862,0.03359952184592033
108,15,3,log2,3,0.8688102585609478,0.027403884932682823
117,5,2,log2,6,0.8855690746481919,0.02911507826729117
13,8,3,log2,12,0.8857808859174069,0.033748569279048825
155,7,10,sqrt,7,0.8882351879967394,0.030258205374706734
162,13,8,log2,2,0.8600508554916448,0.027886779344820124
53,13,3,log2,3,0.868194952860627,0.027005378472578986
17,12,10,sqrt,9,0.8882163187214174,0.03218252768092487
66,5,5,log2,7,0.8883302231871126,0.030148765923766804
59,7,7,log2,12,0.8918006717396625,0.03305647544573754
146,1,8,sqrt,13,0.8921117210194061,0.03325511564862374
21,12,2,log2,7,0.8858368233411348,0.03008323882518767
167,11,5,log2,7,0.888275601214666,0.03002814648527071
106,4,3,sqrt,3,0.8696005761477705,0.02704339905356419
69,12,5,sqrt,6,0.8848461941419719,0.029399002042131753
16,8,10,sqrt,4,0.8717499500530385,0.028185176315422996
106,11,2,log2,13,0.8918277622959486,0.03403611733230495
54,8,7,log2,5,0.8805360794762591,0.028424790055557526
72,6,7,log2,7,0.887435862674878,0.030211954076528033
172,9,2,log2,13,0.8922902232069929,0.034136506508092676
230,2,5,log2,10,0.8923264201911492,0.032360651796507205
68,13,3,log2,11,0.8915983446479155,0.03312546890334556
137,10,1,log2,10,0.8918623236811706,0.03264143988772164
173,4,2,log2,10,0.8920569677127169,0.03264411552843303
145,1,1,sqrt,8,0.8903263008097503,0.031053685858706458
214,4,6,log2,6,0.8854367153063212,0.02909797975028508
125,3,3,log2,8,0.88992565781832,0.03123619152175924
104,15,1,sqrt,13,0.8918100640676557,0.03362672388384721
90,13,6,log2,7,0.8877985701450659,0.02992783846088535
161,9,2,log2,1,0.8396217270176274,0.029202722834688003
227,10,1,sqrt,10,0.8923184970640026,0.032418981731670585
73,13,6,sqrt,4,0.8754539359197787,0.026927142738987733
19,10,6,sqrt,10,0.8886935873777839,0.03195332177167236
164,7,4,log2,13,0.8927886731553939,0.0343511425383422
127,9,7,log2,12,0.8925331758550783,0.033580483092764915
168,6,6,sqrt,15,0.8923706956404981,0.034233134579914226
182,4,8,sqrt,3,0.8691891502859299,0.027449552147049947
46,5,7,log2,15,0.8913834445894077,0.03411266759698941
105,1,4,log2,13,0.8922618296072985,0.03410943908439626
139,13,2,log2,12,0.8924831077326134,0.03331852055282209
75,3,8,sqrt,2,0.8600588015780691,0.027635160479621515
19,15,1,sqrt,1,0.8281734616925747,0.0322195367551121
61,8,4,sqrt,9,0.8910729888964604,0.03153618928419217
82,6,3,log2,6,0.8848716626659995,0.02899316343888906
134,10,10,sqrt,12,0.8920758658232655,0.03288699854285832
57,12,3,sqrt,12,0.8917616485498832,0.033256801632792495
82,5,3,log2,2,0.859407765742053,0.027857147809313705
197,7,4,log2,1,0.8419220559231202,0.02598707324784424
17,13,3,log2,9,0.8889366678065815,0.03202531707646947
17,2,8,log2,12,0.8881979354913647,0.033472828346948404
141,2,2,sqrt,2,0.8604211685034574,0.02779963877570747
141,10,6,sqrt,3,0.8685530136783619,0.02684700580301375
100,10,8,log2,8,0.8901377231761896,0.031055412568926324
214,4,1,sqrt,12,0.8922489874533627,0.034037160380332436
177,5,3,log2,5,0.8814678400017043,0.027885610998637372
121,8,2,sqrt,15,0.8910761419773091,0.03516550714434447
100,13,8,log2,2,0.8608036405030917,0.026885137418443325
80,12,2,sqrt,4,0.8751920113602749,0.027480836984387948
71,7,8,log2,8,0.8896116209238591,0.031072335110741273
164,8,2,sqrt,6,0.8856200674450183,0.028908117974460516
159,13,4,sqrt,8,0.8903917561540895,0.03110456623385269
11,12,2,sqrt,3,0.8620250493708189,0.028686415038708363
135,9,1,log2,9,0.8913001942286897,0.03182920547059031
71,9,6,sqrt,11,0.8916462809721478,0.032643169632293606
98,10,8,sqrt,3,0.8688724958570551,0.027015817754848893
140,13,3,sqrt,15,0.8924840844192818,0.03481493861888913
41,9,4,sqrt,8,0.8887672981893314,0.031267209450004316
120,15,4,log2,3,0.8692679048569194,0.027040559550902885
80,2,6,sqrt,6,0.8848548955960506,0.0291305301635178
135,4,7,sqrt,11,0.8923868031649154,0.032920880229007264
122,13,10,sqrt,7,0.8882658511033004,0.030183171544171848
230,15,3,log2,7,0.8886074149820196,0.0301540253562754
90,9,8,log2,12,0.892227593037782,0.03313075402775131
50,8,1,log2,15,0.889350883185363,0.035309614054837776
26,12,2,sqrt,4,0.8733758194908048,0.027492082372296993
173,15,3,sqrt,15,0.8923750024519823,0.034082912010386296
184,12,6,log2,1,0.8394617917140759,0.028869228267976058
24,10,6,sqrt,12,0.8897725058158792,0.033433630820761305
201,9,7,sqrt,12,0.8926286614221679,0.03315699855705097
130,9,8,sqrt,9,0.8913461128914368,0.031668226726885844
161,2,7,log2,13,0.8923328992595785,0.03330865138170363
53,5,5,sqrt,3,0.8681901886024764,0.028076683825110627
58,4,1,log2,6,0.8846062417404362,0.029708397442120033
59,15,10,sqrt,2,0.8594747025902635,0.026752406078163708
46,13,7,sqrt,6,0.8844729245662587,0.028771533779447925
84,13,4,sqrt,4,0.875515176257847,0.026921620410202275
65,6,8,sqrt,13,0.8915454341366684,0.033026427155157655
202,9,7,log2,6,0.8852388934797109,0.029063491710836484
97,11,8,sqrt,8,0.8899208040141968,0.03080218285405666
43,10,7,sqrt,3,0.8670153511925807,0.02630954403727562
222,5,8,log2,8,0.8902457912533386,0.0310331141108548
24,7,2,sqrt,3,0.8648174497169747,0.026666833908627174
101,3,6,sqrt,9,0.8915008268580435,0.031972507595283174
197,7,4,log2,12,0.8926291355998625,0.0336095083433987
176,5,4,sqrt,2,0.8609814202072579,0.027505718124610425
114,15,1,log2,3,0.8688634966537696,0.02686308311532159
82,10,6,log2,7,0.8881507274360754,0.030013078781599877
76,2,7,log2,5,0.880835167010573,0.028336303237607854
166,2,5,log2,13,0.892704158180239,0.03407376757382498
105,5,3,sqrt,3,0.8687682364242432,0.027095117728641215
164,7,7,sqrt,15,0.8921085272854654,0.0339811189400955
209,7,2,log2,5,0.8815308940679039,0.02815429353434195
59,13,8,log2,10,0.8909371937157431,0.031907816732085245
34,1,10,sqrt,13,0.8906791053275275,0.03291532498443794
175,6,8,sqrt,13,0.8924549778760342,0.03344763733727675
68,12,5,sqrt,10,0.8914414049871947,0.03245206336774904
40,12,2,log2,7,0.887383004962877,0.02979219696324968
51,8,1,sqrt,9,0.8903823965213153,0.03163443464055719
121,13,3,log2,1,0.8366716833737946,0.031185556289725472
107,13,6,log2,15,0.892128265117021,0.034175302583215536
181,10,6,sqrt,2,0.8605653343435593,0.02788552120685341
64,5,2,sqrt,1,0.8363734059579827,0.027596796528697343
227,10,8,log2,5,0.8814606474955281,0.027885542890099257
40,13,6,sqrt,1,0.8360665354958285,0.02791591945787325
208,7,1,sqrt,2,0.8613151261747806,0.02800794541049001
24,10,10,sqrt,2,0.8546344234520031,0.02875416570873202
207,10,3,log2,10,0.8922159074705197,0.03247759648274229
43,3,3,log2,15,0.8894607224453912,0.03494607558001417
99,3,4,sqrt,4,0.8756819114802515,0.027757938173958597
62,2,2,log2,4,0.8743351036521713,0.027276010674327916
213,8,7,log2,3,0.8686691182779757,0.02717683914124526
82,9,7,sqrt,12,0.8919464827029878,0.033203069691612505
92,9,2,sqrt,8,0.8899961625385697,0.031260157965689754
179,2,5,sqrt,15,0.8918550834709972,0.03433614137073581
133,15,10,log2,9,0.8912081500077129,0.03155929589906813
44,6,3,log2,7,0.8876852014673676,0.03014179819458619
226,15,8,sqrt,11,0.8924467133061713,0.032708035416866045
119,2,2,log2,10,0.8920817826292884,0.032493831916854204
12,12,4,log2,3,0.8616145862053988,0.025382076214948045
55,12,10,log2,8,0.8896811154683277,0.030695044904091924
192,6,5,sqrt,5,0.8812392363168332,0.02782612450084673
39,4,1,sqrt,9,0.889991207598364,0.031828442603769914
150,12,10,log2,10,0.8920202064962875,0.03230023723823234
126,9,10,log2,12,0.892275693734546,0.03271231877615589
193,6,10,log2,4,0.8758368279232219,0.027585931072087982
71,2,4,log2,9,0.8909978454979709,0.03184500362681917
120,11,10,sqrt,5,0.8810846626560965,0.028118242339319876
114,11,10,log2,4,0.8758821450018063,0.027222222885221217
82,13,5,log2,5,0.8813798110228803,0.028543544161188972
173,6,7,log2,11,0.8924117258657163,0.03296419756400115
189,4,7,log2,5,0.8813582414915317,0.027998043823156932
179,2,6,sqrt,5,0.8814922208463006,0.028067148320382138
109,15,4,log2,11,0.8924749270065361,0.032927087283405904
89,4,5,log2,9,0.8912863069814423,0.03152289205734132
180,11,1,sqrt,12,0.8924883479895437,0.03369215808050822
192,11,2,sqrt,9,0.8916640085940064,0.03169355567016107
196,4,5,sqrt,3,0.8691925473595619,0.0275249647931345
69,1,7,sqrt,8,0.8895581634591143,0.03069819271646587
207,6,2,log2,1,0.8410049613298816,0.025813706607937907
176,5,1,sqrt,13,0.892132470824629,0.0344445517168245
160,11,4,log2,12,0.8925553815301457,0.033375902935731255
119,11,3,sqrt,5,0.8813167832438894,0.027779308040353834
44,9,3,sqrt,3,0.8682972341860999,0.02608720415928028
138,7,4,log2,2,0.8601126213225784,0.028264465754340537
131,3,10,log2,1,0.840123131653034,0.026646505822141224
216,13,4,log2,13,0.892614133563198,0.0336537300036871
119,3,5,log2,12,0.8924352820448271,0.03380520777781749
130,2,5,log2,13,0.8927639809874068,0.03399929416192238
151,7,3,sqrt,6,0.8856335670856821,0.029386192534738557
179,1,1,sqrt,2,0.8601197252246807,0.02831235379781851
207,15,2,sqrt,5,0.8814455973081722,0.02797712022136781
14,2,2,log2,1,0.8246892092040297,0.034179951700051676
143,12,5,sqrt,2,0.860812293619591,0.02784504598506095
127,9,1,sqrt,8,0.8902003940052654,0.031308476564865274
168,11,6,sqrt,4,0.875609455644192,0.027200358646180575
159,1,10,sqrt,7,0.8882639426045026,0.02987025810692422
133,11,6,sqrt,9,0.8911526016765166,0.03165559367437805
122,13,1,sqrt,3,0.8692342127838955,0.026873478708412356
221,9,1,log2,5,0.8815519310499994,0.028110673610070937
201,15,1,sqrt,1,0.8412506295449014,0.02664432041578411
117,9,4,log2,13,0.8919045592130634,0.03404723321380979
206,5,6,log2,7,0.8884457018405567,0.030232143272133034
