param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,mean_all_datasets_test_score,std_all_datasets_test_score
88,9,4,sqrt,3,0.8683806720009337,0.027387392050646126
165,13,2,sqrt,13,0.8927559591888714,0.03404446625049288
162,12,7,sqrt,3,0.8695313533620945,0.027012076637003633
208,11,2,log2,7,0.8883928177779966,0.03018450175308694
28,3,4,log2,5,0.8797178514893197,0.028108447403637896
17,3,3,log2,12,0.8872980219010549,0.032051022055354345
58,12,10,log2,2,0.8602065048913144,0.028014255417208273
30,11,4,sqrt,15,0.8893755142465563,0.03412639149511271
116,12,10,log2,1,0.8395636803309747,0.027192688546999272
67,9,10,sqrt,3,0.869436303620003,0.027071743828267488
40,5,8,sqrt,10,0.8907295972264234,0.03212630678617587
168,6,2,log2,2,0.8602037998836164,0.028825341672626695
93,13,3,sqrt,4,0.875891629118263,0.02715166011040967
165,2,10,sqrt,4,0.8761130962068437,0.027833534972262593
97,5,1,sqrt,6,0.8849103429583322,0.028747022562858215
180,5,5,log2,1,0.8395215710715122,0.02784777002962277
35,15,8,log2,6,0.8839909882718077,0.02898335725050214
150,1,4,sqrt,2,0.8601514648375638,0.027806541563168224
29,8,6,log2,6,0.883473708697593,0.02941867185407315
25,4,10,log2,13,0.8895392467512221,0.032846954183113494
159,3,8,log2,6,0.8851917437642953,0.02894257620165085
171,9,2,log2,4,0.8757823415455077,0.02733848545610399
185,8,7,log2,2,0.8605838015074452,0.02815504454157376
186,8,5,sqrt,5,0.8810165017851792,0.02769732207342452
126,8,7,log2,4,0.8759426875372339,0.027288877140856052
209,15,6,sqrt,4,0.8760328425837473,0.02703865664394866
79,12,5,sqrt,7,0.8880355992409086,0.030118140424851534
179,15,2,log2,8,0.8905630514699493,0.03090256648121914
85,1,4,log2,5,0.8809218887661686,0.02805870546732576
42,13,5,log2,9,0.889960410986244,0.030962770073654368
136,6,1,sqrt,10,0.8918661050731972,0.03262884011413345
100,13,6,log2,3,0.8684209813942947,0.027547805789096817
131,13,8,log2,7,0.8879633432561725,0.030100078824745812
133,8,4,log2,3,0.8691832156764999,0.026807758643372953
101,9,6,log2,12,0.8922109766540764,0.033433619016321234
145,2,1,log2,10,0.8919103457001879,0.03283164333650438
33,7,4,log2,12,0.8906089842075111,0.034484067623257716
56,13,3,sqrt,9,0.8908809863745019,0.0319985057551744
175,5,4,sqrt,2,0.8610275278613194,0.026372696708017018
191,3,7,sqrt,3,0.869210280718443,0.026637568018990344
184,7,1,log2,2,0.8610918986435726,0.027517289214134814
153,2,4,log2,11,0.8928882948556847,0.033432098658945406
40,9,5,log2,6,0.884637246759793,0.029355116942235557
57,12,8,log2,6,0.8844765233418822,0.029419845150025135
129,7,1,sqrt,11,0.8922951988736323,0.033324395130818446
88,12,8,log2,5,0.8812404199538318,0.0288765119617398
146,8,10,log2,6,0.8853207635909446,0.02953373990145073
188,7,1,log2,10,0.8921933504129326,0.03251918955363902
64,11,4,sqrt,11,0.8916826017310342,0.03319932332611493
222,13,6,log2,9,0.8917584084718337,0.03198605308329437
110,6,3,log2,5,0.8808198296329222,0.028105067661315708
44,10,1,log2,9,0.8911849703742591,0.03208811468326691
107,7,6,sqrt,7,0.888047984427621,0.030138691691834075
57,4,1,sqrt,13,0.8898326674980465,0.034567378497744335
126,15,7,log2,5,0.8809146585427667,0.028269558305097676
141,13,6,sqrt,5,0.8811421045580713,0.02816823858506184
59,12,6,sqrt,5,0.8809410424594735,0.028565637610459087
11,9,4,log2,4,0.8705644639912857,0.028426135219597606
91,11,2,log2,13,0.8918208998619684,0.034050855723233305
202,9,4,sqrt,15,0.8921265289548113,0.03464852324378203
223,6,1,log2,8,0.8905743849285999,0.03130648669066289
178,2,5,sqrt,2,0.8613202554641499,0.02785728955289095
201,8,4,log2,12,0.8923914916666217,0.033630004304173906
105,12,1,log2,5,0.8813590165940729,0.02806246114507514
153,6,5,sqrt,13,0.892064806796696,0.03365712411826834
193,15,6,sqrt,11,0.8925299499393433,0.032988087670434325
218,4,3,log2,5,0.8815555378336278,0.028358969526688853
60,9,8,log2,2,0.8586573101385209,0.02803761077336696
35,4,8,log2,11,0.8906373725902976,0.0320400667933193
107,7,6,sqrt,9,0.891350538299092,0.03216028073829371
169,5,2,sqrt,15,0.8918087894712271,0.03551274817241551
203,4,6,sqrt,9,0.8916543779021829,0.03197464313058726
151,9,5,log2,4,0.875915604737538,0.027322991236008898
199,3,6,log2,15,0.8925259732029296,0.03434360540790744
107,11,3,sqrt,7,0.8881442498632283,0.030199100587852183
109,5,4,log2,6,0.8854377737360007,0.029137285214214742
19,12,2,sqrt,4,0.8717747813598076,0.027431803071305463
146,4,8,log2,5,0.8813303754323432,0.02826179593044094
84,8,8,log2,8,0.8897285042946528,0.03090094093610798
113,10,3,log2,4,0.8757787071119344,0.026873363062151878
99,13,1,log2,4,0.8756867966485808,0.027034586514548854
143,4,3,sqrt,11,0.8925017513708786,0.033007237129652936
95,7,1,sqrt,5,0.880834724494081,0.027847142274571007
117,7,5,sqrt,12,0.8921419720646633,0.0333817500332301
132,15,3,log2,10,0.8919980447901681,0.03215671595324818
149,6,6,log2,9,0.8912157336470522,0.031655612656024144
175,5,4,sqrt,11,0.892737733545468,0.03313141746710965
221,11,7,sqrt,7,0.8882862131742774,0.03021805349444652
50,7,5,log2,5,0.880651647112213,0.02836705847074905
189,4,10,sqrt,11,0.8922554318405986,0.03270863234819087
14,11,10,log2,4,0.872631000026211,0.027664353343197105
157,8,8,sqrt,1,0.8419934715774167,0.02511294296334517
110,13,8,sqrt,1,0.8398836635300863,0.026507920370918085
11,11,8,sqrt,9,0.886078303821229,0.03135645800232492
116,2,10,log2,11,0.8922604204896691,0.033056899118792706
66,4,3,log2,10,0.8916432258405356,0.03265069078030641
41,5,6,sqrt,7,0.8872686847290101,0.03033862210668935
219,1,10,log2,5,0.881499545188273,0.028184864193812737
114,7,10,log2,13,0.892012105440158,0.0332404635255676
89,15,7,sqrt,15,0.8921298151232269,0.034124213169344574
25,6,6,log2,8,0.888018977551839,0.03041087788272985
38,11,6,sqrt,10,0.8907118784337469,0.03243183420496834
94,12,5,sqrt,5,0.8813357277645514,0.0279802847658741
22,9,3,sqrt,11,0.8894669357986407,0.03299569695267835
46,6,6,log2,7,0.8873785428495499,0.030099201879349387
154,13,7,log2,1,0.8417617662369951,0.024509679250338572
208,5,10,sqrt,6,0.8851584171927175,0.028967078281023576
62,15,5,log2,5,0.8807438886561783,0.027704656603509483
41,1,4,sqrt,3,0.8674793117268731,0.02739452131034803
198,15,4,sqrt,9,0.8916589844195819,0.03198576930229623
17,7,8,sqrt,3,0.8650900090384777,0.0287563334711443
113,9,4,log2,12,0.8922921561978436,0.03368062840069079
220,6,4,log2,13,0.8925381115107294,0.03397430687510961
160,4,10,sqrt,3,0.8687481019889025,0.026726253383819825
64,2,4,log2,9,0.8910037299273244,0.031663179212099324
38,15,8,sqrt,6,0.8843527674748315,0.029121498697550728
149,8,8,sqrt,13,0.8924855226322326,0.033575217933300344
136,8,5,sqrt,1,0.8391182203072522,0.027309016435230617
76,5,2,log2,11,0.8919518431057633,0.03343056116026101
182,15,6,sqrt,3,0.8688642327476418,0.02756715788481869
136,2,5,sqrt,1,0.8393295276923685,0.027141324951918868
74,10,8,sqrt,6,0.8849027388138344,0.029107485980091538
223,10,8,sqrt,3,0.8686864810381592,0.027597126970703503
148,12,4,sqrt,6,0.8852601443309892,0.029209844219434
26,3,7,sqrt,12,0.8901753184583214,0.03339531433907863
101,11,5,log2,13,0.8923368702003982,0.03397891097683195
136,7,3,sqrt,6,0.8853526281055206,0.028819580307915912
185,13,1,log2,1,0.8407017942874707,0.02663694108922751
183,15,5,log2,7,0.888392653474791,0.030054010227678833
169,1,7,sqrt,7,0.8880034179813128,0.029892846119222796
191,5,7,log2,11,0.8923411351431381,0.0326751998145435
82,6,4,log2,12,0.8920609636738676,0.03368033657937088
80,15,6,log2,9,0.8907711938245853,0.031360934133465565
61,4,5,sqrt,9,0.8908831678088829,0.031698252102106195
99,10,8,log2,5,0.8808700694942782,0.02856024624733933
128,15,8,sqrt,1,0.8403063934004354,0.0260781022468467
154,7,3,log2,4,0.8761020169150541,0.02742092384706352
204,7,7,log2,9,0.8916790105336448,0.031780939305808054
152,3,1,log2,3,0.8690289097089395,0.027289681103099657
195,6,1,log2,9,0.8916425924091723,0.032097617860311414
168,6,7,log2,3,0.8686875840941506,0.027067547368942405
154,11,6,sqrt,4,0.8761534650201387,0.02760896624401806
190,7,7,log2,4,0.8760108366228359,0.027434008788994935
64,5,5,sqrt,12,0.8918363842976196,0.03327209315340227
160,11,2,sqrt,12,0.8925390006299679,0.03364080287181957
224,10,3,log2,12,0.8926498768547536,0.033528941479026825
