iter	Passed	Remaining
0	123	123857
1	214	106986
2	314	104680
3	422	105257
4	531	105689
5	635	105299
6	740	104978
7	855	106061
8	970	106835
9	1074	106341
10	1182	106360
11	1290	106280
12	1403	106521
13	1522	107242
14	1634	107311
15	1735	106734
16	1841	106500
17	1954	106645
18	2064	106615
19	2173	106484
20	2285	106529
21	2401	106754
22	2521	107110
23	2625	106778
24	2733	106599
25	2844	106547
26	2957	106585
27	3070	106592
28	3186	106681
29	3293	106493
30	3409	106586
31	3521	106528
32	3637	106590
33	3741	106292
34	3848	106105
35	3960	106047
36	4063	105765
37	4175	105712
38	4284	105570
39	4390	105360
40	4509	105484
41	4667	106465
42	4778	106355
43	4892	106305
44	5001	106141
45	5110	105982
46	5220	105851
47	5337	105870
48	5457	105911
49	5567	105782
50	5668	105485
51	5772	105245
52	5887	105189
53	5992	104986
54	6111	105004
55	6223	104908
56	6336	104825
57	6454	104829
58	6566	104724
59	6665	104433
60	6775	104293
61	6884	104157
62	6991	103988
63	7103	103888
64	7208	103693
65	7312	103482
66	7439	103602
67	7551	103501
68	7660	103363
69	7770	103232
70	7878	103091
71	7989	102980
72	8101	102882
73	8215	102810
74	8318	102591
75	8453	102780
76	8575	102792
77	8690	102723
78	8816	102787
79	8928	102680
80	9043	102609
81	9150	102441
82	9263	102342
83	9374	102226
84	9487	102133
85	9593	101958
86	9700	101803
87	9815	101726
88	9937	101722
89	10065	101771
90	10196	101852
91	10311	101768
92	10434	101768
93	10543	101621
94	10656	101518
95	10765	101370
96	10873	101225
97	10982	101085
98	11094	100972
99	11204	100840
100	11345	100989
101	11474	101023
102	11593	100961
103	11705	100845
104	11815	100709
105	11923	100566
106	12034	100439
107	12149	100341
108	12259	100213
109	12376	100138
110	12491	100045
111	12611	99992
112	12738	99993
113	12869	100021
114	12977	99867
115	13084	99711
116	13193	99572
117	13306	99457
118	13438	99487
119	13594	99690
120	13704	99556
121	13807	99365
122	13918	99236
123	14020	99049
124	14130	98910
125	14237	98760
126	14358	98697
127	14483	98667
128	14597	98563
129	14702	98392
130	14805	98213
131	14912	98058
132	15026	97953
133	15135	97818
134	15246	97688
135	15363	97602
136	15473	97474
137	15584	97348
138	15696	97225
139	15807	97105
140	15918	96978
141	16024	96825
142	16137	96709
143	16244	96565
144	16368	96518
145	16480	96400
146	16593	96289
147	16701	96147
148	16808	95998
149	16917	95866
150	17031	95757
151	17139	95618
152	17246	95475
153	17366	95401
154	17477	95279
155	17582	95125
156	17687	94971
157	17800	94861
158	17908	94722
159	18019	94603
160	18127	94463
161	18247	94389
162	18380	94383
163	18487	94240
164	18601	94132
165	18707	93987
166	18814	93846
167	18926	93731
168	19038	93615
169	19144	93472
170	19248	93316
171	19368	93240
172	19483	93138
173	19587	92984
174	19694	92846
175	19801	92709
176	19911	92584
177	20028	92490
178	20130	92328
179	20241	92212
180	20363	92142
181	20472	92011
182	20577	91868
183	20681	91718
184	20789	91584
185	20896	91449
186	21010	91344
187	21121	91226
188	21231	91106
189	21356	91045
190	21463	90908
191	21569	90770
192	21682	90660
193	21794	90546
194	21893	90382
195	22003	90258
196	22112	90134
197	22220	90003
198	22344	89940
199	22454	89818
200	22565	89701
201	22674	89576
202	22789	89475
203	22956	89576
204	23063	89441
205	23167	89297
206	23279	89181
207	23389	89058
208	23494	88921
209	23597	88769
210	23705	88642
211	23824	88555
212	23940	88457
213	24052	88340
214	24163	88226
215	24270	88092
216	24386	87995
217	24493	87860
218	24594	87710
219	24706	87594
220	24836	87545
221	24956	87461
222	25078	87380
223	25205	87320
224	25326	87235
225	25435	87109
226	25545	86989
227	25651	86855
228	25764	86745
229	25873	86619
230	25977	86478
231	26090	86367
232	26194	86228
233	26316	86146
234	26425	86022
235	26532	85893
236	26645	85782
237	26755	85661
238	26865	85541
239	26984	85450
240	27110	85382
241	27241	85325
242	27371	85267
243	27487	85164
244	27600	85053
245	27714	84947
246	27825	84827
247	27933	84701
248	28044	84584
249	28153	84460
250	28277	84380
251	28390	84271
252	28501	84152
253	28611	84031
254	28716	83896
255	28828	83784
256	28934	83651
257	29038	83513
258	29139	83367
259	29258	83273
260	29378	83183
261	29489	83066
262	29596	82936
263	29698	82795
264	29803	82662
265	29916	82552
266	30028	82436
267	30136	82312
268	30249	82202
269	30366	82102
270	30468	81961
271	30580	81846
272	30687	81719
273	30798	81606
274	30909	81488
275	31015	81360
276	31128	81248
277	31240	81135
278	31349	81014
279	31459	80895
280	31618	80904
281	31725	80775
282	31831	80646
283	31939	80523
284	32053	80414
285	32169	80312
286	32294	80230
287	32396	80092
288	32506	79973
289	32617	79856
290	32732	79749
291	32842	79632
292	32952	79514
293	33063	79396
294	33177	79289
295	33304	79211
296	33414	79091
297	33523	78970
298	33638	78864
299	33748	78745
300	33851	78612
301	33960	78491
302	34073	78380
303	34176	78245
304	34295	78149
