,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3330989837646484,0.009923806047486978,0.04005024433135986,0.011027983944965788,7,52,30,"{'model__max_depth': 7, 'model__min_samples_leaf': 52, 'model__min_samples_split': 30}",0.8838807393317094,0.8819257756771708,0.8901605936400215,0.8784970365278703,0.8854768650356355,0.8856750764053307,0.8753492945008771,0.899081317578257,0.8906200560810884,0.880468845658201,0.8851135600436162,0.006509332079733228,32
1,0.5124987125396728,0.03612028721941104,0.06170003414154053,0.05585045339220037,15,43,9,"{'model__max_depth': 15, 'model__min_samples_leaf': 43, 'model__min_samples_split': 9}",0.8912590135773832,0.8900197983287882,0.9041360105809714,0.8942308974550146,0.9023024038735473,0.887891164379659,0.8876668885179245,0.9082069205469422,0.9070752366716492,0.8929961679135192,0.8965784501845399,0.007614625076575336,9
2,0.60469970703125,0.03674909231108931,0.04699959754943848,0.03164511444990872,29,21,40,"{'model__max_depth': 29, 'model__min_samples_leaf': 21, 'model__min_samples_split': 40}",0.8950354962684032,0.8883044284203068,0.8958232560733296,0.8859490566472334,0.8904206324094379,0.8891077093918244,0.8767307125789662,0.9076880553100644,0.9044663628637967,0.8853374503107736,0.8918863160274135,0.008740132636406816,27
3,0.61850004196167,0.043075570840594705,0.04629945755004883,0.021139304913518637,26,19,24,"{'model__max_depth': 26, 'model__min_samples_leaf': 19, 'model__min_samples_split': 24}",0.8976952901328623,0.894179024447054,0.890746135484442,0.8869364765898431,0.8923469802164444,0.8897993276573356,0.8778599718503486,0.9029400747020464,0.9065660698504141,0.8867334160123268,0.8925802766943118,0.007909013811742442,25
4,0.5134161710739136,0.03504618964535163,0.05145244598388672,0.026614591584823107,11,11,25,"{'model__max_depth': 11, 'model__min_samples_leaf': 11, 'model__min_samples_split': 25}",0.8889340443909588,0.8890347344209474,0.8925336747175638,0.8876917407080086,0.8844421653167684,0.8905800501165627,0.8686652676702102,0.8900575479738191,0.8921651349231462,0.876322166820023,0.8860426527058008,0.007316970828523326,31
5,0.5485139131546021,0.025161602849324474,0.04264974594116211,0.02795967207032457,21,36,41,"{'model__max_depth': 21, 'model__min_samples_leaf': 36, 'model__min_samples_split': 41}",0.8908532206252002,0.887013655023826,0.9038444519607166,0.8910085988577692,0.897517448055892,0.8909219192679636,0.8901351352989597,0.906712758387008,0.9142775225882163,0.8928816053787413,0.8965166315444293,0.008438398924460208,10
6,0.7070299863815308,0.025928404098402268,0.04679248332977295,0.030940197561869807,24,3,23,"{'model__max_depth': 24, 'model__min_samples_leaf': 3, 'model__min_samples_split': 23}",0.8745365832354741,0.878512626287134,0.8780466663514681,0.880985892442146,0.872970151913558,0.873531447718872,0.8565610387972995,0.87633065293371,0.8815774957963429,0.8757008620679205,0.8748753417543925,0.006703047822036778,39
7,0.7306438446044922,0.05218480459338447,0.04429984092712402,0.02124764775403085,21,2,25,"{'model__max_depth': 21, 'model__min_samples_leaf': 2, 'model__min_samples_split': 25}",0.8604739467580236,0.8751765108357029,0.875540838209818,0.8757111666345406,0.868161556207774,0.8615593597590914,0.8547989579052392,0.8648865224754722,0.8800839397873865,0.869595103269942,0.8685987901842991,0.007713104285121729,42
8,0.49185028076171877,0.042120746095710246,0.029349970817565917,0.008232014028369481,12,30,39,"{'model__max_depth': 12, 'model__min_samples_leaf': 30, 'model__min_samples_split': 39}",0.8908914343112802,0.8885288580052215,0.8981369343550613,0.8893447144240899,0.8934259289566808,0.8919826834788702,0.8832438048339328,0.9090755348979302,0.904324523535024,0.8846391643845083,0.89335935811826,0.007847712436608811,20
9,0.1316504716873169,0.005907286664497611,0.027750563621520997,0.005509327519283289,2,60,22,"{'model__max_depth': 2, 'model__min_samples_leaf': 60, 'model__min_samples_split': 22}",0.7923274197148652,0.7835880103650075,0.8104123402640636,0.7772383034076595,0.7792143555948342,0.8037222519236201,0.8061862556478117,0.8090424390545499,0.8022274836127083,0.7987105956403197,0.796266945522544,0.011781063104807948,48
10,0.08630037307739258,0.006043033646215965,0.022350597381591796,0.0028199315558671053,1,12,59,"{'model__max_depth': 1, 'model__min_samples_leaf': 12, 'model__min_samples_split': 59}",0.7144321567561797,0.7072904434243344,0.7366443724337083,0.6983768489120197,0.7186198669619834,0.7354678333860684,0.7286377241697853,0.7403740193992558,0.7205201502769504,0.7295996857713333,0.7229963101491619,0.012925342795140876,49
11,0.4996887922286987,0.013872258423935368,0.026106810569763182,0.007700282442078026,22,44,26,"{'model__max_depth': 22, 'model__min_samples_leaf': 44, 'model__min_samples_split': 26}",0.8934450790477392,0.8898584516542279,0.9026982204619598,0.8930925459189673,0.9033364974414368,0.8880130007261688,0.8893162253281397,0.9115813630395806,0.9130682513877826,0.8903994171252199,0.8974809052131223,0.00896322868926807,5
