theta,score,theta,score,theta,score,theta,score
"OrderedDict([('max_depth', 38), ('max_features', 'sqrt'), ('min_samples_leaf', 0.210934445745078), ('min_samples_split', 0.5032495713116916), ('n_estimators', 556)])",0.69875,"OrderedDict([('max_depth', 19), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 1)])",0.8308993028825592,"OrderedDict([('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 2000)])",0.7800105764145954,"OrderedDict([('max_depth', 16), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.18121303938262284), ('n_estimators', 1)])",0.8296747967479675
"OrderedDict([('max_depth', 61), ('max_features', 'sqrt'), ('min_samples_leaf', 0.196479800441882), ('min_samples_split', 0.4107324898757293), ('n_estimators', 1540)])",0.69875,"OrderedDict([('max_depth', 38), ('max_features', 'auto'), ('min_samples_leaf', 0.9949370722222614), ('min_samples_split', 0.9965993285406607), ('n_estimators', 115)])",0.7057603070738174,"OrderedDict([('max_depth', 94), ('max_features', 'sqrt'), ('min_samples_leaf', 0.9939023916070603), ('min_samples_split', 0.9966194473396613), ('n_estimators', 1590)])",0.6531200423056583,"OrderedDict([('max_depth', 83), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.6167865061935429), ('n_estimators', 1819)])",0.8128339140534264
"OrderedDict([('max_depth', 10), ('max_features', 'auto'), ('min_samples_leaf', 0.7588674999663396), ('min_samples_split', 0.8036821051099927), ('n_estimators', 1121)])",0.69875,"OrderedDict([('max_depth', 22), ('max_features', 'auto'), ('min_samples_leaf', 0.004324349675636777), ('min_samples_split', 0.036840898512831746), ('n_estimators', 1357)])",0.8436206269780172,"OrderedDict([('max_depth', 17), ('max_features', 'auto'), ('min_samples_leaf', 0.04550018460336471), ('min_samples_split', 0.00133302276669598), ('n_estimators', 930)])",0.7556054997355897,"OrderedDict([('max_depth', 58), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.3261818518976843), ('n_estimators', 45)])",0.8441347270615565
"OrderedDict([('max_depth', 10), ('max_features', 'auto'), ('min_samples_leaf', 0.41654241463076946), ('min_samples_split', 0.23068281019142614), ('n_estimators', 1250)])",0.69875,"OrderedDict([('max_depth', 82), ('max_features', 'auto'), ('min_samples_leaf', 0.02364895744960575), ('min_samples_split', 0.0060920162776712805), ('n_estimators', 1129)])",0.8186377341544778,"OrderedDict([('max_depth', 83), ('max_features', 'sqrt'), ('min_samples_leaf', 0.9490331441005778), ('min_samples_split', 0.0013397851252605333), ('n_estimators', 1333)])",0.6531200423056583,"OrderedDict([('max_depth', 36), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.4638339727208145), ('n_estimators', 1305)])",0.8441347270615565
"OrderedDict([('max_depth', 34), ('max_features', 'auto'), ('min_samples_leaf', 0.9100079920190843), ('min_samples_split', 0.7630313405307483), ('n_estimators', 1933)])",0.69875,"OrderedDict([('max_depth', 1), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 1846)])",0.7476285176631597,"OrderedDict([('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 0.016918884071884868), ('min_samples_split', 0.9848210063939856), ('n_estimators', 24)])",0.6531200423056583,"OrderedDict([('max_depth', 46), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 198)])",0.8463414634146341
"OrderedDict([('max_depth', 71), ('max_features', 'auto'), ('min_samples_leaf', 0.8843509950577972), ('min_samples_split', 0.18792325812234068), ('n_estimators', 1177)])",0.69875,"OrderedDict([('max_depth', 27), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.6028228694062646), ('n_estimators', 114)])",0.7430004918313233,"OrderedDict([('max_depth', 93), ('max_features', 'sqrt'), ('min_samples_leaf', 0.21596233298019166), ('min_samples_split', 0.0002514238115927526), ('n_estimators', 480)])",0.654785827604442,"OrderedDict([('max_depth', 1), ('max_features', 'sqrt'), ('min_samples_leaf', 0.08078711898246924), ('min_samples_split', 0.07374324025678479), ('n_estimators', 1)])",0.7937282229965156
"OrderedDict([('max_depth', 99), ('max_features', 'auto'), ('min_samples_leaf', 0.007375296502906596), ('min_samples_split', 0.04077735378947697), ('n_estimators', 71)])",0.75125,"OrderedDict([('max_depth', 79), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 367)])",0.903310773244376,"OrderedDict([('max_depth', 19), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.3065016528681851), ('n_estimators', 2000)])",0.7410893707033315,"OrderedDict([('max_depth', 46), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.19590665609216706), ('n_estimators', 1552)])",0.8296747967479675
"OrderedDict([('max_depth', 70), ('max_features', 'auto'), ('min_samples_leaf', 0.45752393567737054), ('min_samples_split', 0.8069109410431118), ('n_estimators', 1)])",0.69875,"OrderedDict([('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 1)])",0.8376117312462578,"OrderedDict([('max_depth', 1), ('max_features', 'auto'), ('min_samples_leaf', 0.05813273131873488), ('min_samples_split', 1e-06), ('n_estimators', 2000)])",0.685774722369117,"OrderedDict([('max_depth', 16), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.999999), ('n_estimators', 17)])",0.8033681765389084
"OrderedDict([('max_depth', 1), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.999999), ('n_estimators', 2000)])",0.69875,"OrderedDict([('max_depth', 78), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 564)])",0.9030803609614233,"OrderedDict([('max_depth', 70), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.42527266488895), ('n_estimators', 1469)])",0.7231623479640402,"OrderedDict([('max_depth', 44), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 0.2156573332859039), ('n_estimators', 1189)])",0.8416957026713124
"OrderedDict([('max_depth', 1), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 753)])",0.69875,"OrderedDict([('max_depth', 1), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 586)])",0.7453137028483449,"OrderedDict([('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 2000)])",0.7898202009518773,"OrderedDict([('max_depth', 67), ('max_features', 'sqrt'), ('min_samples_leaf', 1e-06), ('min_samples_split', 1e-06), ('n_estimators', 1371)])",0.8631823461091754
