theta,score_credit-g,score_Phoneme,score_diabetes,score_kc2
"{'n_estimators': 300, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 1}",0.73125,0.8630554486357027,0.7686144896879957,0.8465737514518002
"{'n_estimators': 500, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 1}",0.72625,0.8496428876913866,0.7523796932839767,0.8177700348432057
"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_depth': 7, 'learning_rate': 0.1}",0.7424999999999999,0.8898944701052092,0.7589635113696457,0.8561556329849014
"{'n_estimators': 1000, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_depth': 6, 'learning_rate': 0.5}",0.74,0.8887354589000086,0.758937070333157,0.8321138211382113
"{'n_estimators': 1000, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_depth': 4, 'learning_rate': 1}",0.6950000000000001,0.8776291591822771,0.7376784769962982,0.8296747967479675
"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 4, 'learning_rate': 0.01}",0.745,0.8697700153964588,0.7734267583289265,0.8535423925667829
"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_depth': 8, 'learning_rate': 0.25}",0.73125,0.8931320032503635,0.7457694341618192,0.8487804878048781
"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 6, 'learning_rate': 0.5}",0.7337499999999999,0.8903558292703788,0.757297726070862,0.8583623693379792
"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 7, 'learning_rate': 0.25}",0.7375,0.8924386280044481,0.7604706504494976,0.8391405342624856
"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 0.25}",0.74,0.8801808014712172,0.7475409836065573,0.8465156794425088
"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 6, 'learning_rate': 0.5}",0.73625,0.893822705499957,0.76544156530936,0.8392566782810686
"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 4, 'learning_rate': 0.01}",0.7525,0.8487105465742879,0.7588841882601798,0.8536004645760744
