,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,dataset
0,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 19, 'min_samples_split': 2}",0.08299456293918789,0.9551238833948459,0.8993711938818864,spam
1,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 51, 'min_samples_split': 2}",0.09347365049627691,0.948094727578297,0.8939378275031864,spam
2,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 26, 'min_samples_split': 2}",0.08619023392368795,0.9528175097940792,0.8985021007411603,spam
3,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 37, 'min_samples_split': 2}",0.0898694200748871,0.9503809729393993,0.8965460510786952,spam
4,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 30, 'min_samples_split': 2}",0.08761689757587109,0.9516926513327553,0.8976330076004343,spam
5,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 14, 'min_samples_split': 2}",0.08031865801226509,0.957061924937328,0.9019789453807299,spam
6,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 11, 'min_samples_split': 2}",0.07815607838761403,0.9585715802660454,0.9032832932068168,spam
7,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 21, 'min_samples_split': 2}",0.08402053140083873,0.954337574915671,0.8998055044139168,spam
8,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 47, 'min_samples_split': 2}",0.09260048375980758,0.9486374461050348,0.8950247840249258,spam
9,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 39, 'min_samples_split': 2}",0.09050113073430972,0.9499293430139939,0.8961112684699994,spam
10,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 56, 'min_samples_split': 2}",0.09454379797616977,0.9473060843278219,0.8924165604494171,spam
11,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 28, 'min_samples_split': 2}",0.08687527943698177,0.9523696234083856,0.8980673181324648,spam
12,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 42, 'min_samples_split': 2}",0.09115739346698529,0.9496089627424423,0.8950247840249258,spam
13,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.07177545659667114,0.9633704462229046,0.9111084360100079,spam
14,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 40, 'min_samples_split': 2}",0.09075488235105858,0.9498116996155979,0.8958941132039844,spam
15,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 11, 'min_samples_split': 2}",0.07815607838761403,0.9585715802660454,0.9032832932068168,spam
16,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 23, 'min_samples_split': 2}",0.08494536145512255,0.9536784454443712,0.8987194920455082,spam
17,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 14, 'min_samples_split': 2}",0.08031865801226509,0.957061924937328,0.9019789453807299,spam
18,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 56, 'min_samples_split': 2}",0.09454379797616977,0.9473060843278219,0.8924165604494171,spam
19,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 15, 'min_samples_split': 2}",0.0808324684963067,0.9564873583565774,0.9006755417079735,spam
