,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,dataset
0,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 58}",0.08023475367092087,0.9577188620895167,0.905240523060945,spam
1,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 48}",0.07844194353788658,0.9589511248492453,0.905457914365293,spam
2,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 37}",0.07602831628261848,0.9605508864370307,0.9074139640277581,spam
3,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 57}",0.08005268300740853,0.9579444232263157,0.9048055044139168,spam
4,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 15}",0.06914907290910056,0.9654385412419902,0.9117608459613843,spam
5,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 51}",0.07905137311775857,0.9586228915592132,0.904153566539206,spam
6,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 56}",0.07988313463560873,0.958032409694955,0.9048055044139168,spam
7,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 23}",0.07219932693276969,0.963306079619995,0.9089349950431951,spam
8,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 43}",0.07751894497352294,0.9596267032978243,0.904805976490582,spam
9,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 31}",0.07464657545325595,0.9615606774997667,0.9078485105981212,spam
10,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 56}",0.07988313463560873,0.958032409694955,0.9048055044139168,spam
11,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 54}",0.07943059343389706,0.9584295111064506,0.9039364112731907,spam
12,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 38}",0.07632468260830358,0.9603660799900535,0.9061096162016712,spam
13,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 36}",0.07586783366620084,0.9607551108410938,0.9069789453807298,spam
14,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.06471291149550458,0.9681911603202653,0.9178459141764621,spam
15,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 37}",0.0760283162826185,0.9605508864370307,0.9074139640277581,spam
16,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 16}",0.06954306731302141,0.9650463844052277,0.9128473304064582,spam
17,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 55}",0.0796521557812276,0.9581916428546521,0.9048057404522494,spam
18,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 44}",0.07770257199915244,0.95939226737496,0.9048055044139168,spam
19,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 15}",0.06914907290910056,0.9654385412419902,0.9117608459613843,spam
20,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 25}",0.07294551690038809,0.9627090621188424,0.9082835292451493,spam
21,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 13}",0.06847032420923525,0.9658565118159258,0.9117608459613841,spam
22,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 29}",0.07403730526296265,0.9619280139254727,0.9087180758155124,spam
23,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 16}",0.06954306731302141,0.9650463844052277,0.9128473304064582,spam
24,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.063956449697648,0.9686493561701827,0.919149789925884,spam
25,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.08052338725360272,0.9575458083154027,0.9050236038332624,spam
26,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.06687085590785277,0.9668885663977982,0.9143683614218949,spam
27,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 35}",0.07571765839800584,0.9608213860682824,0.9071963366850776,spam
28,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 27}",0.07351791102070956,0.9624069546239327,0.908500448472832,spam
29,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 13}",0.06847032420923524,0.9658565118159258,0.9117608459613841,spam
30,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 30}",0.07439249964610586,0.9616888638194385,0.9078487466364538,spam
31,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 59}",0.08028973821891246,0.9577045363843958,0.9058926969739884,spam
32,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 59}",0.08028973821891246,0.9577045363843958,0.9058926969739884,spam
33,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 14}",0.06884144999307425,0.9656086249246908,0.9139340508898645,spam
34,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 31}",0.07464657545325595,0.9615606774997667,0.9078485105981212,spam
35,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 53}",0.07932501312839013,0.9585081518006595,0.9037190199688429,spam
36,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 48}",0.07844194353788658,0.9589511248492453,0.905457914365293,spam
37,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 42}",0.07719610776354606,0.9599185665068758,0.9058924609356559,spam
38,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 42}",0.07719610776354606,0.9599185665068758,0.9058924609356559,spam
39,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 42}",0.07719610776354606,0.9599185665068758,0.9058924609356559,spam
40,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 51}",0.07905137311775859,0.9586228915592132,0.904153566539206,spam
41,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 29}",0.07403730526296265,0.9619280139254727,0.9087180758155124,spam
42,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 26}",0.07317182922218275,0.9626280279879081,0.9082830571684841,spam
43,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 15}",0.06914907290910056,0.9654385412419902,0.9117608459613843,spam
44,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 45}",0.07782856766120513,0.9594467282571344,0.9058922248973232,spam
45,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 56}",0.07988313463560873,0.958032409694955,0.9048055044139168,spam
46,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 22}",0.07189372876564047,0.9633035682598882,0.9106736534013123,spam
47,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 29}",0.07403730526296264,0.9619280139254727,0.9087180758155124,spam
48,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 35}",0.07571765839800584,0.9608213860682824,0.9071963366850776,spam
49,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1065, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 39}",0.07663359480804884,0.9602148857516368,0.9067622621913799,spam
0,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1570, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 18}",0.09282964651401146,0.9331574205333639,0.8760778128286015,mt
1,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1570, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 17}",0.09275355654058381,0.9332646015538467,0.8754994742376446,mt
2,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1570, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 51}",0.09589866172292305,0.930027871594918,0.8724500525762355,mt
3,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1570, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 12}",0.09222604238704586,0.9339200868305332,0.8769716088328077,mt
4,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1570, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 17}",0.09275355654058381,0.9332646015538467,0.8754994742376446,mt
5,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1570, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 59}",0.09651404991485346,0.9294040519440336,0.8716614090431124,mt
6,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1570, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 9}",0.09195974148117672,0.9341445219533681,0.8772870662460568,mt
7,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1570, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 29}",0.09391265384778896,0.9320046672217377,0.8743953732912724,mt
8,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1570, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 46}",0.0954179986929045,0.9305059419061206,0.8735015772870662,mt
9,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1570, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 14}",0.0924391838149266,0.9336505961829291,0.8763932702418508,mt
10,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1570, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.09155264462056309,0.9346314872060073,0.877602523659306,mt
11,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1570, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 53}",0.09601375942952461,0.9298824531744103,0.8723449001051525,mt
